comp	temp	dur	press_sim	apl_mean	apl_serr	cas_mean	ppd_mean	ppd_serr	ka_mean	ka_serr	kbc0_mean	kbc0_serr	ph
18:0/20:4 PE	20	348	1	61.49	0.18	0	41.82	0.48	230	xx	0.169	0.009	la
18:0/20:4 PE	20	342	250	60.61	0.16	0.014	41.81	0.47	279		0.167	0.xxx	la
18:0/20:4 PE	20	340	500	59.28	0.17	0.036	42.13	0.47	265		0.174	0.xxx	la
18:0/20:4 PE	20	315	750	58.62	0.22	0.047	42.22	0.5	242		0.153	0.xxx	la
18:0/20:4 PE	20	348	1000	57.68	0.24	0.062	42.48	0.5	260		0.133	0.011	la
18:0/20:4 PE	20	350	1500	56.33	0.23	0.084	42.64	0.44	292		0.051	0.006	la
18:0/20:4 P-PE	20	313	1	62.81	0.13	0	40.97	0.43	284		0.124	0.006	la
18:0/20:4 P-PE	20	304	250	62.15	0.16	0.011	40.83	0.43	286		0.116	0.005	la
18:0/20:4 P-PE	20	306	500	61.25	0.17	0.025	40.86	0.44	275		0.1	0.008	la
18:0/20:4 P-PE	20	309	750	60.59	0.19	0.035	40.9	0.45	249		0.084	0.006	la
18:0/20:4 P-PE	20	335	1000	59.56	0.18	0.052	41.19	0.4	387		0.052	0.009	lb
18:0/20:4 P-PE	20	326	1500	58.42	0.23	0.07	41.26	0.43	336		0.054	0.006	lb
18:0/18:1 PE	60	318	1	61.35	0.12	0	42.3	0.52	263		0.231	0.008	la
18:0/18:1 PE	60	330	500	58.03	0.15	0.054	43.04	0.55	246		0.204	0.006	la
18:0/18:1 PE	60	320	1000	55.11	0.27	0.102	44.01	0.63	195		0.16	0.008	la
18:0/18:1 P-PE	60	181	1	62.84	0.09	0	41.21	0.43	323		0.177	0.007	la
18:0/18:1 P-PE	60	334	500	60.1	0.15	0.044	41.58	0.49	276		0.132	0.007	la
18:0/18:1 P-PE	60	339	1000	57.59	0.16	0.084	42.16	0.49	250		0.119	0.008	la
18:1/18:1 PE	20	308	1	60.73	0.17	0	41.3	0.46	286		0.224	0.006	la
18:1/18:1 PE	20	308	250	59.96	0.15	0.013	41.81	0.44	262		0.199	0.007	la
18:1/18:1 PE	20	330	500	58.27	0.2	0.041	41.81	0.44	285		0.215	0.006	la
18:1/18:1 PE	20	354	750	57.75	0.21	0.049	41.74	0.52	284		0.213	0.01	la
18:1/18:1 PE	20	364	1000	57.12	0.4	0.06	41.79	0.49	172		0.178	0.009	la
18:1/18:1 PE	20	316	1500	49.11	0.91	0.191	44.96	1	1902		0.061	0.02	lb
18:1/18:1 PC	20	312	1	67.65	0.14	0	38.57	0.4	267		0.047	0.005	la
18:1/18:1 PC	20	331	250	66.83	0.14	0.012	38.48	0.45	254		0.031	0.007	la
18:1/18:1 PC	20	355	500	65.83	0.17	0.027	38.52	0.42	264		0.032	0.004	la
18:1/18:1 PC	20	322	750	65.37	0.27	0.034	38.42	0.36	260		0.034	0.008	la
18:1/18:1 PC	20	303	1000	64.61	0.18	0.045	38.46	0.36	340		0.022	0.005	la
18:1/18:1 PC	20	312	1500	63.07	0.18	0.068	38.69	0.36	327		-0.001	0.006	la
