sp	temp_incu	gp	count
Bath_fost	2	-1	0
Bath_fost	2	-0.98	0
Bath_fost	2	-0.96	0
Bath_fost	2	-0.94	0
Bath_fost	2	-0.92	0
Bath_fost	2	-0.9	0
Bath_fost	2	-0.88	0
Bath_fost	2	-0.86	3
Bath_fost	2	-0.84	2
Bath_fost	2	-0.82	0
Bath_fost	2	-0.8	6
Bath_fost	2	-0.78	3
Bath_fost	2	-0.76	3
Bath_fost	2	-0.74	6
Bath_fost	2	-0.72	11
Bath_fost	2	-0.7	9
Bath_fost	2	-0.68	15
Bath_fost	2	-0.66	16
Bath_fost	2	-0.64	15
Bath_fost	2	-0.62	16
Bath_fost	2	-0.6	27
Bath_fost	2	-0.58	18
Bath_fost	2	-0.56	32
Bath_fost	2	-0.54	32
Bath_fost	2	-0.52	39
Bath_fost	2	-0.5	42
Bath_fost	2	-0.48	48
Bath_fost	2	-0.46	70
Bath_fost	2	-0.44	85
Bath_fost	2	-0.42	75
Bath_fost	2	-0.4	117
Bath_fost	2	-0.38	105
Bath_fost	2	-0.36	126
Bath_fost	2	-0.34	128
Bath_fost	2	-0.32	171
Bath_fost	2	-0.3	180
Bath_fost	2	-0.28	198
Bath_fost	2	-0.26	251
Bath_fost	2	-0.24	294
Bath_fost	2	-0.22	341
Bath_fost	2	-0.2	386
Bath_fost	2	-0.18	422
Bath_fost	2	-0.16	454
Bath_fost	2	-0.14	522
Bath_fost	2	-0.12	586
Bath_fost	2	-0.1	623
Bath_fost	2	-0.08	675
Bath_fost	2	-0.06	775
Bath_fost	2	-0.04	902
Bath_fost	2	-0.02	962
Bath_fost	2	0	1031
Bath_fost	2	0.02	1217
Bath_fost	2	0.04	1214
Bath_fost	2	0.06	1427
Bath_fost	2	0.08	1480
Bath_fost	2	0.1	1576
Bath_fost	2	0.12	1753
Bath_fost	2	0.14	1888
Bath_fost	2	0.16	2041
Bath_fost	2	0.18	2181
Bath_fost	2	0.2	2403
Bath_fost	2	0.22	2598
Bath_fost	2	0.24	2787
Bath_fost	2	0.26	2896
Bath_fost	2	0.28	3059
Bath_fost	2	0.3	3246
Bath_fost	2	0.32	3481
Bath_fost	2	0.34	3520
Bath_fost	2	0.36	3766
Bath_fost	2	0.38	3935
Bath_fost	2	0.4	4289
Bath_fost	2	0.42	4342
Bath_fost	2	0.44	4407
Bath_fost	2	0.46	4602
Bath_fost	2	0.48	4635
Bath_fost	2	0.5	4909
Bath_fost	2	0.52	4923
Bath_fost	2	0.54	4947
Bath_fost	2	0.56	4990
Bath_fost	2	0.58	4988
Bath_fost	2	0.6	5033
Bath_fost	2	0.62	4920
Bath_fost	2	0.64	4897
Bath_fost	2	0.66	4868
Bath_fost	2	0.68	4638
Bath_fost	2	0.7	4639
Bath_fost	2	0.72	4423
Bath_fost	2	0.74	4380
Bath_fost	2	0.76	4124
Bath_fost	2	0.78	3809
Bath_fost	2	0.8	3738
Bath_fost	2	0.82	3384
Bath_fost	2	0.84	3061
Bath_fost	2	0.86	2750
Bath_fost	2	0.88	2576
Bath_fost	2	0.9	2480
Bath_fost	2	0.92	2517
Bath_fost	2	0.94	2816
Bath_fost	2	0.96	3191
Bath_fost	2	0.98	3134
Bath_fost	10	-1	0
Bath_fost	10	-0.98	0
Bath_fost	10	-0.96	0
Bath_fost	10	-0.94	1
Bath_fost	10	-0.92	0
Bath_fost	10	-0.9	3
Bath_fost	10	-0.88	6
Bath_fost	10	-0.86	5
Bath_fost	10	-0.84	10
Bath_fost	10	-0.82	12
Bath_fost	10	-0.8	12
Bath_fost	10	-0.78	17
Bath_fost	10	-0.76	29
Bath_fost	10	-0.74	21
Bath_fost	10	-0.72	34
Bath_fost	10	-0.7	39
Bath_fost	10	-0.68	32
Bath_fost	10	-0.66	43
Bath_fost	10	-0.64	34
Bath_fost	10	-0.62	55
Bath_fost	10	-0.6	59
Bath_fost	10	-0.58	56
Bath_fost	10	-0.56	74
Bath_fost	10	-0.54	77
Bath_fost	10	-0.52	73
Bath_fost	10	-0.5	95
Bath_fost	10	-0.48	86
Bath_fost	10	-0.46	96
Bath_fost	10	-0.44	126
Bath_fost	10	-0.42	136
Bath_fost	10	-0.4	132
Bath_fost	10	-0.38	143
Bath_fost	10	-0.36	157
Bath_fost	10	-0.34	170
Bath_fost	10	-0.32	216
Bath_fost	10	-0.3	243
Bath_fost	10	-0.28	274
Bath_fost	10	-0.26	295
Bath_fost	10	-0.24	351
Bath_fost	10	-0.22	391
Bath_fost	10	-0.2	441
Bath_fost	10	-0.18	532
Bath_fost	10	-0.16	623
Bath_fost	10	-0.14	826
Bath_fost	10	-0.12	867
Bath_fost	10	-0.1	1005
Bath_fost	10	-0.08	1233
Bath_fost	10	-0.06	1452
Bath_fost	10	-0.04	1674
Bath_fost	10	-0.02	2037
Bath_fost	10	0	2532
Bath_fost	10	0.02	2853
Bath_fost	10	0.04	3456
Bath_fost	10	0.06	4034
Bath_fost	10	0.08	4983
Bath_fost	10	0.1	5916
Bath_fost	10	0.12	7195
Bath_fost	10	0.14	8655
Bath_fost	10	0.16	10773
Bath_fost	10	0.18	12823
Bath_fost	10	0.2	15563
Bath_fost	10	0.22	19266
Bath_fost	10	0.24	23068
Bath_fost	10	0.26	27538
Bath_fost	10	0.28	33426
Bath_fost	10	0.3	39059
