cnum	sn2	sn1	press_sim	comp
3	0.1941530406	0.1577614695	0	18:1/18:1 PC
4	0.1920978874	0.1822477579	0	18:1/18:1 PC
5	0.2024529427	0.1811172515	0	18:1/18:1 PC
6	0.1806873977	0.1790043712	0	18:1/18:1 PC
7	0.1730642468	0.1598456949	0	18:1/18:1 PC
8	0.09887644649	0.1187734976	0	18:1/18:1 PC
9	0.06045810506	0.0865547061	0	18:1/18:1 PC
10	0.04980852827	0.08174743503	0	18:1/18:1 PC
11	0.07096621394	0.0658980161	0	18:1/18:1 PC
12	0.1076008528	0.1008647978	0	18:1/18:1 PC
13	0.1111652181	0.1010820866	0	18:1/18:1 PC
14	0.1145219579	0.1051834226	0	18:1/18:1 PC
15	0.1016417593	0.09033695608	0	18:1/18:1 PC
16	0.09188070148	0.08315999061	0	18:1/18:1 PC
17	0.07051953673	0.06231118366	0	18:1/18:1 PC
18	0.02401056886	0.02332017757	0	18:1/18:1 PC
3	0.1963057518	0.1602594256	250	18:1/18:1 PC
4	0.194539994	0.184284091	250	18:1/18:1 PC
5	0.2047218978	0.1838828623	250	18:1/18:1 PC
6	0.1826424599	0.1814327836	250	18:1/18:1 PC
7	0.1744973212	0.1619769335	250	18:1/18:1 PC
8	0.1002639383	0.1194554567	250	18:1/18:1 PC
9	0.061274793	0.08842100203	250	18:1/18:1 PC
10	0.04815210775	0.08174858987	250	18:1/18:1 PC
11	0.07160946727	0.06666915119	250	18:1/18:1 PC
12	0.1100897118	0.1036587507	250	18:1/18:1 PC
13	0.1142703742	0.1038301513	250	18:1/18:1 PC
14	0.1175986454	0.108042933	250	18:1/18:1 PC
15	0.1055903956	0.09408301115	250	18:1/18:1 PC
16	0.09555026889	0.0870989114	250	18:1/18:1 PC
17	0.07361409068	0.06614689529	250	18:1/18:1 PC
18	0.02494667843	0.02468568087	250	18:1/18:1 PC
3	0.1975431591	0.1593693495	500	18:1/18:1 PC
4	0.1956949532	0.1848481894	500	18:1/18:1 PC
5	0.207292676	0.1846288294	500	18:1/18:1 PC
6	0.1859493107	0.1827278137	500	18:1/18:1 PC
7	0.1781552136	0.1634824425	500	18:1/18:1 PC
8	0.1021723002	0.1204060838	500	18:1/18:1 PC
9	0.06352210045	0.08777726442	500	18:1/18:1 PC
10	0.05035672337	0.08257562667	500	18:1/18:1 PC
11	0.07297158986	0.0681918487	500	18:1/18:1 PC
12	0.113865301	0.1062633172	500	18:1/18:1 PC
13	0.1185666174	0.1073387042	500	18:1/18:1 PC
14	0.122097604	0.1117331833	500	18:1/18:1 PC
15	0.1099058762	0.09791130573	500	18:1/18:1 PC
16	0.09955649078	0.0904231891	500	18:1/18:1 PC
17	0.07771014422	0.06841398031	500	18:1/18:1 PC
18	0.02629071102	0.02533707581	500	18:1/18:1 PC
3	0.198797822	0.1627736241	750	18:1/18:1 PC
4	0.1970694065	0.1866148263	750	18:1/18:1 PC
5	0.2084527612	0.1867811233	750	18:1/18:1 PC
6	0.1872680038	0.1845032424	750	18:1/18:1 PC
7	0.1787136495	0.1647666246	750	18:1/18:1 PC
8	0.1019363925	0.1209633797	750	18:1/18:1 PC
9	0.06250560284	0.08792296052	750	18:1/18:1 PC
10	0.05224709958	0.08110791445	750	18:1/18:1 PC
11	0.07670715451	0.0670947656	750	18:1/18:1 PC
12	0.117921859	0.1068298817	750	18:1/18:1 PC
13	0.1233614758	0.109589763	750	18:1/18:1 PC
14	0.1265192777	0.1150485799	750	18:1/18:1 PC
15	0.1139428318	0.1020891517	750	18:1/18:1 PC
16	0.1031919941	0.09430041909	750	18:1/18:1 PC
17	0.07970451564	0.07151526958	750	18:1/18:1 PC
18	0.02722106315	0.02633635513	750	18:1/18:1 PC
3	0.1997627914	0.1665307134	1000	18:1/18:1 PC
4	0.1987728924	0.1897981465	1000	18:1/18:1 PC
5	0.2097441852	0.1887631714	1000	18:1/18:1 PC
6	0.1887488216	0.1859216839	1000	18:1/18:1 PC
7	0.1806779951	0.1663126051	1000	18:1/18:1 PC
8	0.1024671569	0.1216364205	1000	18:1/18:1 PC
9	0.06152973324	0.08758983761	1000	18:1/18:1 PC
10	0.05101913586	0.08121103048	1000	18:1/18:1 PC
11	0.07504840195	0.06882822514	1000	18:1/18:1 PC
12	0.116245836	0.1095908582	1000	18:1/18:1 PC
13	0.1228995919	0.1119679436	1000	18:1/18:1 PC
14	0.1273133606	0.116265893	1000	18:1/18:1 PC
15	0.1154756024	0.1026215926	1000	18:1/18:1 PC
16	0.1047526971	0.0945873782	1000	18:1/18:1 PC
17	0.08173107356	0.0722220093	1000	18:1/18:1 PC
18	0.02778429538	0.02670608833	1000	18:1/18:1 PC
3	0.2051341981	0.1695052683	1500	18:1/18:1 PC
4	0.203428179	0.1929415762	1500	18:1/18:1 PC
5	0.2160794139	0.1915636361	1500	18:1/18:1 PC
6	0.1950924546	0.188847363	1500	18:1/18:1 PC
7	0.1869777441	0.1691332906	1500	18:1/18:1 PC
8	0.1082496718	0.123485446	1500	18:1/18:1 PC
9	0.06656241417	0.08857860416	1500	18:1/18:1 PC
10	0.05192403123	0.08301798254	1500	18:1/18:1 PC
11	0.07881113142	0.07197403163	1500	18:1/18:1 PC
12	0.1247409955	0.1128650308	1500	18:1/18:1 PC
13	0.1306534708	0.1159963757	1500	18:1/18:1 PC
14	0.1344124526	0.1211623698	1500	18:1/18:1 PC
15	0.123105742	0.1082390845	1500	18:1/18:1 PC
16	0.1120803952	0.1006366834	1500	18:1/18:1 PC
17	0.08739560843	0.07703776658	1500	18:1/18:1 PC
18	0.0297268834	0.02867924422	1500	18:1/18:1 PC
3	0.2168623954	0.1951305717	0	18:1/18:1 PE
4	0.2211535275	0.220252797	0	18:1/18:1 PE
5	0.2358711809	0.2246799618	0	18:1/18:1 PE
6	0.214801982	0.2208449394	0	18:1/18:1 PE
7	0.2064818591	0.2010061592	0	18:1/18:1 PE
8	0.1216302067	0.1480872184	0	18:1/18:1 PE
9	0.07700957358	0.1082370281	0	18:1/18:1 PE
10	0.07249091566	0.09762249887	0	18:1/18:1 PE
11	0.1038346142	0.09493727982	0	18:1/18:1 PE
12	0.1548102647	0.1421240121	0	18:1/18:1 PE
13	0.1601765305	0.142363444	0	18:1/18:1 PE
14	0.1633872241	0.1464762539	0	18:1/18:1 PE
15	0.1454781443	0.1257290542	0	18:1/18:1 PE
16	0.1305260509	0.1145717353	0	18:1/18:1 PE
17	0.09888018668	0.0844732523	0	18:1/18:1 PE
18	0.03408315778	0.03159937635	0	18:1/18:1 PE
3	0.2185334414	0.1971426606	250	18:1/18:1 PE
4	0.2220424563	0.2220741361	250	18:1/18:1 PE
5	0.23750633	0.2272683084	250	18:1/18:1 PE
6	0.2174302489	0.2235717177	250	18:1/18:1 PE
7	0.2091338634	0.203545481	250	18:1/18:1 PE
8	0.1221193969	0.1498958915	250	18:1/18:1 PE
9	0.07649382949	0.1103905961	250	18:1/18:1 PE
10	0.07297102362	0.09808921069	250	18:1/18:1 PE
11	0.1059247851	0.09514152259	250	18:1/18:1 PE
12	0.1580975652	0.1442660391	250	18:1/18:1 PE
13	0.1637995392	0.1455916017	250	18:1/18:1 PE
14	0.1671697795	0.1499040425	250	18:1/18:1 PE
15	0.1489418298	0.1295249015	250	18:1/18:1 PE
16	0.133799091	0.1181680784	250	18:1/18:1 PE
17	0.1020738184	0.08738295734	250	18:1/18:1 PE
18	0.03509661928	0.03282777965	250	18:1/18:1 PE
3	0.2272128314	0.2041894644	500	18:1/18:1 PE
4	0.230732888	0.2293576151	500	18:1/18:1 PE
