P_act	P_set	T_act	T_ext	T_int	T_set	air	clock	dewpt	dht_H	dht_T	intensity	mlx_amb	mlx_inf	msg	n_read	shutter	slit_em	slit_ex	state	time	vol	watch	wl_em	wl_ex
246.5	250.0	0.97	5.98	0.52	0	True	20220616 135835	8.4	54.0	17.6	0.742	21.55	7.27	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2485	13.100407123565674	440	410
205.0	250.0	0.98	5.98	0.53	0	True	20220616 135836	8.4	54.0	17.6	0.065	21.55	7.27	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.5287	13.790350914001465	440.0	410.0
205.0	250.0	0.98	5.98	0.53	0	True	20220616 135836	8.4	54.0	17.6	0.244	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.5287	13.906102180480957	440.0	410.0
214.2	250.0	0.98	5.98	0.53	0	True	20220616 135836	8.4	54.0	17.6	0.752	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.4723	14.202152967453003	440.0	410.0
225.9	250.0	0.98	5.98	0.53	0	True	20220616 135837	8.4	54.0	17.6	0.718	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.4007	14.504894971847534	440.0	410.0
231.8	250.0	0.98	5.97	0.53	0	True	20220616 135837	8.4	54.0	17.6	-0.478	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.3637	14.788583993911743	440.0	410.0
237.4	250.0	0.98	5.97	0.53	0	True	20220616 135837	8.4	54.0	17.6	0.714	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.3288	15.057213068008423	440.0	410.0
240.9	250.0	0.97	5.97	0.52	0	True	20220616 135837	8.4	54.0	17.6	-0.182	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.307	15.34165906906128	440.0	410.0
245.7	250.0	0.97	5.97	0.52	0	True	20220616 135838	8.4	54.0	17.6	0.276	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2772	15.623358964920044	440.0	410.0
247.0	250.0	0.97	5.96	0.52	0	True	20220616 135838	8.4	54.0	17.6	0.025	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.269	15.89602017402649	440.0	410.0
247.9	250.0	0.97	5.96	0.52	0	True	20220616 135838	8.4	54.0	17.6	-0.037	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2631	16.166001081466675	440.0	410.0
248.5	250.0	0.97	5.96	0.52	0	True	20220616 135838	8.4	54.0	17.6	0.504	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2594	16.434997081756592	440.0	410.0
249.2	250.0	0.97	5.97	0.52	0	True	20220616 135839	8.4	54.0	17.6	1.124	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2545	16.704949140548706	440.0	410.0
249.5	250.0	0.97	5.97	0.52	0	True	20220616 135839	8.4	54.0	17.6	0.402	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2529	16.976096153259277	440.0	410.0
249.6	250.0	0.97	5.97	0.52	0	True	20220616 135839	8.4	54.0	17.6	0.828	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.2518	17.26417112350464	440.0	410.0
250.0	250.0	0.97	5.97	0.52	0	True	20220616 135840	8.4	54.0	17.6	-0.084	21.51	7.11	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	37	30	100.251	17.535161018371582	440.0	410.0
