GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	31113	0.03524	29883	0.03385
-0.98	-0.98	28653	0.03246	29113.3333	0.03298
-0.96	-0.96	27574	0.03123	27351.6667	0.03098
-0.94	-0.94	25828	0.02926	25487.3333	0.02887
-0.92	-0.92	23060	0.02612	23414.6667	0.02652
-0.9	-0.9	21356	0.02419	21588.3333	0.02445
-0.88	-0.88	20349	0.02305	20372.3333	0.02308
-0.86	-0.86	19412	0.02199	19547.3333	0.02214
-0.84	-0.84	18881	0.02139	19112	0.02165
-0.82	-0.82	19043	0.02157	18782.3333	0.02128
-0.8	-0.8	18423	0.02087	18673.6667	0.02115
-0.78	-0.78	18555	0.02102	18517.6667	0.02098
-0.76	-0.76	18575	0.02104	18625	0.0211
-0.74	-0.74	18745	0.02123	18672	0.02115
-0.72	-0.72	18696	0.02118	18753	0.02124
-0.7	-0.7	18818	0.02132	18824.3333	0.02132
-0.68	-0.68	18959	0.02148	18843.3333	0.02134
-0.66	-0.66	18753	0.02124	18954.3333	0.02147
-0.64	-0.64	19151	0.02169	19149	0.02169
-0.62	-0.62	19543	0.02214	19066	0.0216
-0.6	-0.6	18504	0.02096	19024.3333	0.02155
-0.58	-0.58	19026	0.02155	18779.6667	0.02127
-0.56	-0.56	18809	0.02131	18712.6667	0.0212
-0.54	-0.54	18303	0.02073	18419	0.02086
-0.52	-0.52	18145	0.02055	18247	0.02067
-0.5	-0.5	18293	0.02072	18011.3333	0.0204
-0.48	-0.48	17596	0.01993	17678	0.02002
-0.46	-0.46	17145	0.01942	17162	0.01944
-0.44	-0.44	16745	0.01897	16876.6667	0.01912
-0.42	-0.42	16740	0.01896	16425	0.01861
-0.4	-0.4	15790	0.01789	15967.3333	0.01809
-0.38	-0.38	15372	0.01741	15367	0.01741
-0.36	-0.36	14939	0.01692	14948	0.01693
-0.34	-0.34	14533	0.01646	14471.3333	0.01639
-0.32	-0.32	13942	0.01579	13961.3333	0.01581
-0.3	-0.3	13409	0.01519	13411	0.01519
-0.28	-0.28	12882	0.01459	12932.3333	0.01465
-0.26	-0.26	12506	0.01417	12445.3333	0.0141
-0.24	-0.24	11948	0.01353	11975	0.01356
-0.22	-0.22	11471	0.01299	11359.6667	0.01287
-0.2	-0.2	10660	0.01207	10796	0.01223
-0.18	-0.18	10257	0.01162	10247.3333	0.01161
-0.16	-0.16	9825	0.01113	9811	0.01111
-0.14	-0.14	9351	0.01059	9329	0.01057
-0.12	-0.12	8811	0.00998	8829.6667	0.01
-0.1	-0.1	8327	0.009432	8340.6667	0.009448
-0.08	-0.08	7884	0.00893	7854.3333	0.008897
-0.06	-0.06	7352	0.008328	7410	0.008394
-0.04	-0.04	6994	0.007922	6893	0.007808
-0.02	-0.02	6333	0.007174	6597.3333	0.007473
0	0	6465	0.007323	6221.3333	0.007047
0.02	0.02	5866	0.006645	5954.6667	0.006745
0.04	0.04	5533	0.006267	5541	0.006276
0.06	0.06	5224	0.005917	5215.3333	0.005908
0.08	0.08	4889	0.005538	4903.6667	0.005555
0.1	0.1	4598	0.005208	4602	0.005213
0.12	0.12	4319	0.004892	4263.6667	0.00483
0.14	0.14	3874	0.004388	3975.3333	0.004503
0.16	0.16	3733	0.004228	3692.6667	0.004183
0.18	0.18	3471	0.003932	3476	0.003937
0.2	0.2	3224	0.003652	3261	0.003694
0.22	0.22	3088	0.003498	3070.6667	0.003478
0.24	0.24	2900	0.003285	2899.3333	0.003284
0.26	0.26	2710	0.00307	2693.6667	0.003051
0.28	0.28	2471	0.002799	2504	0.002836
0.3	0.3	2331	0.00264	2306	0.002612
0.32	0.32	2116	0.002397	2124.6667	0.002407
0.34	0.34	1927	0.002183	1950	0.002209
0.36	0.36	1807	0.002047	1826	0.002068
0.38	0.38	1744	0.001975	1728.3333	0.001958
0.4	0.4	1634	0.001851	1616.6667	0.001831
0.42	0.42	1472	0.001667	1495.6667	0.001694
0.44	0.44	1381	0.001564	1365.3333	0.001547
0.46	0.46	1243	0.001408	1261.3333	0.001429
0.48	0.48	1160	0.001314	1175	0.001331
0.5	0.5	1122	0.001271	1106	0.001253
0.52	0.52	1036	0.001174	1027.6667	0.001164
0.54	0.54	925	0.001048	922	0.001044
0.56	0.56	805	0.0009118	826.3333	0.000936
0.58	0.58	749	0.0008484	760	0.0008609
0.6	0.6	726	0.0008224	692	0.0007838
0.62	0.62	601	0.0006808	622.6667	0.0007053
0.64	0.64	541	0.0006128	541	0.0006128
0.66	0.66	481	0.0005448	496.3333	0.0005622
0.68	0.68	467	0.000529	443.3333	0.0005022
0.7	0.7	382	0.0004327	391.3333	0.0004433
0.72	0.72	325	0.0003681	340.6667	0.0003859
0.74	0.74	315	0.0003568	293.3333	0.0003323
0.76	0.76	240	0.0002719	245.3333	0.0002779
0.78	0.78	181	0.000205	190	0.0002152
0.8	0.8	149	0.0001688	143	0.000162
0.82	0.82	99	0.0001121	108.6667	0.0001231
0.84	0.84	78	0.00008835	80	0.00009062
0.86	0.86	63	0.00007136	61.3333	0.00006947
0.88	0.88	43	0.00004871	44	0.00004984
0.9	0.9	26	0.00002945	28.3333	0.00003209
0.92	0.92	16	0.00001812	15.6667	0.00001775
0.94	0.94	5	5.6636E-6	7.6667	8.6843E-6
0.96	0.96	2	2.2655E-6	2.3333	2.6430E-6
0.98	0.98	0	0	1	1.1327E-6
