GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	6	6.5651E-6	11.5	0.00001258
-0.98	-0.98	17	0.0000186	15.3333	0.00001678
-0.96	-0.96	23	0.00002517	22.3333	0.00002444
-0.94	-0.94	27	0.00002954	39.3333	0.00004304
-0.92	-0.92	68	0.0000744	64.6667	0.00007076
-0.9	-0.9	99	0.0001083	115	0.0001258
-0.88	-0.88	178	0.0001948	179.6667	0.0001966
-0.86	-0.86	262	0.0002867	300	0.0003283
-0.84	-0.84	460	0.0005033	456.6667	0.0004997
-0.82	-0.82	648	0.000709	693.3333	0.0007586
-0.8	-0.8	972	0.001064	980.3333	0.001073
-0.78	-0.78	1321	0.001445	1321.3333	0.001446
-0.76	-0.76	1671	0.001828	1725.3333	0.001888
-0.74	-0.74	2184	0.00239	2219	0.002428
-0.72	-0.72	2802	0.003066	2817.6667	0.003083
-0.7	-0.7	3467	0.003794	3549.6667	0.003884
-0.68	-0.68	4380	0.004792	4429.3333	0.004846
-0.66	-0.66	5441	0.005953	5556.3333	0.00608
-0.64	-0.64	6848	0.007493	7006	0.007666
-0.62	-0.62	8729	0.009551	8854	0.009688
-0.6	-0.6	10985	0.01202	11222.3333	0.01228
-0.58	-0.58	13953	0.01527	14136.3333	0.01547
-0.56	-0.56	17471	0.01912	17590	0.01925
-0.54	-0.54	21346	0.02336	21765	0.02381
-0.52	-0.52	26478	0.02897	26431.3333	0.02892
-0.5	-0.5	31470	0.03443	31797	0.03479
-0.48	-0.48	37443	0.04097	37193.6667	0.0407
-0.46	-0.46	42668	0.04669	42782	0.04681
-0.44	-0.44	48235	0.05278	47796	0.0523
-0.42	-0.42	52485	0.05743	52244	0.05716
-0.4	-0.4	56012	0.06129	55247.6667	0.06045
-0.38	-0.38	57246	0.06264	56707	0.06205
-0.36	-0.36	56863	0.06222	56199.3333	0.06149
-0.34	-0.34	54489	0.05962	54095.6667	0.05919
-0.32	-0.32	50935	0.05573	50881	0.05567
-0.3	-0.3	47219	0.05167	46681.6667	0.05108
-0.28	-0.28	41891	0.04584	41975	0.04593
-0.26	-0.26	36815	0.04028	36850.3333	0.04032
-0.24	-0.24	31845	0.03484	31895	0.0349
-0.22	-0.22	27025	0.02957	27076	0.02963
-0.2	-0.2	22358	0.02446	22591.3333	0.02472
-0.18	-0.18	18391	0.02012	18600.6667	0.02035
-0.16	-0.16	15053	0.01647	15235.6667	0.01667
-0.14	-0.14	12263	0.01342	12295.6667	0.01345
-0.12	-0.12	9571	0.01047	9873.3333	0.0108
-0.1	-0.1	7786	0.008519	7798.6667	0.008533
-0.08	-0.08	6039	0.006608	6180.3333	0.006762
-0.06	-0.06	4716	0.00516	4820.3333	0.005274
-0.04	-0.04	3706	0.004055	3733.6667	0.004085
-0.02	-0.02	2779	0.003041	2867.6667	0.003138
0	0	2118	0.002317	2178	0.002383
0.02	0.02	1637	0.001791	1658	0.001814
0.04	0.04	1219	0.001334	1265	0.001384
0.06	0.06	939	0.001027	955.3333	0.001045
0.08	0.08	708	0.0007747	726	0.0007944
0.1	0.1	531	0.000581	546	0.0005974
0.12	0.12	399	0.0004366	407	0.0004453
0.14	0.14	291	0.0003184	316	0.0003458
0.16	0.16	258	0.0002823	245	0.0002681
0.18	0.18	186	0.0002035	187.3333	0.000205
0.2	0.2	118	0.0001291	140	0.0001532
0.22	0.22	116	0.0001269	102.6667	0.0001123
0.24	0.24	74	0.00008097	83.6667	0.00009155
0.26	0.26	61	0.00006674	57.6667	0.0000631
0.28	0.28	38	0.00004158	39.3333	0.00004304
0.3	0.3	19	0.00002079	27.6667	0.00003027
0.32	0.32	26	0.00002845	20	0.00002188
0.34	0.34	15	0.00001641	19	0.00002079
0.36	0.36	16	0.00001751	12.6667	0.00001386
0.38	0.38	7	7.6592E-6	9	9.8476E-6
0.4	0.4	4	4.3767E-6	5.6667	6.2003E-6
0.42	0.42	6	6.5651E-6	3.6667	4.0120E-6
0.44	0.44	1	1.0942E-6	2.3333	2.5531E-6
0.46	0.46	0	0	0.3333	3.6473E-7
0.48	0.48	0	0	1.3333	1.4589E-6
0.5	0.5	4	4.3767E-6	1.3333	1.4589E-6
0.52	0.52	0	0	1.3333	1.4589E-6
0.54	0.54	0	0	1.3333	1.4589E-6
0.56	0.56	4	4.3767E-6	2	2.1884E-6
0.58	0.58	2	2.1884E-6	2	2.1884E-6
0.6	0.6	0	0	0.6667	7.2945E-7
0.62	0.62	0	0	0	0
0.64	0.64	0	0	0	0
0.66	0.66	0	0	0	0
0.68	0.68	0	0	0	0
0.7	0.7	0	0	0	0
0.72	0.72	0	0	0	0
0.74	0.74	0	0	0	0
0.76	0.76	0	0	0	0
0.78	0.78	0	0	0	0
0.8	0.8	0	0	0	0
0.82	0.82	0	0	0	0
0.84	0.84	0	0	0	0
0.86	0.86	0	0	0	0
0.88	0.88	0	0	0	0
0.9	0.9	0	0	0	0
0.92	0.92	0	0	0	0
0.94	0.94	0	0	0	0
0.96	0.96	0	0	0	0
0.98	0.98	0	0	0	0
