GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	1086	0.00119	1251	0.00137
-0.98	-0.98	1416	0.001551	1334.3333	0.001462
-0.96	-0.96	1501	0.001644	1482	0.001623
-0.94	-0.94	1529	0.001675	1566.3333	0.001716
-0.92	-0.92	1669	0.001828	1684.6667	0.001846
-0.9	-0.9	1856	0.002033	1933	0.002118
-0.88	-0.88	2274	0.002491	2280	0.002498
-0.86	-0.86	2710	0.002969	2765.6667	0.00303
-0.84	-0.84	3313	0.003629	3339.3333	0.003658
-0.82	-0.82	3995	0.004376	4047	0.004433
-0.8	-0.8	4833	0.005294	4921.6667	0.005392
-0.78	-0.78	5937	0.006504	5993	0.006565
-0.76	-0.76	7209	0.007897	7366.3333	0.00807
-0.74	-0.74	8953	0.009808	9001	0.00986
-0.72	-0.72	10841	0.01188	10839	0.01187
-0.7	-0.7	12723	0.01394	12876.3333	0.01411
-0.68	-0.68	15065	0.0165	15289	0.01675
-0.66	-0.66	18079	0.01981	18106.3333	0.01983
-0.64	-0.64	21175	0.0232	21044	0.02305
-0.62	-0.62	23878	0.02616	24006	0.0263
-0.6	-0.6	26965	0.02954	27065.3333	0.02965
-0.58	-0.58	30353	0.03325	30363	0.03326
-0.56	-0.56	33771	0.037	33566.3333	0.03677
-0.54	-0.54	36575	0.04007	36590.6667	0.04008
-0.52	-0.52	39426	0.04319	39281	0.04303
-0.5	-0.5	41842	0.04584	41654	0.04563
-0.48	-0.48	43694	0.04787	43522.6667	0.04768
-0.46	-0.46	45032	0.04933	44726.6667	0.049
-0.44	-0.44	45454	0.04979	45240.3333	0.04956
-0.42	-0.42	45235	0.04955	44781	0.04906
-0.4	-0.4	43654	0.04782	43677	0.04785
-0.38	-0.38	42142	0.04617	41552	0.04552
-0.36	-0.36	38860	0.04257	38773	0.04247
-0.34	-0.34	35317	0.03869	35190.3333	0.03855
-0.32	-0.32	31394	0.03439	31489	0.0345
-0.3	-0.3	27756	0.03041	27695.3333	0.03034
-0.28	-0.28	23936	0.02622	24016	0.02631
-0.26	-0.26	20356	0.0223	20506	0.02246
-0.24	-0.24	17226	0.01887	17429.3333	0.01909
-0.22	-0.22	14706	0.01611	14722	0.01613
-0.2	-0.2	12234	0.0134	12424.3333	0.01361
-0.18	-0.18	10333	0.01132	10435.3333	0.01143
-0.16	-0.16	8739	0.009573	8856.3333	0.009702
-0.14	-0.14	7497	0.008213	7513.6667	0.008231
-0.12	-0.12	6305	0.006907	6347.6667	0.006954
-0.1	-0.1	5241	0.005741	5349.6667	0.00586
-0.08	-0.08	4503	0.004933	4532.3333	0.004965
-0.06	-0.06	3853	0.004221	3856.6667	0.004225
-0.04	-0.04	3214	0.003521	3242	0.003552
-0.02	-0.02	2659	0.002913	2742.3333	0.003004
0	0	2354	0.002579	2322.3333	0.002544
0.02	0.02	1954	0.002141	1996	0.002187
0.04	0.04	1680	0.00184	1665	0.001824
0.06	0.06	1361	0.001491	1404.3333	0.001538
0.08	0.08	1172	0.001284	1194	0.001308
0.1	0.1	1049	0.001149	1024.3333	0.001122
0.12	0.12	852	0.0009333	879.6667	0.0009636
0.14	0.14	738	0.0008085	758.3333	0.0008307
0.16	0.16	685	0.0007504	651	0.0007132
0.18	0.18	530	0.0005806	579.6667	0.000635
0.2	0.2	524	0.000574	491	0.0005379
0.22	0.22	419	0.000459	424.3333	0.0004648
0.24	0.24	330	0.0003615	345.3333	0.0003783
0.26	0.26	287	0.0003144	293	0.000321
0.28	0.28	262	0.000287	259.3333	0.0002841
0.3	0.3	229	0.0002509	231.6667	0.0002538
0.32	0.32	204	0.0002235	196.6667	0.0002154
0.34	0.34	157	0.000172	156.3333	0.0001713
0.36	0.36	108	0.0001183	118.6667	0.00013
0.38	0.38	91	0.00009969	97	0.0001063
0.4	0.4	92	0.0001008	86.6667	0.00009494
0.42	0.42	77	0.00008435	80.3333	0.000088
0.44	0.44	72	0.00007887	70	0.00007668
0.46	0.46	61	0.00006682	60	0.00006573
0.48	0.48	47	0.00005149	51	0.00005587
0.5	0.5	45	0.0000493	43.3333	0.00004747
0.52	0.52	38	0.00004163	40	0.00004382
0.54	0.54	37	0.00004053	34	0.00003725
0.56	0.56	27	0.00002958	29.6667	0.0000325
0.58	0.58	25	0.00002739	24.6667	0.00002702
0.6	0.6	22	0.0000241	20.3333	0.00002227
0.62	0.62	14	0.00001534	17	0.00001862
0.64	0.64	15	0.00001643	13	0.00001424
0.66	0.66	10	0.00001095	13	0.00001424
0.68	0.68	14	0.00001534	10.3333	0.00001132
0.7	0.7	7	7.6683E-6	9	9.8592E-6
0.72	0.72	6	6.5728E-6	7	7.6683E-6
0.74	0.74	8	8.7638E-6	6	6.5728E-6
0.76	0.76	4	4.3819E-6	5.6667	6.2077E-6
0.78	0.78	5	5.4774E-6	4.6667	5.1122E-6
0.8	0.8	5	5.4774E-6	3.6667	4.0167E-6
0.82	0.82	1	1.0955E-6	2.3333	2.5561E-6
0.84	0.84	1	1.0955E-6	1.6667	1.8258E-6
0.86	0.86	3	3.2864E-6	1.3333	1.4606E-6
0.88	0.88	0	0	1	1.0955E-6
0.9	0.9	0	0	0	0
0.92	0.92	0	0	0	0
0.94	0.94	0	0	0	0
0.96	0.96	0	0	0	0
0.98	0.98	0	0	0	0
