GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	38993	0.04457	36543	0.04177
-0.98	-0.98	34093	0.03897	34431.3333	0.03935
-0.96	-0.96	30208	0.03453	30634	0.03501
-0.94	-0.94	27601	0.03155	28012	0.03202
-0.92	-0.92	26227	0.02998	26477.6667	0.03026
-0.9	-0.9	25605	0.02926	26003.6667	0.02972
-0.88	-0.88	26179	0.02992	26064.6667	0.02979
-0.86	-0.86	26410	0.03018	26606.3333	0.03041
-0.84	-0.84	27230	0.03112	27094.3333	0.03097
-0.82	-0.82	27643	0.03159	27571.3333	0.03151
-0.8	-0.8	27841	0.03182	27864	0.03185
-0.78	-0.78	28108	0.03213	28154.6667	0.03218
-0.76	-0.76	28515	0.03259	28456	0.03252
-0.74	-0.74	28745	0.03285	28485.6667	0.03256
-0.72	-0.72	28197	0.03223	28306.6667	0.03235
-0.7	-0.7	27978	0.03198	27940	0.03193
-0.68	-0.68	27645	0.0316	27493.3333	0.03142
-0.66	-0.66	26857	0.0307	26957.3333	0.03081
-0.64	-0.64	26370	0.03014	26295.3333	0.03005
-0.62	-0.62	25659	0.02933	25531.3333	0.02918
-0.6	-0.6	24565	0.02808	24620.3333	0.02814
-0.58	-0.58	23637	0.02702	23547.3333	0.02691
-0.56	-0.56	22440	0.02565	22392	0.02559
-0.54	-0.54	21099	0.02411	21013	0.02402
-0.52	-0.52	19500	0.02229	19805.6667	0.02264
-0.5	-0.5	18818	0.02151	18582.3333	0.02124
-0.48	-0.48	17429	0.01992	17453.6667	0.01995
-0.46	-0.46	16114	0.01842	16156.6667	0.01847
-0.44	-0.44	14927	0.01706	15002.3333	0.01715
-0.42	-0.42	13966	0.01596	13896	0.01588
-0.4	-0.4	12795	0.01462	12891.3333	0.01473
-0.38	-0.38	11913	0.01362	11875.6667	0.01357
-0.36	-0.36	10919	0.01248	10985.6667	0.01256
-0.34	-0.34	10125	0.01157	10198.6667	0.01166
-0.32	-0.32	9552	0.01092	9432	0.01078
-0.3	-0.3	8619	0.009851	8636	0.00987
-0.28	-0.28	7737	0.008843	7829.3333	0.008948
-0.26	-0.26	7132	0.008151	7143.3333	0.008164
-0.24	-0.24	6561	0.007499	6601.6667	0.007545
-0.22	-0.22	6112	0.006986	6051	0.006916
-0.2	-0.2	5480	0.006263	5548	0.006341
-0.18	-0.18	5052	0.005774	5065.3333	0.005789
-0.16	-0.16	4664	0.005331	4618.3333	0.005278
-0.14	-0.14	4139	0.004731	4222	0.004825
-0.12	-0.12	3863	0.004415	3851	0.004401
-0.1	-0.1	3551	0.004059	3561.6667	0.004071
-0.08	-0.08	3271	0.003739	3310.3333	0.003783
-0.06	-0.06	3109	0.003553	3011	0.003441
-0.04	-0.04	2653	0.003032	2714.6667	0.003103
-0.02	-0.02	2382	0.002722	2464.3333	0.002817
0	0	2358	0.002695	2285.6667	0.002612
0.02	0.02	2117	0.00242	2126.3333	0.00243
0.04	0.04	1904	0.002176	1943.3333	0.002221
0.06	0.06	1809	0.002068	1788.3333	0.002044
0.08	0.08	1652	0.001888	1653	0.001889
0.1	0.1	1498	0.001712	1504	0.001719
0.12	0.12	1362	0.001557	1360	0.001554
0.14	0.14	1220	0.001394	1226	0.001401
0.16	0.16	1096	0.001253	1110.6667	0.001269
0.18	0.18	1016	0.001161	1028.3333	0.001175
0.2	0.2	973	0.001112	924	0.001056
0.22	0.22	783	0.0008949	853.3333	0.0009753
0.24	0.24	804	0.0009189	762.6667	0.0008717
0.26	0.26	701	0.0008012	721.3333	0.0008244
0.28	0.28	659	0.0007532	651	0.000744
0.3	0.3	593	0.0006778	599.3333	0.000685
0.32	0.32	546	0.000624	547.3333	0.0006256
0.34	0.34	503	0.0005749	495	0.0005658
0.36	0.36	436	0.0004983	458.6667	0.0005242
0.38	0.38	437	0.0004995	420	0.00048
0.4	0.4	387	0.0004423	385.3333	0.0004404
0.42	0.42	332	0.0003795	339.6667	0.0003882
0.44	0.44	300	0.0003429	299	0.0003417
0.46	0.46	265	0.0003029	276.3333	0.0003158
0.48	0.48	264	0.0003017	254	0.0002903
0.5	0.5	233	0.0002663	226.6667	0.0002591
0.52	0.52	183	0.0002092	201.6667	0.0002305
0.54	0.54	189	0.000216	178	0.0002034
0.56	0.56	162	0.0001852	169	0.0001932
0.58	0.58	156	0.0001783	147	0.000168
0.6	0.6	123	0.0001406	133.6667	0.0001528
0.62	0.62	122	0.0001394	113.3333	0.0001295
0.64	0.64	95	0.0001086	101.3333	0.0001158
0.66	0.66	87	0.00009944	83	0.00009486
0.68	0.68	67	0.00007658	70.3333	0.00008039
0.7	0.7	57	0.00006515	55.3333	0.00006324
0.72	0.72	42	0.000048	49.6667	0.00005677
0.74	0.74	50	0.00005715	43.3333	0.00004953
0.76	0.76	38	0.00004343	38	0.00004343
0.78	0.78	26	0.00002972	29	0.00003315
0.8	0.8	23	0.00002629	20.6667	0.00002362
0.82	0.82	13	0.00001486	15	0.00001714
0.84	0.84	9	0.00001029	11.3333	0.00001295
0.86	0.86	12	0.00001372	7.6667	8.7625E-6
0.88	0.88	2	2.2859E-6	5.6667	6.4766E-6
0.9	0.9	3	3.4288E-6	2	2.2859E-6
0.92	0.92	1	1.1429E-6	1.3333	1.5239E-6
0.94	0.94	0	0	0.3333	3.8098E-7
0.96	0.96	0	0	0	0
0.98	0.98	0	0	0	0
