GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	25063	0.05342	22979	0.04898
-0.98	-0.98	20895	0.04454	21230.6667	0.04525
-0.96	-0.96	17734	0.0378	18143.6667	0.03867
-0.94	-0.94	15802	0.03368	16145	0.03441
-0.92	-0.92	14899	0.03176	15194	0.03239
-0.9	-0.9	14881	0.03172	14922	0.03181
-0.88	-0.88	14986	0.03194	15181	0.03236
-0.86	-0.86	15676	0.03341	15485.3333	0.03301
-0.84	-0.84	15794	0.03367	15976	0.03405
-0.82	-0.82	16458	0.03508	16163	0.03445
-0.8	-0.8	16237	0.03461	16335.3333	0.03482
-0.78	-0.78	16311	0.03477	16312	0.03477
-0.76	-0.76	16388	0.03493	16291.6667	0.03473
-0.74	-0.74	16176	0.03448	16138	0.0344
-0.72	-0.72	15850	0.03378	15819.3333	0.03372
-0.7	-0.7	15432	0.03289	15472	0.03298
-0.68	-0.68	15134	0.03226	15010.6667	0.032
-0.66	-0.66	14466	0.03083	14528	0.03097
-0.64	-0.64	13984	0.02981	13987	0.02981
-0.62	-0.62	13511	0.0288	13388	0.02854
-0.6	-0.6	12669	0.027	12826.3333	0.02734
-0.58	-0.58	12299	0.02622	12160	0.02592
-0.56	-0.56	11512	0.02454	11502.3333	0.02452
-0.54	-0.54	10696	0.0228	10728	0.02287
-0.52	-0.52	9976	0.02126	10074.3333	0.02147
-0.5	-0.5	9551	0.02036	9421.6667	0.02008
-0.48	-0.48	8738	0.01863	8801	0.01876
-0.46	-0.46	8114	0.0173	8133.6667	0.01734
-0.44	-0.44	7549	0.01609	7577.6667	0.01615
-0.42	-0.42	7070	0.01507	7040.3333	0.01501
-0.4	-0.4	6502	0.01386	6508.3333	0.01387
-0.38	-0.38	5953	0.01269	5943.6667	0.01267
-0.36	-0.36	5376	0.01146	5390.3333	0.01149
-0.34	-0.34	4842	0.01032	4917.3333	0.01048
-0.32	-0.32	4534	0.009664	4499.3333	0.00959
-0.3	-0.3	4122	0.008786	4121.6667	0.008785
-0.28	-0.28	3709	0.007906	3706.3333	0.0079
-0.26	-0.26	3288	0.007008	3387.6667	0.007221
-0.24	-0.24	3166	0.006748	3075.3333	0.006555
-0.22	-0.22	2772	0.005909	2787.3333	0.005941
-0.2	-0.2	2424	0.005167	2502.3333	0.005334
-0.18	-0.18	2311	0.004926	2263.6667	0.004825
-0.16	-0.16	2056	0.004382	2087	0.004449
-0.14	-0.14	1894	0.004037	1879	0.004005
-0.12	-0.12	1687	0.003596	1702.6667	0.003629
-0.1	-0.1	1527	0.003255	1535	0.003272
-0.08	-0.08	1391	0.002965	1405.6667	0.002996
-0.06	-0.06	1299	0.002769	1284	0.002737
-0.04	-0.04	1162	0.002477	1138.3333	0.002426
-0.02	-0.02	954	0.002033	1027	0.002189
0	0	965	0.002057	912.3333	0.001945
0.02	0.02	818	0.001744	832	0.001773
0.04	0.04	713	0.00152	725.6667	0.001547
0.06	0.06	646	0.001377	654.6667	0.001395
0.08	0.08	605	0.00129	597	0.001273
0.1	0.1	540	0.001151	541	0.001153
0.12	0.12	478	0.001019	509.6667	0.001086
0.14	0.14	511	0.001089	480	0.001023
0.16	0.16	451	0.0009613	441.3333	0.0009407
0.18	0.18	362	0.0007716	378	0.0008057
0.2	0.2	321	0.0006842	320.6667	0.0006835
0.22	0.22	279	0.0005947	292	0.0006224
0.24	0.24	276	0.0005883	269.6667	0.0005748
0.26	0.26	254	0.0005414	251.3333	0.0005357
0.28	0.28	224	0.0004775	234	0.0004988
0.3	0.3	224	0.0004775	203.6667	0.0004341
0.32	0.32	163	0.0003474	184.3333	0.0003929
0.34	0.34	166	0.0003538	164.3333	0.0003503
0.36	0.36	164	0.0003496	161.6667	0.0003446
0.38	0.38	155	0.0003304	155	0.0003304
0.4	0.4	146	0.0003112	135.6667	0.0002892
0.42	0.42	106	0.0002259	115.6667	0.0002465
0.44	0.44	95	0.0002025	97.3333	0.0002075
0.46	0.46	91	0.000194	89.6667	0.0001911
0.48	0.48	83	0.0001769	81.6667	0.0001741
0.5	0.5	71	0.0001513	74	0.0001577
0.52	0.52	68	0.0001449	67	0.0001428
0.54	0.54	62	0.0001322	60.6667	0.0001293
0.56	0.56	52	0.0001108	51.3333	0.0001094
0.58	0.58	40	0.00008526	45	0.00009592
0.6	0.6	43	0.00009166	36.6667	0.00007816
0.62	0.62	27	0.00005755	33	0.00007034
0.64	0.64	29	0.00006181	27.6667	0.00005897
0.66	0.66	27	0.00005755	29.6667	0.00006324
0.68	0.68	33	0.00007034	27.3333	0.00005826
0.7	0.7	22	0.00004689	26	0.00005542
0.72	0.72	23	0.00004903	18.3333	0.00003908
0.74	0.74	10	0.00002132	16	0.0000341
0.76	0.76	15	0.00003197	10.6667	0.00002274
0.78	0.78	7	0.00001492	11	0.00002345
0.8	0.8	11	0.00002345	6.6667	0.00001421
0.82	0.82	2	4.2631E-6	6.3333	0.0000135
0.84	0.84	6	0.00001279	3	6.3946E-6
0.86	0.86	1	2.1315E-6	2.3333	4.9736E-6
0.88	0.88	0	0	1	2.1315E-6
0.9	0.9	2	4.2631E-6	1	2.1315E-6
0.92	0.92	1	2.1315E-6	1	2.1315E-6
0.94	0.94	0	0	0.6667	1.4210E-6
0.96	0.96	1	2.1315E-6	0.3333	7.1051E-7
0.98	0.98	0	0	0.5	1.0658E-6
