P_act	P_set	T_act	T_ext	T_int	T_set	air	clock	dewpt	dht_H	dht_T	intensity	mlx_amb	mlx_inf	msg	n_read	shutter	slit_em	slit_ex	state	time	vol	watch	wl_em	wl_ex
650.0	625.0	0.46	9.39	-0.01	0	True	20220719 145403	9.9	52.0	19.5	0.08	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	False	18.87137198448181	440	410
623.8	625.0	0.46	9.38	-0.01	0	True	20220719 145404	9.9	52.0	19.5	0.293	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2999	19.501954078674316	440.0	410.0
623.8	625.0	0.46	9.38	-0.01	0	True	20220719 145404	9.7	51.0	19.5	-0.184	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2999	19.675184965133667	440.0	410.0
624.5	625.0	0.46	9.38	-0.01	0	True	20220719 145404	9.7	51.0	19.5	-0.271	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2949	19.950052738189697	440.0	410.0
625.0	625.0	0.46	9.38	-0.01	0	True	20220719 145405	9.7	51.0	19.5	0.112	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2939	20.21505379676819	440.0	410.0
625.0	625.0	0.46	9.38	-0.01	0	True	20220719 145405	9.7	51.0	19.5	-0.542	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2932	20.48199200630188	440.0	410.0
625.0	625.0	0.46	9.38	-0.01	0	True	20220719 145405	9.7	51.0	19.5	-0.522	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2928	20.750043869018555	440.0	410.0
625.0	625.0	0.46	9.38	-0.01	0	True	20220719 145405	9.7	51.0	19.5	-0.146	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2923	21.021020889282227	440.0	410.0
625.0	625.0	0.46	9.38	-0.01	0	True	20220719 145406	9.7	51.0	19.5	0.431	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2915	21.289997816085815	440.0	410.0
625.0	625.0	0.46	9.38	-0.01	0	True	20220719 145406	9.7	51.0	19.5	-0.336	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2912	21.56906485557556	440.0	410.0
625.0	625.0	0.46	9.38	-0.01	0	True	20220719 145406	9.7	51.0	19.5	-0.25	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.291	21.842015027999878	440.0	410.0
625.0	625.0	0.45	9.38	-0.02	0	True	20220719 145406	9.7	51.0	19.5	0.579	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2908	22.112164735794067	440.0	410.0
625.0	625.0	0.45	9.38	-0.02	0	True	20220719 145407	9.7	51.0	19.5	-0.217	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2906	22.37931799888611	440.0	410.0
625.0	625.0	0.45	9.38	-0.02	0	True	20220719 145407	9.7	51.0	19.5	-0.559	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2904	22.672930002212524	440.0	410.0
625.4	625.0	0.45	9.38	-0.02	0	True	20220719 145407	9.7	51.0	19.5	-0.49	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2903	22.949910879135132	440.0	410.0
625.5	625.0	0.45	9.38	-0.02	0	True	20220719 145408	9.7	51.0	19.5	-0.332	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2912	23.22306489944458	440.0	410.0
625.5	625.0	0.45	9.38	-0.02	0	True	20220719 145408	9.7	51.0	19.5	0.724	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2925	23.487801790237427	440.0	410.0
625.0	625.0	0.45	9.37	-0.02	0	True	20220719 145408	9.7	51.0	19.5	-0.022	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.295	23.756765842437744	440.0	410.0
625.0	625.0	0.45	9.37	-0.02	0	True	20220719 145408	9.7	51.0	19.5	0.039	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.296	24.04688000679016	440.0	410.0
625.0	625.0	0.45	9.37	-0.02	0	True	20220719 145409	9.2	49.0	19.4	0.26	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2971	24.320557832717896	440.0	410.0
625.0	625.0	0.45	9.37	-0.02	0	True	20220719 145409	9.2	49.0	19.4	-0.358	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.298	24.592020988464355	440.0	410.0
625.0	625.0	0.45	9.37	-0.02	0	True	20220719 145409	9.2	49.0	19.4	-0.298	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2995	24.87805700302124	440.0	410.0
624.3	625.0	0.45	9.37	-0.02	0	True	20220719 145409	9.2	49.0	19.4	0.005	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2992	25.14895796775818	440.0	410.0
624.4	625.0	0.45	9.37	-0.02	0	True	20220719 145410	9.2	49.0	19.4	-0.242	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2976	25.432994842529297	440.0	410.0
624.5	625.0	0.45	9.37	-0.02	0	True	20220719 145410	9.2	49.0	19.4	-0.932	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2962	25.70264983177185	440.0	410.0
624.6	625.0	0.45	9.37	-0.02	0	True	20220719 145410	9.2	49.0	19.4	0.071	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.293	25.975956916809082	440.0	410.0
624.6	625.0	0.45	9.37	-0.02	0	True	20220719 145411	9.2	49.0	19.4	-0.114	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2916	26.240659952163696	440.0	410.0
625.0	625.0	0.45	9.37	-0.02	0	True	20220719 145411	9.2	49.0	19.4	-0.379	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2903	26.506967067718506	440.0	410.0
625.0	625.0	0.45	9.37	-0.02	0	True	20220719 145411	9.2	49.0	19.4	-0.297	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2891	26.781144857406616	440.0	410.0
625.7	625.0	0.45	9.37	-0.02	0	True	20220719 145411	9.2	49.0	19.4	-0.695	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2886	27.0577290058136	440.0	410.0
625.7	625.0	0.45	9.37	-0.02	0	True	20220719 145412	9.2	49.0	19.4	-0.472	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	False	27.32365584373474	440.0	410.0
625.6	625.0	0.45	9.38	-0.02	0	True	20220719 145412	9.2	49.0	19.4	-0.54	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2919	27.608646869659424	440.0	410.0
625.5	625.0	0.45	9.38	-0.02	0	True	20220719 145412	9.2	49.0	19.4	-0.747	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2934	27.892751932144165	440.0	410.0
625.4	625.0	0.45	9.38	-0.02	0	True	20220719 145412	9.2	49.0	19.4	-0.732	0.0	0.0	tdir:up_pdir:dn_rep:0_cyc:0	7	None	3	3	1	300	96.2951	28.162643909454346	440.0	410.0
