GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	14202	0.02552	14373.5	0.02583
-0.98	-0.9223	14545	0.02614	13862	0.02491
-0.96	-0.8491	12839	0.02307	12902	0.02319
-0.94	-0.7798	11322	0.02035	11308.3333	0.02032
-0.92	-0.7143	9764	0.01755	10141.6667	0.01822
-0.9	-0.6522	9339	0.01678	9483	0.01704
-0.88	-0.5932	9346	0.01679	9419	0.01693
-0.86	-0.5372	9572	0.0172	9605.6667	0.01726
-0.84	-0.4839	9899	0.01779	9992.3333	0.01796
-0.82	-0.4331	10506	0.01888	10441.6667	0.01876
-0.8	-0.3846	10920	0.01962	11000	0.01977
-0.78	-0.3383	11574	0.0208	11475	0.02062
-0.76	-0.2941	11931	0.02144	11972.6667	0.02151
-0.74	-0.2518	12413	0.02231	12345	0.02218
-0.72	-0.2113	12691	0.02281	12670.6667	0.02277
-0.7	-0.1724	12908	0.0232	13000.6667	0.02336
-0.68	-0.1351	13403	0.02409	13273.6667	0.02385
-0.66	-0.09934	13510	0.02428	13569.3333	0.02438
-0.64	-0.06494	13795	0.02479	13862.6667	0.02491
-0.62	-0.03185	14283	0.02567	13903	0.02498
-0.6	0	13631	0.0245	13948.6667	0.02507
-0.58	0.03067	13932	0.02504	13849	0.02489
-0.56	0.06024	13984	0.02513	13838.6667	0.02487
-0.54	0.08876	13600	0.02444	13718.6667	0.02465
-0.52	0.1163	13572	0.02439	13545.6667	0.02434
-0.5	0.1429	13465	0.0242	13385	0.02405
-0.48	0.1685	13118	0.02357	13102	0.02354
-0.46	0.1934	12723	0.02286	12781.6667	0.02297
-0.44	0.2174	12504	0.02247	12511.3333	0.02248
-0.42	0.2406	12307	0.02212	12176.3333	0.02188
-0.4	0.2632	11718	0.02106	11785	0.02118
-0.38	0.285	11330	0.02036	11337	0.02037
-0.36	0.3061	10963	0.0197	10956.6667	0.01969
-0.34	0.3266	10577	0.01901	10552.3333	0.01896
-0.32	0.3465	10117	0.01818	10142.6667	0.01823
-0.3	0.3659	9734	0.01749	9709.6667	0.01745
-0.28	0.3846	9278	0.01667	9325	0.01676
-0.26	0.4028	8963	0.01611	8909	0.01601
-0.24	0.4206	8486	0.01525	8499	0.01527
-0.22	0.4378	8048	0.01446	7985.3333	0.01435
-0.2	0.4545	7422	0.01334	7516.6667	0.01351
-0.18	0.4709	7080	0.01272	7079	0.01272
-0.16	0.4867	6735	0.0121	6740	0.01211
-0.14	0.5022	6405	0.01151	6331	0.01138
-0.12	0.5172	5853	0.01052	5947.3333	0.01069
-0.1	0.5319	5584	0.01003	5508	0.009898
-0.08	0.5462	5087	0.009141	5142.3333	0.009241
-0.06	0.5602	4756	0.008547	4718.3333	0.008479
-0.04	0.5738	4312	0.007749	4366.6667	0.007847
-0.02	0.587	4032	0.007246	4071.6667	0.007317
0	0.6	3871	0.006956	3809.6667	0.006846
0.02	0.6126	3526	0.006336	3545	0.00637
0.04	0.625	3238	0.005819	3258.3333	0.005855
0.06	0.6371	3011	0.005411	3018	0.005423
0.08	0.6489	2805	0.005041	2776	0.004988
0.1	0.6604	2512	0.004514	2559.3333	0.004599
0.12	0.6716	2361	0.004243	2308.6667	0.004149
0.14	0.6827	2053	0.003689	2119.3333	0.003808
0.16	0.6934	1944	0.003493	1939.3333	0.003485
0.18	0.704	1821	0.003272	1785.3333	0.003208
0.2	0.7143	1591	0.002859	1644.6667	0.002955
0.22	0.7244	1522	0.002735	1484.6667	0.002668
0.24	0.7343	1341	0.00241	1353.6667	0.002433
0.26	0.7439	1198	0.002153	1206.3333	0.002168
0.28	0.7534	1080	0.001941	1093.6667	0.001965
0.3	0.7627	1003	0.001802	975	0.001752
0.32	0.7718	842	0.001513	873.3333	0.001569
0.34	0.7807	775	0.001393	779.6667	0.001401
0.36	0.7895	722	0.001297	715	0.001285
0.38	0.798	648	0.001164	663.6667	0.001193
0.4	0.8065	621	0.001116	587.6667	0.001056
0.42	0.8147	494	0.0008877	524	0.0009416
0.44	0.8228	457	0.0008212	454.6667	0.000817
0.46	0.8307	413	0.0007422	417.6667	0.0007506
0.48	0.8385	383	0.0006883	375	0.0006739
0.5	0.8462	329	0.0005912	333	0.0005984
0.52	0.8537	287	0.0005157	283.6667	0.0005098
0.54	0.861	235	0.0004223	244.3333	0.0004391
0.56	0.8683	211	0.0003792	209	0.0003756
0.58	0.8754	181	0.0003253	190	0.0003414
0.6	0.8824	178	0.0003199	162.3333	0.0002917
0.62	0.8892	128	0.00023	147.6667	0.0002654
0.64	0.896	137	0.0002462	126.6667	0.0002276
0.66	0.9026	115	0.0002067	118.6667	0.0002132
0.68	0.9091	104	0.0001869	106	0.0001905
0.7	0.9155	99	0.0001779	90	0.0001617
0.72	0.9218	67	0.0001204	82.6667	0.0001486
0.74	0.928	82	0.0001474	64.6667	0.0001162
0.76	0.9341	45	0.00008087	60	0.0001078
0.78	0.9401	53	0.00009524	45.3333	0.00008146
0.8	0.9459	38	0.00006829	36.3333	0.00006529
0.82	0.9517	18	0.00003235	27.3333	0.00004912
0.84	0.9574	26	0.00004672	21	0.00003774
0.86	0.9631	19	0.00003414	18.6667	0.00003354
0.88	0.9686	11	0.00001977	12.3333	0.00002216
0.9	0.974	7	0.00001258	6.6667	0.00001198
0.92	0.9794	2	3.5940E-6	3	5.3910E-6
0.94	0.9847	0	0	0.6667	1.1980E-6
0.96	0.9898	0	0	0	0
0.98	0.995	0	0	0	0
