GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	2	3.5637E-6	2.5	4.4546E-6
-0.98	-0.9223	3	5.3455E-6	5.3333	9.5032E-6
-0.96	-0.8491	11	0.0000196	16.3333	0.0000291
-0.94	-0.7798	35	0.00006236	32.6667	0.00005821
-0.92	-0.7143	52	0.00009266	63.3333	0.0001128
-0.9	-0.6522	103	0.0001835	116	0.0002067
-0.88	-0.5932	193	0.0003439	205.6667	0.0003665
-0.86	-0.5372	321	0.000572	339.3333	0.0006046
-0.84	-0.4839	504	0.000898	518.3333	0.0009236
-0.82	-0.4331	730	0.001301	766.3333	0.001365
-0.8	-0.3846	1065	0.001898	1095.6667	0.001952
-0.78	-0.3383	1492	0.002659	1549.6667	0.002761
-0.76	-0.2941	2092	0.003728	2109.3333	0.003758
-0.74	-0.2518	2744	0.004889	2779.3333	0.004952
-0.72	-0.2113	3502	0.00624	3566.3333	0.006355
-0.7	-0.1724	4453	0.007935	4552.6667	0.008112
-0.68	-0.1351	5703	0.01016	5719.6667	0.01019
-0.66	-0.09934	7003	0.01248	7170.3333	0.01278
-0.64	-0.06494	8805	0.01569	8730.3333	0.01556
-0.62	-0.03185	10383	0.0185	10500.6667	0.01871
-0.6	0	12314	0.02194	12342.3333	0.02199
-0.58	0.03067	14330	0.02553	14338	0.02555
-0.56	0.06024	16370	0.02917	16425	0.02927
-0.54	0.08876	18575	0.0331	18618	0.03317
-0.52	0.1163	20909	0.03726	20900	0.03724
-0.5	0.1429	23216	0.04137	23110.6667	0.04118
-0.48	0.1685	25207	0.04491	25026.6667	0.04459
-0.46	0.1934	26657	0.0475	26555.6667	0.04732
-0.44	0.2174	27803	0.04954	27658.3333	0.04928
-0.42	0.2406	28515	0.05081	28431.3333	0.05066
-0.4	0.2632	28976	0.05163	28723.6667	0.05118
-0.38	0.285	28680	0.0511	28435	0.05067
-0.36	0.3061	27649	0.04927	27584.3333	0.04915
-0.34	0.3266	26424	0.04708	26237	0.04675
-0.32	0.3465	24638	0.0439	24595.6667	0.04383
-0.3	0.3659	22725	0.04049	22662.3333	0.04038
-0.28	0.3846	20624	0.03675	20694.6667	0.03687
-0.26	0.4028	18735	0.03338	18571.6667	0.03309
-0.24	0.4206	16356	0.02914	16448.3333	0.02931
-0.22	0.4378	14254	0.0254	14328	0.02553
-0.2	0.4545	12374	0.02205	12377.6667	0.02206
-0.18	0.4709	10505	0.01872	10553	0.0188
-0.16	0.4867	8780	0.01564	8893	0.01585
-0.14	0.5022	7394	0.01317	7432.3333	0.01324
-0.12	0.5172	6123	0.01091	6213.6667	0.01107
-0.1	0.5319	5124	0.00913	5140.3333	0.009159
-0.08	0.5462	4174	0.007437	4243	0.00756
-0.06	0.5602	3431	0.006113	3417.6667	0.00609
-0.04	0.5738	2648	0.004718	2710.6667	0.00483
-0.02	0.587	2053	0.003658	2114.6667	0.003768
0	0.6	1643	0.002928	1650.6667	0.002941
0.02	0.6126	1256	0.002238	1274.6667	0.002271
0.04	0.625	925	0.001648	972.3333	0.001733
0.06	0.6371	736	0.001311	750.3333	0.001337
0.08	0.6489	590	0.001051	573.6667	0.001022
0.1	0.6604	395	0.0007038	422	0.0007519
0.12	0.6716	281	0.0005007	290	0.0005167
0.14	0.6827	194	0.0003457	211	0.000376
0.16	0.6934	158	0.0002815	142.6667	0.0002542
0.18	0.704	76	0.0001354	104	0.0001853
0.2	0.7143	78	0.000139	66	0.0001176
0.22	0.7244	44	0.0000784	50.6667	0.00009028
0.24	0.7343	30	0.00005346	32.6667	0.00005821
0.26	0.7439	24	0.00004276	21.3333	0.00003801
0.28	0.7534	10	0.00001782	13.3333	0.00002376
0.3	0.7627	6	0.00001069	7	0.00001247
0.32	0.7718	5	8.9092E-6	4.6667	8.3153E-6
0.34	0.7807	3	5.3455E-6	3.3333	5.9395E-6
0.36	0.7895	2	3.5637E-6	2.3333	4.1576E-6
0.38	0.798	2	3.5637E-6	1.6667	2.9697E-6
0.4	0.8065	1	1.7818E-6	1	1.7818E-6
0.42	0.8147	0	0	0.3333	5.9395E-7
0.44	0.8228	0	0	0.3333	5.9395E-7
0.46	0.8307	1	1.7818E-6	0.3333	5.9395E-7
0.48	0.8385	0	0	0.3333	5.9395E-7
0.5	0.8462	0	0	0	0
0.52	0.8537	0	0	0	0
0.54	0.861	0	0	0	0
0.56	0.8683	0	0	0	0
0.58	0.8754	0	0	0	0
0.6	0.8824	0	0	0	0
0.62	0.8892	0	0	0	0
0.64	0.896	0	0	0	0
0.66	0.9026	0	0	0	0
0.68	0.9091	0	0	0	0
0.7	0.9155	0	0	0	0
0.72	0.9218	0	0	0	0
0.74	0.928	0	0	0	0
0.76	0.9341	0	0	0	0
0.78	0.9401	0	0	0	0
0.8	0.9459	0	0	0	0
0.82	0.9517	0	0	0	0
0.84	0.9574	0	0	0	0
0.86	0.9631	0	0	0	0
0.88	0.9686	0	0	0	0
0.9	0.974	0	0	0	0
0.92	0.9794	0	0	0	0
0.94	0.9847	0	0	0	0
0.96	0.9898	0	0	0	0
0.98	0.995	0	0	0	0
