GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	7308	0.01622	7469.5	0.01657
-0.98	-0.9223	7631	0.01693	7208	0.01599
-0.96	-0.8491	6685	0.01483	6771.3333	0.01503
-0.94	-0.7798	5998	0.01331	6185.6667	0.01373
-0.92	-0.7143	5874	0.01303	5979.3333	0.01327
-0.9	-0.6522	6066	0.01346	6181.3333	0.01372
-0.88	-0.5932	6604	0.01465	6652	0.01476
-0.86	-0.5372	7286	0.01617	7286.6667	0.01617
-0.84	-0.4839	7970	0.01768	8031	0.01782
-0.82	-0.4331	8837	0.01961	8662.6667	0.01922
-0.8	-0.3846	9181	0.02037	9282.6667	0.0206
-0.78	-0.3383	9830	0.02181	9868.3333	0.0219
-0.76	-0.2941	10594	0.02351	10492.3333	0.02328
-0.74	-0.2518	11053	0.02453	11055.3333	0.02453
-0.72	-0.2113	11519	0.02556	11467.6667	0.02545
-0.7	-0.1724	11831	0.02625	11783.3333	0.02615
-0.68	-0.1351	12000	0.02663	12083.3333	0.02681
-0.66	-0.09934	12419	0.02756	12227.6667	0.02713
-0.64	-0.06494	12264	0.02721	12471.6667	0.02767
-0.62	-0.03185	12732	0.02825	12563.6667	0.02788
-0.6	0	12695	0.02817	12682	0.02814
-0.58	0.03067	12619	0.028	12640.3333	0.02805
-0.56	0.06024	12607	0.02797	12610.6667	0.02798
-0.54	0.08876	12606	0.02797	12480.3333	0.02769
-0.52	0.1163	12228	0.02713	12325.6667	0.02735
-0.5	0.1429	12143	0.02694	12076.3333	0.0268
-0.48	0.1685	11858	0.02631	11865.3333	0.02633
-0.46	0.1934	11595	0.02573	11545.6667	0.02562
-0.44	0.2174	11184	0.02482	11249.6667	0.02496
-0.42	0.2406	10970	0.02434	10880.6667	0.02414
-0.4	0.2632	10488	0.02327	10470.6667	0.02323
-0.38	0.285	9954	0.02209	9956.3333	0.02209
-0.36	0.3061	9427	0.02092	9539.6667	0.02117
-0.34	0.3266	9238	0.0205	9166.6667	0.02034
-0.32	0.3465	8835	0.0196	8773	0.01947
-0.3	0.3659	8246	0.0183	8313.6667	0.01845
-0.28	0.3846	7860	0.01744	7850.6667	0.01742
-0.26	0.4028	7446	0.01652	7397	0.01641
-0.24	0.4206	6885	0.01528	6983.6667	0.0155
-0.22	0.4378	6620	0.01469	6478.3333	0.01437
-0.2	0.4545	5930	0.01316	6063	0.01345
-0.18	0.4709	5639	0.01251	5563.6667	0.01235
-0.16	0.4867	5122	0.01137	5175.6667	0.01148
-0.14	0.5022	4766	0.01058	4812.3333	0.01068
-0.12	0.5172	4549	0.01009	4490.6667	0.009964
-0.1	0.5319	4157	0.009224	4186	0.009288
-0.08	0.5462	3852	0.008547	3820.3333	0.008477
-0.06	0.5602	3452	0.00766	3511.6667	0.007792
-0.04	0.5738	3231	0.007169	3172.6667	0.00704
-0.02	0.587	2835	0.006291	2911.3333	0.00646
0	0.6	2668	0.00592	2667.6667	0.005919
0.02	0.6126	2500	0.005547	2445	0.005425
0.04	0.625	2167	0.004808	2218	0.004922
0.06	0.6371	1987	0.004409	1982	0.004398
0.08	0.6489	1792	0.003976	1799.6667	0.003993
0.1	0.6604	1620	0.003595	1633.6667	0.003625
0.12	0.6716	1489	0.003304	1483.3333	0.003291
0.14	0.6827	1341	0.002976	1357.6667	0.003013
0.16	0.6934	1243	0.002758	1231.3333	0.002732
0.18	0.704	1110	0.002463	1113.6667	0.002471
0.2	0.7143	988	0.002192	972	0.002157
0.22	0.7244	818	0.001815	854.3333	0.001896
0.24	0.7343	757	0.00168	721.6667	0.001601
0.26	0.7439	590	0.001309	642.6667	0.001426
0.28	0.7534	581	0.001289	552	0.001225
0.3	0.7627	485	0.001076	499.3333	0.001108
0.32	0.7718	432	0.0009586	431	0.0009564
0.34	0.7807	376	0.0008343	384.6667	0.0008535
0.36	0.7895	346	0.0007677	334	0.0007411
0.38	0.798	280	0.0006213	285.6667	0.0006339
0.4	0.8065	231	0.0005126	249	0.0005525
0.42	0.8147	236	0.0005237	214	0.0004748
0.44	0.8228	175	0.0003883	195.3333	0.0004334
0.46	0.8307	175	0.0003883	157.3333	0.0003491
0.48	0.8385	122	0.0002707	138.6667	0.0003077
0.5	0.8462	119	0.0002641	113.3333	0.0002515
0.52	0.8537	99	0.0002197	102	0.0002263
0.54	0.861	88	0.0001953	83.6667	0.0001856
0.56	0.8683	64	0.000142	77	0.0001709
0.58	0.8754	79	0.0001753	65.6667	0.0001457
0.6	0.8824	54	0.0001198	59.3333	0.0001317
0.62	0.8892	45	0.00009985	49.6667	0.0001102
0.64	0.896	50	0.0001109	41.6667	0.00009245
0.66	0.9026	30	0.00006657	36.3333	0.00008062
0.68	0.9091	29	0.00006435	26.3333	0.00005843
0.7	0.9155	20	0.00004438	22.3333	0.00004956
0.72	0.9218	18	0.00003994	16.3333	0.00003624
0.74	0.928	11	0.00002441	13	0.00002885
0.76	0.9341	10	0.00002219	10.6667	0.00002367
0.78	0.9401	11	0.00002441	9	0.00001997
0.8	0.9459	6	0.00001331	7.6667	0.00001701
0.82	0.9517	6	0.00001331	6.3333	0.00001405
0.84	0.9574	7	0.00001553	5.3333	0.00001183
0.86	0.9631	3	6.6567E-6	4	8.8757E-6
0.88	0.9686	2	4.4378E-6	1.6667	3.6982E-6
0.9	0.974	0	0	0.6667	1.4793E-6
0.92	0.9794	0	0	0	0
0.94	0.9847	0	0	0	0
0.96	0.9898	0	0	0	0
0.98	0.995	0	0	0	0
