GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	5061	0.01231	4870.5	0.01184
-0.98	-0.9223	4680	0.01138	5047.6667	0.01227
-0.96	-0.8491	5402	0.01314	5599	0.01362
-0.94	-0.7798	6715	0.01633	6821	0.01659
-0.92	-0.7143	8346	0.0203	8280.6667	0.02014
-0.9	-0.6522	9781	0.02378	9862.3333	0.02398
-0.88	-0.5932	11460	0.02787	11279.6667	0.02743
-0.86	-0.5372	12598	0.03063	12599	0.03064
-0.84	-0.4839	13739	0.03341	13688.6667	0.03329
-0.82	-0.4331	14729	0.03582	14697	0.03574
-0.8	-0.3846	15623	0.03799	15605	0.03795
-0.78	-0.3383	16463	0.04003	16333	0.03972
-0.76	-0.2941	16913	0.04113	16937.6667	0.04119
-0.74	-0.2518	17437	0.0424	17233.6667	0.04191
-0.72	-0.2113	17351	0.04219	17393.6667	0.0423
-0.7	-0.1724	17393	0.04229	17368.6667	0.04224
-0.68	-0.1351	17362	0.04222	17270	0.042
-0.66	-0.09934	17055	0.04147	17007	0.04136
-0.64	-0.06494	16604	0.04038	16610.6667	0.04039
-0.62	-0.03185	16173	0.03933	16047.6667	0.03902
-0.6	0	15366	0.03737	15298.6667	0.0372
-0.58	0.03067	14357	0.03491	14365.3333	0.03493
-0.56	0.06024	13373	0.03252	13401	0.03259
-0.54	0.08876	12473	0.03033	12404	0.03016
-0.52	0.1163	11366	0.02764	11551	0.02809
-0.5	0.1429	10814	0.0263	10615	0.02581
-0.48	0.1685	9665	0.0235	9672.6667	0.02352
-0.46	0.1934	8539	0.02076	8653.3333	0.02104
-0.44	0.2174	7756	0.01886	7789	0.01894
-0.42	0.2406	7072	0.0172	7031.3333	0.0171
-0.4	0.2632	6266	0.01524	6312.6667	0.01535
-0.38	0.285	5600	0.01362	5540	0.01347
-0.36	0.3061	4754	0.01156	4826.3333	0.01174
-0.34	0.3266	4125	0.01003	4110.3333	0.009995
-0.32	0.3465	3452	0.008394	3568	0.008676
-0.3	0.3659	3127	0.007604	3095.6667	0.007528
-0.28	0.3846	2708	0.006585	2751	0.00669
-0.26	0.4028	2418	0.00588	2343.3333	0.005698
-0.24	0.4206	1904	0.00463	2020.6667	0.004914
-0.22	0.4378	1740	0.004231	1665.6667	0.00405
-0.2	0.4545	1353	0.00329	1455.3333	0.003539
-0.18	0.4709	1273	0.003096	1204.3333	0.002929
-0.16	0.4867	987	0.0024	1028.3333	0.002501
-0.14	0.5022	825	0.002006	841.3333	0.002046
-0.12	0.5172	712	0.001731	722	0.001756
-0.1	0.5319	629	0.00153	607.3333	0.001477
-0.08	0.5462	481	0.00117	514	0.00125
-0.06	0.5602	432	0.001051	427.6667	0.00104
-0.04	0.5738	370	0.0008997	358.3333	0.0008714
-0.02	0.587	273	0.0006639	287.6667	0.0006995
0	0.6	220	0.000535	227.6667	0.0005536
0.02	0.6126	190	0.000462	179.3333	0.0004361
0.04	0.625	128	0.0003113	150	0.0003648
0.06	0.6371	132	0.000321	123.6667	0.0003007
0.08	0.6489	111	0.0002699	111.3333	0.0002707
0.1	0.6604	91	0.0002213	89	0.0002164
0.12	0.6716	65	0.0001581	71.6667	0.0001743
0.14	0.6827	59	0.0001435	52.6667	0.0001281
0.16	0.6934	34	0.00008268	44	0.000107
0.18	0.704	39	0.00009484	39.3333	0.00009565
0.2	0.7143	45	0.0001094	34.6667	0.0000843
0.22	0.7244	20	0.00004863	26.6667	0.00006485
0.24	0.7343	15	0.00003648	16	0.00003891
0.26	0.7439	13	0.00003161	12.6667	0.0000308
0.28	0.7534	10	0.00002432	10	0.00002432
0.3	0.7627	7	0.00001702	7.6667	0.00001864
0.32	0.7718	6	0.00001459	5.3333	0.00001297
0.34	0.7807	3	7.2952E-6	4.3333	0.00001054
0.36	0.7895	4	9.7269E-6	3.6667	8.9163E-6
0.38	0.798	4	9.7269E-6	2.6667	6.4846E-6
0.4	0.8065	0	0	1.3333	3.2423E-6
0.42	0.8147	0	0	0.3333	8.1057E-7
0.44	0.8228	1	2.4317E-6	0.3333	8.1057E-7
0.46	0.8307	0	0	0.6667	1.6211E-6
0.48	0.8385	1	2.4317E-6	0.3333	8.1057E-7
0.5	0.8462	0	0	0.3333	8.1057E-7
0.52	0.8537	0	0	0	0
0.54	0.861	0	0	0	0
0.56	0.8683	0	0	0	0
0.58	0.8754	0	0	0	0
0.6	0.8824	0	0	0	0
0.62	0.8892	0	0	0	0
0.64	0.896	0	0	0	0
0.66	0.9026	0	0	0	0
0.68	0.9091	0	0	0	0
0.7	0.9155	0	0	0	0
0.72	0.9218	0	0	0	0
0.74	0.928	0	0	0	0
0.76	0.9341	0	0	0	0
0.78	0.9401	0	0	0	0
0.8	0.9459	0	0	0	0
0.82	0.9517	0	0	0	0
0.84	0.9574	0	0	0	0
0.86	0.9631	0	0	0	0
0.88	0.9686	0	0	0	0
0.9	0.974	0	0	0	0
0.92	0.9794	0	0	0	0
0.94	0.9847	0	0	0	0
0.96	0.9898	0	0	0	0
0.98	0.995	0	0	0	0
