GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	16024	0.01785	16401.5	0.01827
-0.98	-0.9698	16779	0.01869	18330.6667	0.02041
-0.96	-0.9398	22189	0.02471	23007	0.02562
-0.94	-0.9102	30053	0.03347	29983.3333	0.03339
-0.92	-0.8809	37708	0.042	37623.6667	0.0419
-0.9	-0.8519	45110	0.05024	44784.6667	0.04988
-0.88	-0.8231	51536	0.0574	50996.6667	0.05679
-0.86	-0.7947	56344	0.06275	55640.3333	0.06197
-0.84	-0.7665	59041	0.06575	58425.3333	0.06507
-0.82	-0.7387	59891	0.0667	59783.3333	0.06658
-0.8	-0.7111	60418	0.06729	59192.3333	0.06592
-0.78	-0.6837	57268	0.06378	57612.3333	0.06416
-0.76	-0.6567	55151	0.06142	54440	0.06063
-0.74	-0.6299	50901	0.05669	50906.3333	0.05669
-0.72	-0.6033	46667	0.05197	46497.3333	0.05178
-0.7	-0.577	41924	0.04669	41791.3333	0.04654
-0.68	-0.551	36783	0.04097	36815.3333	0.041
-0.66	-0.5252	31739	0.03535	31816.6667	0.03543
-0.64	-0.4997	26928	0.02999	27253	0.03035
-0.62	-0.4744	23092	0.02572	22956	0.02557
-0.6	-0.4493	18848	0.02099	19195.3333	0.02138
-0.58	-0.4245	15646	0.01742	15591.3333	0.01736
-0.56	-0.3999	12280	0.01368	12597.3333	0.01403
-0.54	-0.3756	9866	0.01099	9933.3333	0.01106
-0.52	-0.3514	7654	0.008524	7814.3333	0.008703
-0.5	-0.3275	5923	0.006596	6031	0.006717
-0.48	-0.3038	4516	0.005029	4626.3333	0.005152
-0.46	-0.2803	3440	0.003831	3516.6667	0.003916
-0.44	-0.2571	2594	0.002889	2651.6667	0.002953
-0.42	-0.234	1921	0.002139	1994.6667	0.002221
-0.4	-0.2111	1469	0.001636	1489.3333	0.001659
-0.38	-0.1885	1078	0.001201	1111	0.001237
-0.36	-0.1661	786	0.0008754	828.6667	0.0009229
-0.34	-0.1438	622	0.0006927	611	0.0006805
-0.32	-0.1218	425	0.0004733	453	0.0005045
-0.3	-0.09991	312	0.0003475	322	0.0003586
-0.28	-0.07825	229	0.000255	230.6667	0.0002569
-0.26	-0.05677	151	0.0001682	171.3333	0.0001908
-0.24	-0.03548	134	0.0001492	135.3333	0.0001507
-0.22	-0.01438	121	0.0001348	112.6667	0.0001255
-0.2	0.006543	83	0.00009244	87.3333	0.00009726
-0.18	0.02729	58	0.00006459	60.6667	0.00006756
-0.16	0.04785	41	0.00004566	49	0.00005457
-0.14	0.06824	48	0.00005346	39.3333	0.00004381
-0.12	0.08846	29	0.0000323	34	0.00003787
-0.1	0.1085	25	0.00002784	23	0.00002561
-0.08	0.1284	15	0.00001671	19.3333	0.00002153
-0.06	0.1481	18	0.00002005	15.3333	0.00001708
-0.04	0.1677	13	0.00001448	14.6667	0.00001633
-0.02	0.187	13	0.00001448	11.3333	0.00001262
0	0.2063	8	8.9096E-6	8.6667	9.6520E-6
0.02	0.2253	5	5.5685E-6	6	6.6822E-6
0.04	0.2443	5	5.5685E-6	4	4.4548E-6
0.06	0.263	2	2.2274E-6	3.6667	4.0835E-6
0.08	0.2816	4	4.4548E-6	2.6667	2.9699E-6
0.1	0.3001	2	2.2274E-6	2	2.2274E-6
0.12	0.3184	0	0	1	1.1137E-6
0.14	0.3366	1	1.1137E-6	1	1.1137E-6
0.16	0.3546	2	2.2274E-6	1.6667	1.8562E-6
0.18	0.3724	2	2.2274E-6	1.3333	1.4849E-6
0.2	0.3902	0	0	0.6667	7.4246E-7
0.22	0.4078	0	0	0.3333	3.7123E-7
0.24	0.4252	1	1.1137E-6	0.3333	3.7123E-7
0.26	0.4425	0	0	0.3333	3.7123E-7
0.28	0.4597	0	0	0	0
0.3	0.4768	0	0	0	0
0.32	0.4937	0	0	0	0
0.34	0.5105	0	0	0	0
0.36	0.5271	0	0	0	0
0.38	0.5437	0	0	0	0
0.4	0.5601	0	0	0	0
0.42	0.5763	0	0	0	0
0.44	0.5925	0	0	0	0
0.46	0.6085	0	0	0	0
0.48	0.6244	0	0	0	0
0.5	0.6402	0	0	0	0
0.52	0.6559	0	0	0	0
0.54	0.6715	0	0	0	0
0.56	0.6869	0	0	0	0
0.58	0.7023	0	0	0	0
0.6	0.7175	0	0	0	0
0.62	0.7326	0	0	0	0
0.64	0.7476	0	0	0	0
0.66	0.7625	0	0	0	0
0.68	0.7773	0	0	0	0
0.7	0.7919	0	0	0	0
0.72	0.8065	0	0	0	0
0.74	0.821	0	0	0	0
0.76	0.8353	0	0	0	0
0.78	0.8496	0	0	0	0
0.8	0.8637	0	0	0	0
0.82	0.8778	0	0	0	0
0.84	0.8918	0	0	0	0
0.86	0.9056	0	0	0	0
0.88	0.9194	0	0	0	0
0.9	0.9331	0	0	0	0
0.92	0.9466	0	0	0	0
0.94	0.9601	0	0	0	0
0.96	0.9735	0	0	0	0
0.98	0.9868	0	0	0	0
