GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	2020	0.009711	1925.5	0.009257
-0.98	-0.9698	1831	0.008802	1900	0.009134
-0.96	-0.9398	1849	0.008889	1878.6667	0.009031
-0.94	-0.9102	1956	0.009403	2049.3333	0.009852
-0.92	-0.8809	2343	0.01126	2338.3333	0.01124
-0.9	-0.8519	2716	0.01306	2747.6667	0.01321
-0.88	-0.8231	3184	0.01531	3146.6667	0.01513
-0.86	-0.7947	3540	0.01702	3574.6667	0.01718
-0.84	-0.7665	4000	0.01923	3982.6667	0.01915
-0.82	-0.7387	4408	0.02119	4384.3333	0.02108
-0.8	-0.7111	4745	0.02281	4728	0.02273
-0.78	-0.6837	5031	0.02419	5011.6667	0.02409
-0.76	-0.6567	5259	0.02528	5279.3333	0.02538
-0.74	-0.6299	5548	0.02667	5543.6667	0.02665
-0.72	-0.6033	5824	0.028	5842.3333	0.02809
-0.7	-0.577	6155	0.02959	6063.3333	0.02915
-0.68	-0.551	6211	0.02986	6209.6667	0.02985
-0.66	-0.5252	6263	0.03011	6337	0.03046
-0.64	-0.4997	6537	0.03143	6442	0.03097
-0.62	-0.4744	6526	0.03137	6528	0.03138
-0.6	-0.4493	6521	0.03135	6518.6667	0.03134
-0.58	-0.4245	6509	0.03129	6493.3333	0.03122
-0.56	-0.3999	6450	0.03101	6501.6667	0.03126
-0.54	-0.3756	6546	0.03147	6468.3333	0.0311
-0.52	-0.3514	6409	0.03081	6376.6667	0.03065
-0.5	-0.3275	6175	0.02969	6230.3333	0.02995
-0.48	-0.3038	6107	0.02936	6053	0.0291
-0.46	-0.2803	5877	0.02825	5835.6667	0.02805
-0.44	-0.2571	5523	0.02655	5585	0.02685
-0.42	-0.234	5355	0.02574	5328	0.02561
-0.4	-0.2111	5106	0.02455	5138	0.0247
-0.38	-0.1885	4953	0.02381	4935.6667	0.02373
-0.36	-0.1661	4748	0.02283	4668.3333	0.02244
-0.34	-0.1438	4304	0.02069	4398	0.02114
-0.32	-0.1218	4142	0.01991	4105.3333	0.01974
-0.3	-0.09991	3870	0.0186	3832.6667	0.01843
-0.28	-0.07825	3486	0.01676	3586	0.01724
-0.26	-0.05677	3402	0.01635	3321.3333	0.01597
-0.24	-0.03548	3076	0.01479	3081.3333	0.01481
-0.22	-0.01438	2766	0.0133	2783	0.01338
-0.2	0.006543	2507	0.01205	2526.6667	0.01215
-0.18	0.02729	2307	0.01109	2319.6667	0.01115
-0.16	0.04785	2145	0.01031	2130	0.01024
-0.14	0.06824	1938	0.009317	1930	0.009278
-0.12	0.08846	1707	0.008206	1725.3333	0.008294
-0.1	0.1085	1531	0.00736	1520	0.007307
-0.08	0.1284	1322	0.006355	1356.3333	0.00652
-0.06	0.1481	1216	0.005846	1224.3333	0.005886
-0.04	0.1677	1135	0.005456	1096.3333	0.00527
-0.02	0.187	938	0.004509	977.6667	0.0047
0	0.2063	860	0.004134	843	0.004053
0.02	0.2253	731	0.003514	740.3333	0.003559
0.04	0.2443	630	0.003029	649.6667	0.003123
0.06	0.263	588	0.002827	572	0.00275
0.08	0.2816	498	0.002394	494	0.002375
0.1	0.3001	396	0.001904	413	0.001985
0.12	0.3184	345	0.001659	347.3333	0.00167
0.14	0.3366	301	0.001447	310.6667	0.001493
0.16	0.3546	286	0.001375	283	0.00136
0.18	0.3724	262	0.00126	248.6667	0.001195
0.2	0.3902	198	0.0009519	209.6667	0.001008
0.22	0.4078	169	0.0008124	169	0.0008124
0.24	0.4252	140	0.000673	139	0.0006682
0.26	0.4425	108	0.0005192	111.6667	0.0005368
0.28	0.4597	87	0.0004182	88.6667	0.0004263
0.3	0.4768	71	0.0003413	72	0.0003461
0.32	0.4937	58	0.0002788	60.6667	0.0002916
0.34	0.5105	53	0.0002548	48.3333	0.0002324
0.36	0.5271	34	0.0001635	44.6667	0.0002147
0.38	0.5437	47	0.0002259	39.6667	0.0001907
0.4	0.5601	38	0.0001827	38.6667	0.0001859
0.42	0.5763	31	0.000149	30.3333	0.0001458
0.44	0.5925	22	0.0001058	23.3333	0.0001122
0.46	0.6085	17	0.00008173	15.3333	0.00007371
0.48	0.6244	7	0.00003365	12	0.00005769
0.5	0.6402	12	0.00005769	8.3333	0.00004006
0.52	0.6559	6	0.00002884	8.3333	0.00004006
0.54	0.6715	7	0.00003365	5.6667	0.00002724
0.56	0.6869	4	0.00001923	4.3333	0.00002083
0.58	0.7023	2	9.6147E-6	2	9.6147E-6
0.6	0.7175	0	0	1.3333	6.4098E-6
0.62	0.7326	2	9.6147E-6	0.6667	3.2049E-6
0.64	0.7476	0	0	1	4.8074E-6
0.66	0.7625	1	4.8074E-6	0.6667	3.2049E-6
0.68	0.7773	1	4.8074E-6	1.6667	8.0123E-6
0.7	0.7919	3	0.00001442	1.3333	6.4098E-6
0.72	0.8065	0	0	1.3333	6.4098E-6
0.74	0.821	1	4.8074E-6	0.3333	1.6025E-6
0.76	0.8353	0	0	0.3333	1.6025E-6
0.78	0.8496	0	0	0	0
0.8	0.8637	0	0	0.3333	1.6025E-6
0.82	0.8778	1	4.8074E-6	0.3333	1.6025E-6
0.84	0.8918	0	0	0.3333	1.6025E-6
0.86	0.9056	0	0	0	0
0.88	0.9194	0	0	0	0
0.9	0.9331	0	0	0	0
0.92	0.9466	0	0	0	0
0.94	0.9601	0	0	0	0
0.96	0.9735	0	0	0	0
0.98	0.9868	0	0	0	0
