GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	0	0	0	0
-0.98	-0.9698	0	0	0	0
-0.96	-0.9398	0	0	0.3333	7.4612E-7
-0.94	-0.9102	1	2.2383E-6	0.3333	7.4612E-7
-0.92	-0.8809	0	0	2	4.4767E-6
-0.9	-0.8519	5	0.00001119	3.6667	8.2073E-6
-0.88	-0.8231	6	0.00001343	15.3333	0.00003432
-0.86	-0.7947	35	0.00007834	34	0.0000761
-0.84	-0.7665	61	0.0001365	68.3333	0.000153
-0.82	-0.7387	109	0.000244	132.6667	0.000297
-0.8	-0.7111	228	0.0005103	264	0.0005909
-0.78	-0.6837	455	0.001018	477.6667	0.001069
-0.76	-0.6567	750	0.001679	806.3333	0.001805
-0.74	-0.6299	1214	0.002717	1286.3333	0.002879
-0.72	-0.6033	1895	0.004242	1996	0.004468
-0.7	-0.577	2879	0.006444	2925.6667	0.006549
-0.68	-0.551	4003	0.00896	4141	0.009269
-0.66	-0.5252	5541	0.0124	5658.3333	0.01267
-0.64	-0.4997	7431	0.01663	7422.6667	0.01661
-0.62	-0.4744	9296	0.02081	9394.3333	0.02103
-0.6	-0.4493	11456	0.02564	11631.6667	0.02604
-0.58	-0.4245	14143	0.03166	14143	0.03166
-0.56	-0.3999	16830	0.03767	16760.3333	0.03752
-0.54	-0.3756	19308	0.04322	19420.3333	0.04347
-0.52	-0.3514	22123	0.04952	21865.3333	0.04894
-0.5	-0.3275	24165	0.05409	24195.6667	0.05416
-0.48	-0.3038	26299	0.05887	26086.3333	0.05839
-0.46	-0.2803	27795	0.06221	27662	0.06192
-0.44	-0.2571	28892	0.06467	28619	0.06406
-0.42	-0.234	29170	0.06529	28777.3333	0.06441
-0.4	-0.2111	28270	0.06328	28164	0.06304
-0.38	-0.1885	27052	0.06055	26740	0.05985
-0.36	-0.1661	24898	0.05573	24700.3333	0.05529
-0.34	-0.1438	22151	0.04958	22032.6667	0.04932
-0.32	-0.1218	19049	0.04264	19126.6667	0.04281
-0.3	-0.09991	16180	0.03622	16147.6667	0.03614
-0.28	-0.07825	13214	0.02958	13269	0.0297
-0.26	-0.05677	10413	0.02331	10586.3333	0.0237
-0.24	-0.03548	8132	0.0182	8277	0.01853
-0.22	-0.01438	6286	0.01407	6342.6667	0.0142
-0.2	0.006543	4610	0.01032	4812	0.01077
-0.18	0.02729	3540	0.007924	3568.3333	0.007987
-0.16	0.04785	2555	0.005719	2683	0.006005
-0.14	0.06824	1954	0.004374	1929.6667	0.004319
-0.12	0.08846	1280	0.002865	1396	0.003125
-0.1	0.1085	954	0.002135	975.6667	0.002184
-0.08	0.1284	693	0.001551	717.6667	0.001606
-0.06	0.1481	506	0.001133	504	0.001128
-0.04	0.1677	313	0.0007006	347.3333	0.0007775
-0.02	0.187	223	0.0004992	232	0.0005193
0	0.2063	160	0.0003581	158.6667	0.0003552
0.02	0.2253	93	0.0002082	106	0.0002373
0.04	0.2443	65	0.0001455	63.6667	0.0001425
0.06	0.263	33	0.00007387	38.3333	0.0000858
0.08	0.2816	17	0.00003805	21.3333	0.00004775
0.1	0.3001	14	0.00003134	12.3333	0.00002761
0.12	0.3184	6	0.00001343	7.3333	0.00001641
0.14	0.3366	2	4.4767E-6	3.6667	8.2073E-6
0.16	0.3546	3	6.7150E-6	2	4.4767E-6
0.18	0.3724	1	2.2383E-6	1.6667	3.7306E-6
0.2	0.3902	1	2.2383E-6	0.6667	1.4922E-6
0.22	0.4078	0	0	0.3333	7.4612E-7
0.24	0.4252	0	0	0	0
0.26	0.4425	0	0	0	0
0.28	0.4597	0	0	0	0
0.3	0.4768	0	0	0	0
0.32	0.4937	0	0	0	0
0.34	0.5105	0	0	0	0
0.36	0.5271	0	0	0	0
0.38	0.5437	0	0	0	0
0.4	0.5601	0	0	0	0
0.42	0.5763	0	0	0	0
0.44	0.5925	0	0	0	0
0.46	0.6085	0	0	0	0
0.48	0.6244	0	0	0	0
0.5	0.6402	0	0	0	0
0.52	0.6559	0	0	0	0
0.54	0.6715	0	0	0	0
0.56	0.6869	0	0	0	0
0.58	0.7023	0	0	0	0
0.6	0.7175	0	0	0	0
0.62	0.7326	0	0	0	0
0.64	0.7476	0	0	0	0
0.66	0.7625	0	0	0	0
0.68	0.7773	0	0	0	0
0.7	0.7919	0	0	0	0
0.72	0.8065	0	0	0	0
0.74	0.821	0	0	0	0
0.76	0.8353	0	0	0	0
0.78	0.8496	0	0	0	0
0.8	0.8637	0	0	0	0
0.82	0.8778	0	0	0	0
0.84	0.8918	0	0	0	0
0.86	0.9056	0	0	0	0
0.88	0.9194	0	0	0	0
0.9	0.9331	0	0	0	0
0.92	0.9466	0	0	0	0
0.94	0.9601	0	0	0	0
0.96	0.9735	0	0	0	0
0.98	0.9868	0	0	0	0
