GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	196	0.00118	380	0.002288
-0.98	-0.9698	564	0.003396	676	0.004071
-0.96	-0.9398	1268	0.007636	1372.3333	0.008264
-0.94	-0.9102	2285	0.01376	2302.6667	0.01387
-0.92	-0.8809	3355	0.0202	3485.3333	0.02099
-0.9	-0.8519	4816	0.029	4779.3333	0.02878
-0.88	-0.8231	6167	0.03714	6198.6667	0.03733
-0.86	-0.7947	7613	0.04585	7509.6667	0.04522
-0.84	-0.7665	8749	0.05269	8698.3333	0.05238
-0.82	-0.7387	9733	0.05861	9598.3333	0.0578
-0.8	-0.7111	10313	0.06211	10254	0.06175
-0.78	-0.6837	10716	0.06453	10645	0.0641
-0.76	-0.6567	10906	0.06568	10807.3333	0.06508
-0.74	-0.6299	10800	0.06504	10714	0.06452
-0.72	-0.6033	10436	0.06285	10312.6667	0.0621
-0.7	-0.577	9702	0.05843	9741.3333	0.05866
-0.68	-0.551	9086	0.05472	9043.6667	0.05446
-0.66	-0.5252	8343	0.05024	8307	0.05003
-0.64	-0.4997	7492	0.04512	7431.3333	0.04475
-0.62	-0.4744	6459	0.0389	6503.6667	0.03917
-0.6	-0.4493	5560	0.03348	5551.6667	0.03343
-0.58	-0.4245	4636	0.02792	4673.3333	0.02814
-0.56	-0.3999	3824	0.02303	3860.6667	0.02325
-0.54	-0.3756	3122	0.0188	3153.3333	0.01899
-0.52	-0.3514	2514	0.01514	2566.3333	0.01545
-0.5	-0.3275	2063	0.01242	2030	0.01222
-0.48	-0.3038	1513	0.009111	1568.6667	0.009447
-0.46	-0.2803	1130	0.006805	1168.6667	0.007038
-0.44	-0.2571	863	0.005197	873	0.005257
-0.42	-0.234	626	0.00377	646.3333	0.003892
-0.4	-0.2111	450	0.00271	462	0.002782
-0.38	-0.1885	310	0.001867	325.3333	0.001959
-0.36	-0.1661	216	0.001301	225	0.001355
-0.34	-0.1438	149	0.0008973	156.6667	0.0009435
-0.32	-0.1218	105	0.0006323	108	0.0006504
-0.3	-0.09991	70	0.0004215	70	0.0004215
-0.28	-0.07825	35	0.0002108	43.6667	0.000263
-0.26	-0.05677	26	0.0001566	25.3333	0.0001526
-0.24	-0.03548	15	0.00009033	16	0.00009635
-0.22	-0.01438	7	0.00004215	11	0.00006624
-0.2	0.006543	11	0.00006624	7.6667	0.00004617
-0.18	0.02729	5	0.00003011	6.3333	0.00003814
-0.16	0.04785	3	0.00001807	2.6667	0.00001606
-0.14	0.06824	0	0	1	6.0221E-6
-0.12	0.08846	0	0	0	0
-0.1	0.1085	0	0	0	0
-0.08	0.1284	0	0	0	0
-0.06	0.1481	0	0	0	0
-0.04	0.1677	0	0	0	0
-0.02	0.187	0	0	0	0
0	0.2063	0	0	0	0
0.02	0.2253	0	0	0	0
0.04	0.2443	0	0	0	0
0.06	0.263	0	0	0	0
0.08	0.2816	0	0	0	0
0.1	0.3001	0	0	0	0
0.12	0.3184	0	0	0	0
0.14	0.3366	0	0	0	0
0.16	0.3546	0	0	0	0
0.18	0.3724	0	0	0	0
0.2	0.3902	0	0	0	0
0.22	0.4078	0	0	0	0
0.24	0.4252	0	0	0	0
0.26	0.4425	0	0	0	0
0.28	0.4597	0	0	0	0
0.3	0.4768	0	0	0	0
0.32	0.4937	0	0	0	0
0.34	0.5105	0	0	0	0
0.36	0.5271	0	0	0	0
0.38	0.5437	0	0	0	0
0.4	0.5601	0	0	0	0
0.42	0.5763	0	0	0	0
0.44	0.5925	0	0	0	0
0.46	0.6085	0	0	0	0
0.48	0.6244	0	0	0	0
0.5	0.6402	0	0	0	0
0.52	0.6559	0	0	0	0
0.54	0.6715	0	0	0	0
0.56	0.6869	0	0	0	0
0.58	0.7023	0	0	0	0
0.6	0.7175	0	0	0	0
0.62	0.7326	0	0	0	0
0.64	0.7476	0	0	0	0
0.66	0.7625	0	0	0	0
0.68	0.7773	0	0	0	0
0.7	0.7919	0	0	0	0
0.72	0.8065	0	0	0	0
0.74	0.821	0	0	0	0
0.76	0.8353	0	0	0	0
0.78	0.8496	0	0	0	0
0.8	0.8637	0	0	0	0
0.82	0.8778	0	0	0	0
0.84	0.8918	0	0	0	0
0.86	0.9056	0	0	0	0
0.88	0.9194	0	0	0	0
0.9	0.9331	0	0	0	0
0.92	0.9466	0	0	0	0
0.94	0.9601	0	0	0	0
0.96	0.9735	0	0	0	0
0.98	0.9868	0	0	0	0
