GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	1717	0.00682	1781.5	0.007076
-0.98	-0.9698	1846	0.007333	2045.6667	0.008126
-0.96	-0.9398	2574	0.01022	2615.3333	0.01039
-0.94	-0.9102	3426	0.01361	3489.3333	0.01386
-0.92	-0.8809	4468	0.01775	4462	0.01772
-0.9	-0.8519	5492	0.02181	5519.3333	0.02192
-0.88	-0.8231	6598	0.02621	6480.6667	0.02574
-0.86	-0.7947	7352	0.0292	7379.6667	0.02931
-0.84	-0.7665	8189	0.03253	8156.6667	0.0324
-0.82	-0.7387	8929	0.03547	8920.6667	0.03543
-0.8	-0.7111	9644	0.03831	9570	0.03801
-0.78	-0.6837	10137	0.04027	10167.6667	0.04039
-0.76	-0.6567	10722	0.04259	10673	0.04239
-0.74	-0.6299	11160	0.04433	10998.3333	0.04369
-0.72	-0.6033	11113	0.04414	11222.3333	0.04458
-0.7	-0.577	11394	0.04526	11283	0.04482
-0.68	-0.551	11342	0.04505	11326.6667	0.04499
-0.66	-0.5252	11244	0.04466	11154.6667	0.04431
-0.64	-0.4997	10878	0.04321	10939	0.04345
-0.62	-0.4744	10695	0.04248	10547.6667	0.0419
-0.6	-0.4493	10070	0.04	10116.3333	0.04018
-0.58	-0.4245	9584	0.03807	9472.6667	0.03763
-0.56	-0.3999	8764	0.03481	8794.6667	0.03493
-0.54	-0.3756	8036	0.03192	8048.3333	0.03197
-0.52	-0.3514	7345	0.02918	7418.3333	0.02947
-0.5	-0.3275	6874	0.0273	6796.6667	0.027
-0.48	-0.3038	6171	0.02451	6140.6667	0.02439
-0.46	-0.2803	5377	0.02136	5456	0.02167
-0.44	-0.2571	4820	0.01915	4855.3333	0.01929
-0.42	-0.234	4369	0.01735	4310.3333	0.01712
-0.4	-0.2111	3742	0.01486	3797	0.01508
-0.38	-0.1885	3280	0.01303	3241.3333	0.01287
-0.36	-0.1661	2702	0.01073	2754	0.01094
-0.34	-0.1438	2280	0.009056	2297	0.009124
-0.32	-0.1218	1909	0.007583	1958.6667	0.00778
-0.3	-0.09991	1687	0.006701	1658.6667	0.006588
-0.28	-0.07825	1380	0.005482	1425.3333	0.005662
-0.26	-0.05677	1209	0.004802	1177	0.004675
-0.24	-0.03548	942	0.003742	987.3333	0.003922
-0.22	-0.01438	811	0.003221	791.3333	0.003143
-0.2	0.006543	621	0.002467	662.6667	0.002632
-0.18	0.02729	556	0.002208	519	0.002062
-0.16	0.04785	380	0.001509	430	0.001708
-0.14	0.06824	354	0.001406	333.6667	0.001325
-0.12	0.08846	267	0.001061	283.3333	0.001125
-0.1	0.1085	229	0.0009096	215.6667	0.0008567
-0.08	0.1284	151	0.0005998	173.6667	0.0006898
-0.06	0.1481	141	0.0005601	137	0.0005442
-0.04	0.1677	119	0.0004727	113.3333	0.0004502
-0.02	0.187	80	0.0003178	91.3333	0.0003628
0	0.2063	75	0.0002979	71.6667	0.0002847
0.02	0.2253	60	0.0002383	58.6667	0.000233
0.04	0.2443	41	0.0001629	45.6667	0.0001814
0.06	0.263	36	0.000143	33.3333	0.0001324
0.08	0.2816	23	0.00009136	26.6667	0.0001059
0.1	0.3001	21	0.00008341	19.6667	0.00007812
0.12	0.3184	15	0.00005958	13.6667	0.00005429
0.14	0.3366	5	0.00001986	8.3333	0.0000331
0.16	0.3546	5	0.00001986	5.6667	0.00002251
0.18	0.3724	7	0.0000278	5.6667	0.00002251
0.2	0.3902	5	0.00001986	5	0.00001986
0.22	0.4078	3	0.00001192	3	0.00001192
0.24	0.4252	1	3.9721E-6	1.6667	6.6202E-6
0.26	0.4425	1	3.9721E-6	1	3.9721E-6
0.28	0.4597	1	3.9721E-6	0.6667	2.6481E-6
0.3	0.4768	0	0	1	3.9721E-6
0.32	0.4937	2	7.9442E-6	0.6667	2.6481E-6
0.34	0.5105	0	0	0.6667	2.6481E-6
0.36	0.5271	0	0	0.3333	1.3240E-6
0.38	0.5437	1	3.9721E-6	0.3333	1.3240E-6
0.4	0.5601	0	0	0.3333	1.3240E-6
0.42	0.5763	0	0	0	0
0.44	0.5925	0	0	0	0
0.46	0.6085	0	0	0	0
0.48	0.6244	0	0	0	0
0.5	0.6402	0	0	0	0
0.52	0.6559	0	0	0	0
0.54	0.6715	0	0	0	0
0.56	0.6869	0	0	0	0
0.58	0.7023	0	0	0	0
0.6	0.7175	0	0	0	0
0.62	0.7326	0	0	0	0
0.64	0.7476	0	0	0	0
0.66	0.7625	0	0	0	0
0.68	0.7773	0	0	0	0
0.7	0.7919	0	0	0	0
0.72	0.8065	0	0	0	0
0.74	0.821	0	0	0	0
0.76	0.8353	0	0	0	0
0.78	0.8496	0	0	0	0
0.8	0.8637	0	0	0	0
0.82	0.8778	0	0	0	0
0.84	0.8918	0	0	0	0
0.86	0.9056	0	0	0	0
0.88	0.9194	0	0	0	0
0.9	0.9331	0	0	0	0
0.92	0.9466	0	0	0	0
0.94	0.9601	0	0	0	0
0.96	0.9735	0	0	0	0
0.98	0.9868	0	0	0	0
