P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.7	20220725 201727	0.00051	15.23	15	15	RUN REMOTE	100.7771	0.9960367679595947	538.0	460.0
0.7	20220725 201727	0.00046	15.23	15	15	RUN REMOTE	100.777	1.20737886428833	538.0	460.0
0.7	20220725 201727	0.00046	17.881	15	15	RUN REMOTE	100.777	1.4336650371551514	538.0	460.0
0.7	20220725 201728	0.00046	16.434	15	15	RUN REMOTE	100.777	1.9303898811340332	538.0	460.0
0.7	20220725 201728	0.00033	16.434	15	15	RUN REMOTE	100.7771	2.385258913040161	538.0	460.0
0.7	20220725 201728	0.00033	16.051	15	15	RUN REMOTE	100.7771	2.420444965362549	538.0	460.0
0.7	20220725 201729	0.00033	17.653	15	15	RUN REMOTE	100.7771	2.895585060119629	538.0	460.0
0.7	20220725 201729	0.00033	17.653	15	15	RUN REMOTE	100.777	3.0129687786102295	538.0	460.0
0.7	20220725 201729	0.00033	16.611	15	15	RUN REMOTE	100.777	3.3986480236053467	538.0	460.0
0.7	20220725 201730	0.00017	16.611	15	15	RUN REMOTE	100.777	3.9163599014282227	538.0	460.0
0.7	20220725 201730	0.00017	18.444	15	15	RUN REMOTE	100.777	3.9445009231567383	538.0	460.0
0.7	20220725 201730	6e-05	18.444	15	15	RUN REMOTE	100.777	4.2899489402771	538.0	460.0
0.7	20220725 201730	6e-05	15.667	15	15	RUN REMOTE	100.777	4.404667854309082	538.0	460.0
0.7	20220725 201731	0.00014	15.667	15	15	RUN REMOTE	100.777	4.733102798461914	538.0	460.0
0.7	20220725 201731	0.00014	14.929	15	15	RUN REMOTE	100.777	4.829672813415527	538.0	460.0
0.7	20220725 201731	0.00011	14.929	15	15	RUN REMOTE	100.7771	5.137423753738403	538.0	460.0
0.7	20220725 201731	0.00011	17.349	15	15	RUN REMOTE	100.7771	5.366771936416626	538.0	460.0
0.7	20220725 201732	0.0001	17.349	15	15	RUN REMOTE	100.777	5.779278755187988	538.0	460.0
0.7	20220725 201732	0.0001	15.558	15	15	RUN REMOTE	100.777	5.919533967971802	538.0	460.0
0.7	20220725 201732	0.0	15.558	15	15	RUN REMOTE	100.7771	6.19032883644104	538.0	460.0
0.7	20220725 201732	0.0	17.776	15	15	RUN REMOTE	100.7771	6.478055953979492	538.0	460.0
0.7	20220725 201733	9e-05	17.776	15	15	RUN REMOTE	100.777	6.860911846160889	538.0	460.0
