P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.0	20220725 210403	0.0	15.148	15	15	RUN REMOTE	100.395	1.151165246963501	538.0	460.0
-0.0	20220725 210403	0.29017	15.148	15	15	RUN REMOTE	100.3914	1.2098989486694336	538.0	460.0
-0.0	20220725 210404	0.29017	15.056	15	15	RUN REMOTE	100.3914	1.6817400455474854	538.0	460.0
0.1	20220725 210404	0.38805	15.056	15	15	RUN REMOTE	100.3872	2.0141313076019287	538.0	460.0
0.1	20220725 210404	0.38805	14.551	15	15	RUN REMOTE	100.3872	2.19803524017334	538.0	460.0
0.0	20220725 210405	0.39616	14.551	15	15	RUN REMOTE	100.3821	2.60727596282959	538.0	460.0
0.0	20220725 210405	0.39616	13.517	15	15	RUN REMOTE	100.3821	2.7717502117156982	538.0	460.0
0.0	20220725 210405	0.39616	17.907	15	15	RUN REMOTE	100.3821	3.3397531509399414	538.0	460.0
-0.0	20220725 210405	0.36778	17.907	15	15	RUN REMOTE	100.3784	3.4551632404327393	538.0	460.0
-0.0	20220725 210406	0.36778	14.54	15	15	RUN REMOTE	100.3784	3.8603832721710205	538.0	460.0
-0.0	20220725 210406	0.38168	14.54	15	15	RUN REMOTE	100.373	4.080209255218506	538.0	460.0
-0.0	20220725 210406	0.38168	16.931	15	15	RUN REMOTE	100.373	4.44005823135376	538.0	460.0
0.1	20220725 210407	0.40832	16.931	15	15	RUN REMOTE	100.3686	4.788299083709717	538.0	460.0
0.1	20220725 210407	0.40832	12.956	15	15	RUN REMOTE	100.3686	4.950544118881226	538.0	460.0
0.1	20220725 210407	0.40832	14.15	15	15	RUN REMOTE	100.3686	5.439812183380127	538.0	460.0
0.1	20220725 210407	0.43149	14.15	15	15	RUN REMOTE	100.3631	5.4788689613342285	538.0	460.0
0.1	20220725 210408	0.43149	16.412	15	15	RUN REMOTE	100.3631	5.877066135406494	538.0	460.0
0.0	20220725 210408	0.5091	16.412	15	15	RUN REMOTE	100.3572	5.949244260787964	538.0	460.0
0.0	20220725 210408	0.5091	15.203	15	15	RUN REMOTE	100.3572	6.295078277587891	538.0	460.0
0.1	20220725 210408	0.59308	15.203	15	15	RUN REMOTE	100.3523	6.295870304107666	538.0	460.0
0.1	20220725 210409	0.59308	14.351	15	15	RUN REMOTE	100.3523	6.745162010192871	538.0	460.0
0.2	20220725 210409	0.65448	14.351	15	15	RUN REMOTE	100.3485	6.745288133621216	538.0	460.0
0.2	20220725 210409	0.65448	14.408	15	15	RUN REMOTE	100.3485	7.325136184692383	538.0	460.0
0.2	20220725 210409	0.69907	14.408	15	15	RUN REMOTE	100.3433	7.4313390254974365	538.0	460.0
0.2	20220725 210410	0.69907	14.023	15	15	RUN REMOTE	100.3433	7.9005842208862305	538.0	460.0
0.3	20220725 210410	0.75583	14.023	15	15	RUN REMOTE	100.3349	7.946225166320801	538.0	460.0
0.3	20220725 210410	0.75583	19.211	15	15	RUN REMOTE	100.3349	8.375966310501099	538.0	460.0
0.3	20220725 210410	0.80912	19.211	15	15	RUN REMOTE	100.3278	8.505635023117065	538.0	460.0
0.3	20220725 210411	0.80912	14.867	15	15	RUN REMOTE	100.3278	8.811211109161377	538.0	460.0
0.7	20220725 210411	0.83518	14.867	15	15	RUN REMOTE	100.32	9.188137292861938	538.0	460.0
0.7	20220725 210411	0.83518	15.346	15	15	RUN REMOTE	100.32	9.403011083602905	538.0	460.0
0.7	20220725 210412	0.89078	15.346	15	15	RUN REMOTE	100.3098	9.900273084640503	538.0	460.0
0.7	20220725 210412	0.89078	16.443	15	15	RUN REMOTE	100.3098	9.921870231628418	538.0	460.0
0.7	20220725 210412	0.9348	16.443	15	15	RUN REMOTE	100.2985	10.472276210784912	538.0	460.0
0.7	20220725 210412	0.9348	14.711	15	15	RUN REMOTE	100.2985	10.552726984024048	538.0	460.0
0.7	20220725 210413	0.77319	14.711	15	15	RUN REMOTE	100.2903	10.977182149887085	538.0	460.0
0.7	20220725 210413	0.77319	14.628	15	15	RUN REMOTE	100.2903	11.066939115524292	538.0	460.0
0.7	20220725 210414	0.79543	14.628	15	15	RUN REMOTE	100.2825	11.58624815940857	538.0	460.0
0.7	20220725 210414	0.79543	16.225	15	15	RUN REMOTE	100.2825	11.614609241485596	538.0	460.0
0.7	20220725 210414	0.79543	13.693	15	15	RUN REMOTE	100.2825	12.158636093139648	538.0	460.0
0.7	20220725 210414	0.81316	13.693	15	15	RUN REMOTE	100.2734	12.38080620765686	538.0	460.0
0.7	20220725 210415	0.81316	16.234	15	15	RUN REMOTE	100.2734	12.682889938354492	538.0	460.0
0.7	20220725 210415	0.8201	16.234	15	15	RUN REMOTE	100.2627	13.059818983078003	538.0	460.0
0.7	20220725 210415	0.8201	16.081	15	15	RUN REMOTE	100.2627	13.286500215530396	538.0	460.0
0.7	20220725 210416	0.8201	15.371	15	15	RUN REMOTE	100.2627	13.85020112991333	538.0	460.0
0.7	20220725 210416	0.11178	15.371	15	15	RUN REMOTE	100.258	13.94239616394043	538.0	460.0
0.7	20220725 210416	0.11178	15.551	15	15	RUN REMOTE	100.258	14.489180088043213	538.0	460.0
0.7	20220725 210416	-0.18881	15.551	15	15	RUN REMOTE	100.2596	14.532188177108765	538.0	460.0
0.7	20220725 210417	-0.18881	16.165	15	15	RUN REMOTE	100.2596	14.94153904914856	538.0	460.0
0.7	20220725 210417	-0.21314	16.165	15	15	RUN REMOTE	100.2618	15.110225200653076	538.0	460.0
0.7	20220725 210417	-0.21314	16.382	15	15	RUN REMOTE	100.2618	15.431326150894165	538.0	460.0
0.7	20220725 210418	-0.28032	16.382	15	15	RUN REMOTE	100.2643	15.73216724395752	538.0	460.0
0.7	20220725 210418	-0.28032	14.669	15	15	RUN REMOTE	100.2643	16.019829034805298	538.0	460.0
0.7	20220725 210418	0.18519	14.669	15	15	RUN REMOTE	100.2662	16.507883071899414	538.0	460.0
0.7	20220725 210419	0.18519	16.091	15	15	RUN REMOTE	100.2662	16.649976015090942	538.0	460.0
0.7	20220725 210419	0.14165	16.091	15	15	RUN REMOTE	100.267	17.24818515777588	538.0	460.0
0.7	20220725 210419	0.14165	15.049	15	15	RUN REMOTE	100.267	17.271238088607788	538.0	460.0
0.7	20220725 210420	0.14165	15.214	15	15	RUN REMOTE	100.267	17.871561288833618	538.0	460.0
0.7	20220725 210420	0.08184	15.214	15	15	RUN REMOTE	100.2674	17.996302127838135	538.0	460.0
0.7	20220725 210420	0.08184	15.786	15	15	RUN REMOTE	100.2674	18.49589514732361	538.0	460.0
0.7	20220725 210421	0.05859	15.786	15	15	RUN REMOTE	100.2679	18.615856170654297	538.0	460.0
