P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.7	20220726 100423	0.0	17.942	15	15	RUN REMOTE	98.7883	0.9439389705657959	538.0	460.0
0.7	20220726 100424	0.0	15.106	15	15	RUN REMOTE	98.7883	1.4877190589904785	538.0	460.0
0.7	20220726 100424	0.0	16.367	15	15	RUN REMOTE	98.7883	1.98738694190979	538.0	460.0
0.7	20220726 100425	0.0	17.49	15	15	RUN REMOTE	98.7883	2.4707560539245605	538.0	460.0
0.7	20220726 100425	0.0	14.627	15	15	RUN REMOTE	98.7883	2.9510498046875	538.0	460.0
0.7	20220726 100426	0.0	18.843	15	15	RUN REMOTE	98.7883	3.4627370834350586	538.0	460.0
0.7	20220726 100426	0.00057	18.843	15	15	RUN REMOTE	98.7883	3.8569271564483643	538.0	460.0
0.7	20220726 100426	0.00057	14.401	15	15	RUN REMOTE	98.7883	3.963809013366699	538.0	460.0
0.7	20220726 100426	-0.00057	14.401	15	15	RUN REMOTE	98.7883	4.310409069061279	538.0	460.0
0.7	20220726 100427	-0.00057	15.814	15	15	RUN REMOTE	98.7883	4.413060903549194	538.0	460.0
0.7	20220726 100427	0.0	15.814	15	15	RUN REMOTE	98.7883	4.6542041301727295	538.0	460.0
0.7	20220726 100427	0.0	17.059	15	15	RUN REMOTE	98.7883	4.865016937255859	538.0	460.0
0.7	20220726 100427	0.0	15.531	15	15	RUN REMOTE	98.7883	5.243017911911011	538.0	460.0
0.7	20220726 100428	0.00057	15.531	15	15	RUN REMOTE	98.7883	5.512521028518677	538.0	460.0
0.7	20220726 100428	0.00057	16.11	15	15	RUN REMOTE	98.7883	5.8434898853302	538.0	460.0
0.7	20220726 100428	-0.00057	16.11	15	15	RUN REMOTE	98.7883	6.312756061553955	538.0	460.0
0.7	20220726 100429	-0.00057	16.378	15	15	RUN REMOTE	98.7883	6.458207130432129	538.0	460.0
0.7	20220726 100429	-0.00057	15.052	15	15	RUN REMOTE	98.7883	6.88453221321106	538.0	460.0
0.7	20220726 100429	-0.00057	16.956	15	15	RUN REMOTE	98.7883	7.298067092895508	538.0	460.0
0.7	20220726 100430	0.0	16.956	15	15	RUN REMOTE	98.7883	7.50083589553833	538.0	460.0
0.7	20220726 100430	0.0	14.964	15	15	RUN REMOTE	98.7883	7.7368528842926025	538.0	460.0
0.7	20220726 100430	0.00057	14.964	15	15	RUN REMOTE	98.7883	7.962996006011963	538.0	460.0
0.7	20220726 100431	0.00057	15.732	15	15	RUN REMOTE	98.7883	8.326112985610962	538.0	460.0
0.7	20220726 100431	-0.00057	15.732	15	15	RUN REMOTE	98.7883	8.627561092376709	538.0	460.0
0.7	20220726 100431	-0.00057	17.04	15	15	RUN REMOTE	98.7883	8.847315073013306	538.0	460.0
0.7	20220726 100431	0.00057	17.04	15	15	RUN REMOTE	98.7883	9.23352599143982	538.0	460.0
0.7	20220726 100431	0.00057	17.712	15	15	RUN REMOTE	98.7883	9.28547191619873	538.0	460.0
0.7	20220726 100432	0.00057	17.355	15	15	RUN REMOTE	98.7883	9.728591918945312	538.0	460.0
0.7	20220726 100432	-0.00057	17.355	15	15	RUN REMOTE	98.7883	9.89402985572815	538.0	460.0
0.7	20220726 100432	-0.00057	16.403	15	15	RUN REMOTE	98.7883	10.206154823303223	538.0	460.0
0.7	20220726 100433	0.0	16.403	15	15	RUN REMOTE	98.7883	10.33081579208374	538.0	460.0
0.7	20220726 100433	0.0	18.862	15	15	RUN REMOTE	98.7883	10.648404121398926	538.0	460.0
0.7	20220726 100433	-2e-05	18.862	15	15	RUN REMOTE	98.7883	10.855679988861084	538.0	460.0
0.7	20220726 100433	-2e-05	16.302	15	15	RUN REMOTE	98.7883	11.103426933288574	538.0	460.0
0.7	20220726 100434	-2e-05	17.545	15	15	RUN REMOTE	98.7883	11.582011938095093	538.0	460.0
0.7	20220726 100434	7e-05	17.545	15	15	RUN REMOTE	98.7883	11.892529010772705	538.0	460.0
0.7	20220726 100434	7e-05	16.038	15	15	RUN REMOTE	98.7883	12.136507034301758	538.0	460.0
0.7	20220726 100435	-3e-05	16.038	15	15	RUN REMOTE	98.7883	12.523220777511597	538.0	460.0
0.7	20220726 100435	-3e-05	16.893	15	15	RUN REMOTE	98.7883	12.716543197631836	538.0	460.0
0.7	20220726 100435	6e-05	16.893	15	15	RUN REMOTE	98.7883	13.215294122695923	538.0	460.0
0.7	20220726 100435	6e-05	16.63	15	15	RUN REMOTE	98.7883	13.24435806274414	538.0	460.0
0.7	20220726 100436	6e-05	18.795	15	15	RUN REMOTE	98.7883	13.81003999710083	538.0	460.0
0.7	20220726 100436	-3e-05	18.795	15	15	RUN REMOTE	98.7883	13.935030937194824	538.0	460.0
0.7	20220726 100437	-3e-05	15.113	15	15	RUN REMOTE	98.7883	14.327530145645142	538.0	460.0
0.7	20220726 100437	-2e-05	15.113	15	15	RUN REMOTE	98.7883	14.517330169677734	538.0	460.0
