P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
-0.0	20220726 084147	0.03127	17.529	15	15	RUN REMOTE	99.9389	1.0347399711608887	538.0	460.0
-0.0	20220726 084148	0.03127	17.529	15	15	RUN REMOTE	99.9342	1.354996919631958	538.0	460.0
-0.0	20220726 084148	0.03127	14.601	15	15	RUN REMOTE	99.9342	1.6058309078216553	538.0	460.0
0.0	20220726 084148	0.38689	14.601	15	15	RUN REMOTE	99.9301	1.9787728786468506	538.0	460.0
0.0	20220726 084149	0.38689	15.878	15	15	RUN REMOTE	99.9301	2.0959889888763428	538.0	460.0
0.0	20220726 084149	0.38689	15.51	15	15	RUN REMOTE	99.9301	2.517503023147583	538.0	460.0
0.0	20220726 084149	0.40427	15.51	15	15	RUN REMOTE	99.9259	2.6880218982696533	538.0	460.0
0.0	20220726 084150	0.40427	15.537	15	15	RUN REMOTE	99.9259	3.0731990337371826	538.0	460.0
0.1	20220726 084150	0.36141	15.537	15	15	RUN REMOTE	99.9214	3.5689520835876465	538.0	460.0
0.1	20220726 084150	0.36141	15.106	15	15	RUN REMOTE	99.9214	3.596781015396118	538.0	460.0
0.1	20220726 084151	0.36141	16.077	15	15	RUN REMOTE	99.9214	4.107123851776123	538.0	460.0
0.1	20220726 084151	0.35272	16.077	15	15	RUN REMOTE	99.9162	4.221073150634766	538.0	460.0
0.1	20220726 084151	0.35272	17.31	15	15	RUN REMOTE	99.9162	4.627011060714722	538.0	460.0
0.1	20220726 084151	0.38921	17.31	15	15	RUN REMOTE	99.9117	4.8499157428741455	538.0	460.0
0.1	20220726 084152	0.38921	16.392	15	15	RUN REMOTE	99.9117	5.059319019317627	538.0	460.0
0.1	20220726 084152	0.38921	15.128	15	15	RUN REMOTE	99.9117	5.666654825210571	538.0	460.0
0.2	20220726 084152	0.53806	15.128	15	15	RUN REMOTE	99.9065	5.72950291633606	538.0	460.0
0.2	20220726 084153	0.56354	15.128	15	15	RUN REMOTE	99.8982	6.212157964706421	538.0	460.0
0.2	20220726 084153	0.56354	14.621	15	15	RUN REMOTE	99.8982	6.29032301902771	538.0	460.0
0.3	20220726 084153	0.56354	14.621	15	15	RUN REMOTE	99.8933	6.589869976043701	538.0	460.0
0.3	20220726 084153	0.56354	16.025	15	15	RUN REMOTE	99.8933	6.7369019985198975	538.0	460.0
0.7	20220726 084153	0.56354	16.025	15	15	RUN REMOTE	99.8896	6.885760068893433	538.0	460.0
0.7	20220726 084154	0.56354	14.759	15	15	RUN REMOTE	99.8896	7.127056121826172	538.0	460.0
0.7	20220726 084154	0.56354	14.759	15	15	RUN REMOTE	99.8862	7.185676097869873	538.0	460.0
0.7	20220726 084154	0.63015	17.576	15	15	RUN REMOTE	99.8829	7.498879909515381	538.0	460.0
0.7	20220726 084154	0.61567	17.576	15	15	RUN REMOTE	99.8797	7.854912996292114	538.0	460.0
0.7	20220726 084154	0.61567	15.593	15	15	RUN REMOTE	99.8797	7.882928848266602	538.0	460.0
0.7	20220726 084155	0.61567	15.593	15	15	RUN REMOTE	99.8763	8.223128080368042	538.0	460.0
0.7	20220726 084155	0.61567	14.275	15	15	RUN REMOTE	99.8763	8.302902936935425	538.0	460.0
0.7	20220726 084155	0.61567	14.275	15	15	RUN REMOTE	99.8732	8.570685863494873	538.0	460.0
0.7	20220726 084155	0.61567	15.15	15	15	RUN REMOTE	99.8732	8.704571962356567	538.0	460.0
0.7	20220726 084155	0.49462	15.15	15	15	RUN REMOTE	99.8703	8.969763994216919	538.0	460.0
0.7	20220726 084156	0.49462	17.847	15	15	RUN REMOTE	99.8703	9.128324031829834	538.0	460.0
0.7	20220726 084156	0.38458	17.847	15	15	RUN REMOTE	99.8676	9.32880687713623	538.0	460.0
0.7	20220726 084156	0.38458	15.897	15	15	RUN REMOTE	99.8676	9.556732892990112	538.0	460.0
0.7	20220726 084156	0.38458	15.897	15	15	RUN REMOTE	99.8664	9.66880202293396	538.0	460.0
0.7	20220726 084156	0.38458	16.484	15	15	RUN REMOTE	99.8664	9.967941045761108	538.0	460.0
0.7	20220726 084156	0.10077	16.484	15	15	RUN REMOTE	99.8664	10.020035982131958	538.0	460.0
0.7	20220726 084157	0.10077	15.253	15	15	RUN REMOTE	99.8664	10.360769033432007	538.0	460.0
0.7	20220726 084157	0.37622	15.253	15	15	RUN REMOTE	99.8667	10.488739967346191	538.0	460.0
0.7	20220726 084157	0.37622	15.829	15	15	RUN REMOTE	99.8667	10.827749013900757	538.0	460.0
0.7	20220726 084157	0.30309	15.829	15	15	RUN REMOTE	99.8675	10.828354120254517	538.0	460.0
0.7	20220726 084158	0.30309	15.829	15	15	RUN REMOTE	99.8682	11.211822986602783	538.0	460.0
0.7	20220726 084158	0.30309	16.16	15	15	RUN REMOTE	99.8682	11.234964847564697	538.0	460.0
0.7	20220726 084158	0.23707	16.16	15	15	RUN REMOTE	99.8691	11.604289054870605	538.0	460.0
0.7	20220726 084158	0.23707	17.609	15	15	RUN REMOTE	99.8691	11.62804913520813	538.0	460.0
0.7	20220726 084158	0.18547	17.609	15	15	RUN REMOTE	99.8696	11.986947059631348	538.0	460.0
0.7	20220726 084158	0.18547	15.652	15	15	RUN REMOTE	99.8696	12.021394968032837	538.0	460.0
0.7	20220726 084159	0.15131	15.652	15	15	RUN REMOTE	99.8696	12.29397988319397	538.0	460.0
