P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.7	20220726 143212	0.0	7.287	15	15	RUN REMOTE	98.5197	1.0515518188476562	538.0	460.0
0.7	20220726 143213	0.0	8.016	15	15	RUN REMOTE	98.5197	1.6361117362976074	538.0	460.0
0.7	20220726 143213	0.0	8.286	15	15	RUN REMOTE	98.5197	2.1704788208007812	538.0	460.0
0.7	20220726 143214	0.0	6.447	15	15	RUN REMOTE	98.5197	2.7319817543029785	538.0	460.0
0.7	20220726 143214	0.0	8.686	15	15	RUN REMOTE	98.5197	3.283829689025879	538.0	460.0
0.7	20220726 143215	0.0	8.402	15	15	RUN REMOTE	98.5197	3.8602957725524902	538.0	460.0
0.7	20220726 143215	0.0	8.441	15	15	RUN REMOTE	98.5197	4.422228813171387	538.0	460.0
0.7	20220726 143216	0.00057	8.441	15	15	RUN REMOTE	98.5197	4.605145692825317	538.0	460.0
0.7	20220726 143216	0.00057	6.312	15	15	RUN REMOTE	98.5197	4.881406784057617	538.0	460.0
0.7	20220726 143216	0.0	6.312	15	15	RUN REMOTE	98.5197	5.08828067779541	538.0	460.0
0.7	20220726 143216	0.0	7.683	15	15	RUN REMOTE	98.5197	5.325434684753418	538.0	460.0
0.7	20220726 143217	0.0	7.984	15	15	RUN REMOTE	98.5197	5.765164613723755	538.0	460.0
0.7	20220726 143217	0.0	8.132	15	15	RUN REMOTE	98.5197	6.305453777313232	538.0	460.0
0.7	20220726 143218	0.0	7.161	15	15	RUN REMOTE	98.5197	6.881483793258667	538.0	460.0
0.7	20220726 143218	0.0	7.12	15	15	RUN REMOTE	98.5197	7.377249717712402	538.0	460.0
0.7	20220726 143219	0.0	9.145	15	15	RUN REMOTE	98.5197	7.791954755783081	538.0	460.0
0.7	20220726 143219	0.0	8.327	15	15	RUN REMOTE	98.5197	8.319328784942627	538.0	460.0
0.7	20220726 143220	0.0	5.752	15	15	RUN REMOTE	98.5197	8.846670866012573	538.0	460.0
0.7	20220726 143220	0.0	7.352	15	15	RUN REMOTE	98.5197	9.25464677810669	538.0	460.0
0.7	20220726 143221	0.0	7.697	15	15	RUN REMOTE	98.5197	9.65796184539795	538.0	460.0
0.7	20220726 143221	0.0	7.647	15	15	RUN REMOTE	98.5197	10.225315809249878	538.0	460.0
0.7	20220726 143221	0.00231	7.647	15	15	RUN REMOTE	98.5197	10.22612190246582	538.0	460.0
0.7	20220726 143222	0.00231	8.739	15	15	RUN REMOTE	98.5197	10.658838748931885	538.0	460.0
0.7	20220726 143222	0.0005	8.739	15	15	RUN REMOTE	98.5197	10.822739839553833	538.0	460.0
0.7	20220726 143222	0.0005	8.505	15	15	RUN REMOTE	98.5197	11.13805079460144	538.0	460.0
0.7	20220726 143222	0.00043	8.505	15	15	RUN REMOTE	98.5197	11.496072769165039	538.0	460.0
