P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.7	20220726 103035	0.0	17.202	15	15	RUN REMOTE	98.6421	1.1887271404266357	538.0	460.0
0.7	20220726 103035	-0.01447	17.202	15	15	RUN REMOTE	98.6426	1.4653749465942383	538.0	460.0
0.7	20220726 103035	-0.01447	17.364	15	15	RUN REMOTE	98.6426	1.6691069602966309	538.0	460.0
0.7	20220726 103036	-0.03069	17.364	15	15	RUN REMOTE	98.6428	1.9889869689941406	538.0	460.0
0.7	20220726 103036	-0.03069	19.332	15	15	RUN REMOTE	98.6428	2.1048221588134766	538.0	460.0
0.7	20220726 103036	-0.03069	17.77	15	15	RUN REMOTE	98.6428	2.5775980949401855	538.0	460.0
0.7	20220726 103036	-0.03069	17.77	15	15	RUN REMOTE	98.643	2.5905978679656982	538.0	460.0
0.7	20220726 103037	0.0	17.77	15	15	RUN REMOTE	98.643	2.99755597114563	538.0	460.0
0.7	20220726 103037	0.0	17.026	15	15	RUN REMOTE	98.643	3.0251150131225586	538.0	460.0
0.7	20220726 103037	0.0	16.803	15	15	RUN REMOTE	98.643	3.489032030105591	538.0	460.0
0.7	20220726 103037	-0.00868	16.803	15	15	RUN REMOTE	98.6431	3.503877878189087	538.0	460.0
0.7	20220726 103037	-0.01621	16.803	15	15	RUN REMOTE	98.6432	3.844499111175537	538.0	460.0
0.7	20220726 103038	-0.01621	15.176	15	15	RUN REMOTE	98.6432	3.9053142070770264	538.0	460.0
0.7	20220726 103038	-0.01795	15.176	15	15	RUN REMOTE	98.6433	4.283627033233643	538.0	460.0
0.7	20220726 103038	-0.01795	17.573	15	15	RUN REMOTE	98.6433	4.331392049789429	538.0	460.0
0.7	20220726 103038	0.00057	17.573	15	15	RUN REMOTE	98.6433	4.6552369594573975	538.0	460.0
0.7	20220726 103038	0.00057	18.511	15	15	RUN REMOTE	98.6433	4.817018985748291	538.0	460.0
0.7	20220726 103039	0.00057	18.533	15	15	RUN REMOTE	98.6433	5.338383913040161	538.0	460.0
0.7	20220726 103039	-0.00057	18.533	15	15	RUN REMOTE	98.6433	5.554558038711548	538.0	460.0
0.7	20220726 103039	-0.00057	17.685	15	15	RUN REMOTE	98.6433	5.780588150024414	538.0	460.0
0.7	20220726 103040	0.00057	17.685	15	15	RUN REMOTE	98.6433	6.017439126968384	538.0	460.0
0.7	20220726 103040	0.00057	20.152	15	15	RUN REMOTE	98.6433	6.223996877670288	538.0	460.0
0.7	20220726 103040	-0.00057	20.152	15	15	RUN REMOTE	98.6433	6.840935945510864	538.0	460.0
0.7	20220726 103041	-0.00057	20.313	15	15	RUN REMOTE	98.6433	6.863458156585693	538.0	460.0
0.7	20220726 103041	0.0	20.313	15	15	RUN REMOTE	98.6433	7.318948984146118	538.0	460.0
0.7	20220726 103041	0.0	16.471	15	15	RUN REMOTE	98.6433	7.341132164001465	538.0	460.0
0.7	20220726 103041	0.0	18.268	15	15	RUN REMOTE	98.6433	7.787765026092529	538.0	460.0
0.7	20220726 103042	0.0	17.45	15	15	RUN REMOTE	98.6433	8.279689073562622	538.0	460.0
0.7	20220726 103042	0.00057	17.45	15	15	RUN REMOTE	98.6433	8.50853419303894	538.0	460.0
0.7	20220726 103042	0.00057	17.976	15	15	RUN REMOTE	98.6433	8.766200065612793	538.0	460.0
0.7	20220726 103043	-0.00057	17.976	15	15	RUN REMOTE	98.6433	9.354456901550293	538.0	460.0
0.7	20220726 103043	-0.00057	16.77	15	15	RUN REMOTE	98.6433	9.382080078125	538.0	460.0
0.7	20220726 103043	-0.00057	18.151	15	15	RUN REMOTE	98.6433	9.8524649143219	538.0	460.0
0.7	20220726 103044	0.00057	18.151	15	15	RUN REMOTE	98.6433	10.035760879516602	538.0	460.0
0.7	20220726 103044	0.00057	16.237	15	15	RUN REMOTE	98.6433	10.418352842330933	538.0	460.0
0.7	20220726 103044	-0.00165	16.237	15	15	RUN REMOTE	98.6433	10.81954312324524	538.0	460.0
0.7	20220726 103045	-0.00165	18.222	15	15	RUN REMOTE	98.6433	11.042691230773926	538.0	460.0
0.7	20220726 103045	-0.00084	18.222	15	15	RUN REMOTE	98.6433	11.583400011062622	538.0	460.0
0.7	20220726 103045	-0.00084	17.235	15	15	RUN REMOTE	98.6433	11.636002779006958	538.0	460.0
0.7	20220726 103046	-0.00084	18.602	15	15	RUN REMOTE	98.6433	12.217031002044678	538.0	460.0
0.7	20220726 103046	-0.00037	18.602	15	15	RUN REMOTE	98.6433	12.40334701538086	538.0	460.0
0.7	20220726 103046	-0.00037	17.521	15	15	RUN REMOTE	98.6433	12.741098165512085	538.0	460.0
0.7	20220726 103047	-0.00025	17.521	15	15	RUN REMOTE	98.6433	13.039298057556152	538.0	460.0
0.7	20220726 103047	-0.00025	17.494	15	15	RUN REMOTE	98.6433	13.320573091506958	538.0	460.0
0.7	20220726 103047	-0.00019	17.494	15	15	RUN REMOTE	98.6433	13.715753078460693	538.0	460.0
0.7	20220726 103047	-0.00019	19.354	15	15	RUN REMOTE	98.6433	13.798988103866577	538.0	460.0
0.7	20220726 103048	3e-05	19.354	15	15	RUN REMOTE	98.6433	14.319869995117188	538.0	460.0
0.7	20220726 103048	3e-05	17.241	15	15	RUN REMOTE	98.6433	14.347445964813232	538.0	460.0
0.7	20220726 103049	3e-05	17.65	15	15	RUN REMOTE	98.6433	14.874872207641602	538.0	460.0
0.7	20220726 103049	3e-05	18.331	15	15	RUN REMOTE	98.6433	15.408935070037842	538.0	460.0
0.7	20220726 103049	2e-05	18.331	15	15	RUN REMOTE	98.6433	15.8037850856781	538.0	460.0
0.7	20220726 103050	2e-05	16.549	15	15	RUN REMOTE	98.6433	15.927147150039673	538.0	460.0
0.7	20220726 103050	2e-05	16.944	15	15	RUN REMOTE	98.6433	16.530138969421387	538.0	460.0
0.7	20220726 103051	2e-05	19.018	15	15	RUN REMOTE	98.6433	17.01198101043701	538.0	460.0
0.7	20220726 103051	2e-05	17.976	15	15	RUN REMOTE	98.6433	17.484419107437134	538.0	460.0
0.7	20220726 103052	1e-05	17.726	15	15	RUN REMOTE	98.6433	18.09721302986145	538.0	460.0
0.7	20220726 103052	1e-05	17.95	15	15	RUN REMOTE	98.6433	18.64389419555664	538.0	460.0
0.7	20220726 103052	0.0	17.95	15	15	RUN REMOTE	98.6433	18.678723096847534	538.0	460.0
0.7	20220726 103053	0.0	19.608	15	15	RUN REMOTE	98.6433	19.17742609977722	538.0	460.0
0.7	20220726 103053	0.0	17.701	15	15	RUN REMOTE	98.6433	19.641666173934937	538.0	460.0
0.7	20220726 103054	0.0	18.549	15	15	RUN REMOTE	98.6433	20.211203813552856	538.0	460.0
0.7	20220726 103054	0.0	17.905	15	15	RUN REMOTE	98.6433	20.78632616996765	538.0	460.0
0.7	20220726 103055	0.0	18.315	15	15	RUN REMOTE	98.6433	21.304783821105957	538.0	460.0
0.7	20220726 103056	0.0	16.942	15	15	RUN REMOTE	98.6433	21.884031057357788	538.0	460.0
0.7	20220726 103056	0.0	17.889	15	15	RUN REMOTE	98.6433	22.29474115371704	538.0	460.0
0.7	20220726 103057	0.0	16.322	15	15	RUN REMOTE	98.6433	22.915597200393677	538.0	460.0
0.7	20220726 103057	0.0	18.381	15	15	RUN REMOTE	98.6433	23.52191400527954	538.0	460.0
0.7	20220726 103058	0.0	19.164	15	15	RUN REMOTE	98.6433	24.07927703857422	538.0	460.0
0.7	20220726 103058	0.0	16.799	15	15	RUN REMOTE	98.6433	24.67639398574829	538.0	460.0
0.7	20220726 103059	0.0	19.083	15	15	RUN REMOTE	98.6433	25.27932906150818	538.0	460.0
0.7	20220726 103059	0.0	20.682	15	15	RUN REMOTE	98.6433	25.713298082351685	538.0	460.0
0.7	20220726 103100	0.0	19.26	15	15	RUN REMOTE	98.6433	26.326163053512573	538.0	460.0
0.7	20220726 103101	0.0	19.098	15	15	RUN REMOTE	98.6433	26.88206911087036	538.0	460.0
0.7	20220726 103101	0.0	19.034	15	15	RUN REMOTE	98.6433	27.490791082382202	538.0	460.0
0.7	20220726 103102	0.0	18.266	15	15	RUN REMOTE	98.6433	27.903708934783936	538.0	460.0
