P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.7	20220726 150312	0.0	15.737	15	15	RUN REMOTE	98.2807	1.1657509803771973	538.0	460.0
0.7	20220726 150313	0.0	16.117	15	15	RUN REMOTE	98.2807	1.607269048690796	538.0	460.0
0.7	20220726 150313	0.0	17.067	15	15	RUN REMOTE	98.2807	2.0342772006988525	538.0	460.0
0.7	20220726 150314	0.0	17.332	15	15	RUN REMOTE	98.2807	2.6331090927124023	538.0	460.0
0.7	20220726 150314	0.0	17.788	15	15	RUN REMOTE	98.2807	3.146578311920166	538.0	460.0
0.7	20220726 150315	0.0	16.452	15	15	RUN REMOTE	98.2807	3.5650129318237305	538.0	460.0
0.7	20220726 150315	0.0	15.566	15	15	RUN REMOTE	98.2807	4.017837047576904	538.0	460.0
0.7	20220726 150315	0.0	16.292	15	15	RUN REMOTE	98.2807	4.427407264709473	538.0	460.0
0.7	20220726 150316	0.0	15.926	15	15	RUN REMOTE	98.2807	4.9836342334747314	538.0	460.0
0.7	20220726 150316	0.0	16.488	15	15	RUN REMOTE	98.2807	5.4143102169036865	538.0	460.0
0.7	20220726 150317	0.0	16.601	15	15	RUN REMOTE	98.2807	5.883663177490234	538.0	460.0
0.7	20220726 150317	0.0	16.331	15	15	RUN REMOTE	98.2807	6.347301244735718	538.0	460.0
0.7	20220726 150318	0.0	16.068	15	15	RUN REMOTE	98.2807	6.7805681228637695	538.0	460.0
0.7	20220726 150318	0.0	15.916	15	15	RUN REMOTE	98.2807	7.192113161087036	538.0	460.0
0.7	20220726 150319	0.0	18.04	15	15	RUN REMOTE	98.2807	7.769057035446167	538.0	460.0
0.7	20220726 150319	0.0	16.93	15	15	RUN REMOTE	98.2807	8.268247127532959	538.0	460.0
0.7	20220726 150320	0.0	17.888	15	15	RUN REMOTE	98.2807	8.730491161346436	538.0	460.0
0.7	20220726 150320	0.0	17.413	15	15	RUN REMOTE	98.2807	9.191811084747314	538.0	460.0
0.7	20220726 150321	0.0	16.158	15	15	RUN REMOTE	98.2807	9.708622217178345	538.0	460.0
0.7	20220726 150321	0.0	16.322	15	15	RUN REMOTE	98.2807	10.221949338912964	538.0	460.0
0.7	20220726 150322	0.0	17.263	15	15	RUN REMOTE	98.2807	10.810397148132324	538.0	460.0
0.7	20220726 150322	0.0	16.642	15	15	RUN REMOTE	98.2807	11.249773025512695	538.0	460.0
0.7	20220726 150323	0.0	16.329	15	15	RUN REMOTE	98.2807	11.744431257247925	538.0	460.0
0.7	20220726 150323	0.0	18.822	15	15	RUN REMOTE	98.2807	12.153125047683716	538.0	460.0
0.7	20220726 150324	0.0	17.821	15	15	RUN REMOTE	98.2807	12.849980115890503	538.0	460.0
