P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.7	20220726 162540	0.0	16.776	15	15	RUN REMOTE	96.221	0.9658949375152588	538.0	460.0
0.7	20220726 162541	0.0	14.723	15	15	RUN REMOTE	96.221	1.3400700092315674	538.0	460.0
0.7	20220726 162541	0.0	15.399	15	15	RUN REMOTE	96.221	1.864426851272583	538.0	460.0
0.7	20220726 162542	0.0	15.555	15	15	RUN REMOTE	96.221	2.3490819931030273	538.0	460.0
0.7	20220726 162542	0.0	14.662	15	15	RUN REMOTE	96.221	2.893190860748291	538.0	460.0
0.7	20220726 162543	0.0	16.117	15	15	RUN REMOTE	96.221	3.4473979473114014	538.0	460.0
0.7	20220726 162543	0.0	16.907	15	15	RUN REMOTE	96.221	4.049520969390869	538.0	460.0
0.7	20220726 162544	0.0	15.216	15	15	RUN REMOTE	96.221	4.460039854049683	538.0	460.0
0.7	20220726 162544	0.0	16.306	15	15	RUN REMOTE	96.221	4.906389951705933	538.0	460.0
0.7	20220726 162545	0.0	15.767	15	15	RUN REMOTE	96.221	5.441089868545532	538.0	460.0
0.7	20220726 162545	0.0	15.309	15	15	RUN REMOTE	96.221	6.0429627895355225	538.0	460.0
0.7	20220726 162546	0.0	16.612	15	15	RUN REMOTE	96.221	6.506057977676392	538.0	460.0
0.7	20220726 162546	0.0	15.271	15	15	RUN REMOTE	96.221	7.001959800720215	538.0	460.0
0.7	20220726 162547	0.0	16.28	15	15	RUN REMOTE	96.221	7.556941986083984	538.0	460.0
0.7	20220726 162547	0.0	15.611	15	15	RUN REMOTE	96.221	8.108206987380981	538.0	460.0
0.7	20220726 162548	0.0	14.625	15	15	RUN REMOTE	96.221	8.630080938339233	538.0	460.0
0.7	20220726 162549	0.0	15.815	15	15	RUN REMOTE	96.221	9.317803859710693	538.0	460.0
0.7	20220726 162549	0.0	15.919	15	15	RUN REMOTE	96.221	9.87196397781372	538.0	460.0
0.7	20220726 162550	0.0	15.424	15	15	RUN REMOTE	96.221	10.420669794082642	538.0	460.0
0.7	20220726 162550	0.0	16.844	15	15	RUN REMOTE	96.221	10.89702296257019	538.0	460.0
0.7	20220726 162551	0.0	15.473	15	15	RUN REMOTE	96.221	11.414153814315796	538.0	460.0
0.7	20220726 162551	0.0	16.274	15	15	RUN REMOTE	96.221	11.968284130096436	538.0	460.0
0.7	20220726 162552	0.0	14.693	15	15	RUN REMOTE	96.221	12.496661901473999	538.0	460.0
0.7	20220726 162552	0.0	17.389	15	15	RUN REMOTE	96.221	12.901449918746948	538.0	460.0
0.7	20220726 162553	0.0	14.473	15	15	RUN REMOTE	96.221	13.424299001693726	538.0	460.0
0.7	20220726 162553	0.0	15.889	15	15	RUN REMOTE	96.221	13.842293977737427	538.0	460.0
0.7	20220726 162554	0.0	15.827	15	15	RUN REMOTE	96.221	14.290257930755615	538.0	460.0
0.7	20220726 162554	0.0	16.646	15	15	RUN REMOTE	96.221	14.831032037734985	538.0	460.0
0.7	20220726 162555	0.0	14.897	15	15	RUN REMOTE	96.221	15.270298957824707	538.0	460.0
0.7	20220726 162555	0.0	15.405	15	15	RUN REMOTE	96.221	15.811230897903442	538.0	460.0
0.7	20220726 162556	0.0	15.779	15	15	RUN REMOTE	96.221	16.480787992477417	538.0	460.0
0.7	20220726 162556	0.0	15.097	15	15	RUN REMOTE	96.221	16.93341088294983	538.0	460.0
0.7	20220726 162557	0.0	16.06	15	15	RUN REMOTE	96.221	17.497374773025513	538.0	460.0
0.7	20220726 162557	0.0	16.227	15	15	RUN REMOTE	96.221	18.040027141571045	538.0	460.0
0.7	20220726 162558	0.0	16.768	15	15	RUN REMOTE	96.221	18.585417985916138	538.0	460.0
0.7	20220726 162558	0.0	15.029	15	15	RUN REMOTE	96.221	19.21648097038269	538.0	460.0
0.7	20220726 162559	0.0	16.475	15	15	RUN REMOTE	96.221	19.729777097702026	538.0	460.0
0.7	20220726 162600	0.0	15.973	15	15	RUN REMOTE	96.221	20.370896100997925	538.0	460.0
0.7	20220726 162600	0.0	16.826	15	15	RUN REMOTE	96.221	20.970160007476807	538.0	460.0
0.7	20220726 162601	0.0	15.882	15	15	RUN REMOTE	96.221	21.4548978805542	538.0	460.0
0.7	20220726 162601	0.0	14.715	15	15	RUN REMOTE	96.221	21.96273398399353	538.0	460.0
0.7	20220726 162602	0.0	16.4	15	15	RUN REMOTE	96.221	22.527819871902466	538.0	460.0
0.7	20220726 162602	0.0	15.491	15	15	RUN REMOTE	96.221	23.035206079483032	538.0	460.0
0.7	20220726 162603	0.0	14.886	15	15	RUN REMOTE	96.221	23.523825883865356	538.0	460.0
0.7	20220726 162603	0.0	16.278	15	15	RUN REMOTE	96.221	24.134031057357788	538.0	460.0
0.7	20220726 162604	0.0	15.165	15	15	RUN REMOTE	96.221	24.62410283088684	538.0	460.0
0.7	20220726 162604	-0.00043	15.165	15	15	RUN REMOTE	96.221	24.8459529876709	538.0	460.0
0.7	20220726 162604	-0.00043	16.472	15	15	RUN REMOTE	96.221	25.204576015472412	538.0	460.0
0.7	20220726 162605	-0.00261	16.472	15	15	RUN REMOTE	96.2211	25.496079921722412	538.0	460.0
0.7	20220726 162605	-0.00261	15.553	15	15	RUN REMOTE	96.2211	25.68839383125305	538.0	460.0
0.7	20220726 162605	-0.00333	15.553	15	15	RUN REMOTE	96.2212	26.182151794433594	538.0	460.0
0.7	20220726 162605	-0.00333	15.481	15	15	RUN REMOTE	96.2212	26.245657920837402	538.0	460.0
0.7	20220726 162606	-0.00291	15.481	15	15	RUN REMOTE	96.2212	26.702029943466187	538.0	460.0
0.7	20220726 162606	-0.00291	16.865	15	15	RUN REMOTE	96.2212	26.71932101249695	538.0	460.0
0.7	20220726 162607	-0.00291	15.265	15	15	RUN REMOTE	96.2212	27.420572757720947	538.0	460.0
0.7	20220726 162607	-0.00248	15.265	15	15	RUN REMOTE	96.2212	27.615440130233765	538.0	460.0
0.7	20220726 162607	-0.00248	16.014	15	15	RUN REMOTE	96.2212	27.867239952087402	538.0	460.0
0.7	20220726 162607	-0.00177	16.014	15	15	RUN REMOTE	96.2212	28.187623739242554	538.0	460.0
0.7	20220726 162608	-0.00177	15.824	15	15	RUN REMOTE	96.2212	28.310105085372925	538.0	460.0
0.7	20220726 162608	-0.00156	15.824	15	15	RUN REMOTE	96.2212	28.658798933029175	538.0	460.0
0.7	20220726 162608	-0.00156	17.278	15	15	RUN REMOTE	96.2212	28.861557006835938	538.0	460.0
0.7	20220726 162608	-0.00134	17.278	15	15	RUN REMOTE	96.2212	29.154032945632935	538.0	460.0
0.7	20220726 162609	-0.00134	16.86	15	15	RUN REMOTE	96.2212	29.455562829971313	538.0	460.0
0.7	20220726 162609	-0.00113	16.86	15	15	RUN REMOTE	96.2212	29.73289203643799	538.0	460.0
0.7	20220726 162609	-0.00113	15.204	15	15	RUN REMOTE	96.2212	30.113194942474365	538.0	460.0
0.7	20220726 162610	-0.00093	15.204	15	15	RUN REMOTE	96.2212	30.57186508178711	538.0	460.0
0.7	20220726 162610	-0.00093	14.472	15	15	RUN REMOTE	96.2212	30.65506887435913	538.0	460.0
0.7	20220726 162610	-0.00073	14.472	15	15	RUN REMOTE	96.2212	31.134395122528076	538.0	460.0
0.7	20220726 162610	-0.00073	15.687	15	15	RUN REMOTE	96.2212	31.23648190498352	538.0	460.0
0.7	20220726 162611	-0.00061	15.687	15	15	RUN REMOTE	96.2212	31.828742027282715	538.0	460.0
0.7	20220726 162611	-0.00061	15.793	15	15	RUN REMOTE	96.2212	31.874526977539062	538.0	460.0
0.7	20220726 162612	-0.00051	15.41	15	15	RUN REMOTE	96.2212	32.39155697822571	538.0	460.0
0.7	20220726 162612	-0.00051	15.398	15	15	RUN REMOTE	96.2212	32.83127188682556	538.0	460.0
0.7	20220726 162612	-0.00042	15.398	15	15	RUN REMOTE	96.2212	33.00581383705139	538.0	460.0
0.7	20220726 162613	-0.00042	15.979	15	15	RUN REMOTE	96.2212	33.45433688163757	538.0	460.0
0.7	20220726 162613	-0.00029	15.979	15	15	RUN REMOTE	96.2212	33.73820781707764	538.0	460.0
0.7	20220726 162613	-0.00029	15.533	15	15	RUN REMOTE	96.2212	33.98649191856384	538.0	460.0
0.7	20220726 162614	-0.0002	15.533	15	15	RUN REMOTE	96.2212	34.374833822250366	538.0	460.0
0.7	20220726 162614	-0.0002	15.479	15	15	RUN REMOTE	96.2212	34.4611599445343	538.0	460.0
0.7	20220726 162614	-0.0002	15.218	15	15	RUN REMOTE	96.2212	35.09623599052429	538.0	460.0
0.7	20220726 162614	-0.00019	15.218	15	15	RUN REMOTE	96.2212	35.212783098220825	538.0	460.0
0.7	20220726 162615	-0.00019	14.769	15	15	RUN REMOTE	96.2212	35.57950687408447	538.0	460.0
0.7	20220726 162615	0.0	14.769	15	15	RUN REMOTE	96.2212	35.71054196357727	538.0	460.0
0.7	20220726 162615	0.0	15.166	15	15	RUN REMOTE	96.2212	36.06602382659912	538.0	460.0
0.7	20220726 162616	0.0	15.84	15	15	RUN REMOTE	96.2212	36.55361986160278	538.0	460.0
0.7	20220726 162616	0.0	15.824	15	15	RUN REMOTE	96.2212	36.98811197280884	538.0	460.0
0.7	20220726 162617	0.0	15.596	15	15	RUN REMOTE	96.2212	37.5343759059906	538.0	460.0
0.7	20220726 162617	0.0	16.804	15	15	RUN REMOTE	96.2212	38.200133085250854	538.0	460.0
0.7	20220726 162618	0.0	15.686	15	15	RUN REMOTE	96.2212	38.83535408973694	538.0	460.0
0.7	20220726 162619	0.0	16.17	15	15	RUN REMOTE	96.2212	39.4267361164093	538.0	460.0
0.7	20220726 162619	0.0	16.159	15	15	RUN REMOTE	96.2212	40.0230917930603	538.0	460.0
0.7	20220726 162620	0.0	15.426	15	15	RUN REMOTE	96.2212	40.61050009727478	538.0	460.0
0.7	20220726 162620	0.0	16.317	15	15	RUN REMOTE	96.2212	41.145490884780884	538.0	460.0
0.7	20220726 162621	0.0	14.318	15	15	RUN REMOTE	96.2212	41.682657957077026	538.0	460.0
0.7	20220726 162621	0.0	14.511	15	15	RUN REMOTE	96.2212	42.218082904815674	538.0	460.0
0.7	20220726 162622	0.0	15.438	15	15	RUN REMOTE	96.2212	42.82125473022461	538.0	460.0
0.7	20220726 162623	0.0	15.768	15	15	RUN REMOTE	96.2212	43.29280090332031	538.0	460.0
0.7	20220726 162623	0.0	15.568	15	15	RUN REMOTE	96.2212	43.92275404930115	538.0	460.0
0.7	20220726 162624	0.0	14.717	15	15	RUN REMOTE	96.2212	44.52359890937805	538.0	460.0
0.7	20220726 162624	0.0	15.455	15	15	RUN REMOTE	96.2212	45.04024386405945	538.0	460.0
0.7	20220726 162625	0.0	16.816	15	15	RUN REMOTE	96.2212	45.5914089679718	538.0	460.0
0.7	20220726 162625	0.0	15.519	15	15	RUN REMOTE	96.2212	46.05633497238159	538.0	460.0
0.7	20220726 162626	0.0	15.038	15	15	RUN REMOTE	96.2212	46.683292865753174	538.0	460.0
