P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.7	20220726 165122	0	17.462	15	15	RUN REMOTE	96.1341	1.064916849	538	460
0.7	20220726 165122	0.00347	17.462	15	15	RUN REMOTE	96.1341	1.511615038	538	460
0.7	20220726 165123	0.00347	18.44	15	15	RUN REMOTE	96.1341	1.572568893	538	460
0.7	20220726 165123	0.00347	18.802	15	15	RUN REMOTE	96.1341	2.046523809	538	460
0.7	20220726 165123	0.00752	18.802	15	15	RUN REMOTE	96.134	2.174393892	538	460
0.7	20220726 165124	0.00752	17.355	15	15	RUN REMOTE	96.134	2.55701685	538	460
0.7	20220726 165124	0.00057	17.355	15	15	RUN REMOTE	96.134	2.922571659	538	460
0.7	20220726 165124	0.00057	18.346	15	15	RUN REMOTE	96.134	3.113055944	538	460
0.7	20220726 165125	0.00926	18.346	15	15	RUN REMOTE	96.1339	3.590461969	538	460
0.7	20220726 165125	0.00926	16.796	15	15	RUN REMOTE	96.1339	3.61986208	538	460
0.7	20220726 165125	0.00926	16.541	15	15	RUN REMOTE	96.1339	4.167033911	538	460
0.7	20220726 165125	0.00926	16.541	15	15	RUN REMOTE	96.1338	4.172526836	538	460
0.7	20220726 165126	0.00926	16.471	15	15	RUN REMOTE	96.1338	4.798200846	538	460
0.7	20220726 165126	0.00984	16.471	15	15	RUN REMOTE	FALSE	4.948328972	538	460
0.7	20220726 165126	0.00289	16.471	15	15	RUN REMOTE	FALSE	5.316951752	538	460
0.7	20220726 165126	0.00289	18.03	15	15	RUN REMOTE	FALSE	5.331525803	538	460
0.7	20220726 165127	0.00289	16.949	15	15	RUN REMOTE	FALSE	5.797086	538	460
0.7	20220726 165127	0	16.949	15	15	RUN REMOTE	FALSE	6.164938927	538	460
0.7	20220726 165127	0	17.501	15	15	RUN REMOTE	FALSE	6.300415039	538	460
0.7	20220726 165128	0.00115	17.501	15	15	RUN REMOTE	96.1336	6.742717981	538	460
0.7	20220726 165128	0.00115	16.718	15	15	RUN REMOTE	96.1336	6.888482809	538	460
0.7	20220726 165128	0.00405	16.718	15	15	RUN REMOTE	96.1336	7.374394894	538	460
0.7	20220726 165128	0.00405	17.951	15	15	RUN REMOTE	96.1336	7.409574747	538	460
0.7	20220726 165129	0.00405	16.724	15	15	RUN REMOTE	96.1336	7.903720856	538	460
0.7	20220726 165129	0	16.724	15	15	RUN REMOTE	96.1335	7.977912664	538	460
0.7	20220726 165129	0	18.259	15	15	RUN REMOTE	96.1335	8.368098736	538	460
0.7	20220726 165130	0	17.224	15	15	RUN REMOTE	96.1335	8.832794905	538	460
0.7	20220726 165130	0	17.468	15	15	RUN REMOTE	96.1335	9.25372076	538	460
0.7	20220726 165130	0.00521	17.468	15	15	RUN REMOTE	96.1335	9.416827917	538	460
0.7	20220726 165131	0.00521	16.914	15	15	RUN REMOTE	96.1335	9.733960867	538	460
0.7	20220726 165131	0	16.914	15	15	RUN REMOTE	96.1335	9.966444731	538	460
0.7	20220726 165131	0	17.334	15	15	RUN REMOTE	96.1335	10.28696775	538	460
0.7	20220726 165132	0.00252	17.334	15	15	RUN REMOTE	96.1335	10.6770997	538	460
0.7	20220726 165132	0.00252	16.473	15	15	RUN REMOTE	96.1335	10.82364488	538	460
0.7	20220726 165132	0.00259	16.473	15	15	RUN REMOTE	96.1335	11.12999487	538	460
0.7	20220726 165132	0.00259	16.732	15	15	RUN REMOTE	96.1335	11.24234867	538	460
0.7	20220726 165133	0.00221	16.732	15	15	RUN REMOTE	96.1335	11.53583694	538	460
0.7	20220726 165133	0.00221	17.438	15	15	RUN REMOTE	96.1335	11.71304178	538	460
0.7	20220726 165133	0.00179	17.438	15	15	RUN REMOTE	96.1335	12.22527695	538	460
0.7	20220726 165133	0.00179	17.28	15	15	RUN REMOTE	96.1335	12.25507569	538	460
0.7	20220726 165134	0.00179	17.084	15	15	RUN REMOTE	96.1335	12.69916797	538	460
0.7	20220726 165134	0.00153	17.084	15	15	RUN REMOTE	96.1335	12.89437079	538	460
0.7	20220726 165134	0.00153	16.811	15	15	RUN REMOTE	96.1335	13.34039092	538	460
0.7	20220726 165134	0.00104	16.811	15	15	RUN REMOTE	96.1335	13.50016379	538	460
0.7	20220726 165135	0.00104	17.04	15	15	RUN REMOTE	96.1335	13.85857797	538	460
0.7	20220726 165135	0.00079	17.04	15	15	RUN REMOTE	96.1335	14.09958887	538	460
0.7	20220726 165135	0.00079	17.061	15	15	RUN REMOTE	96.1335	14.27922773	538	460
0.7	20220726 165136	0.00068	17.061	15	15	RUN REMOTE	96.1335	14.64246392	538	460
0.7	20220726 165136	0.00068	17.205	15	15	RUN REMOTE	96.1335	14.67133069	538	460
0.7	20220726 165136	0.00068	16.811	15	15	RUN REMOTE	96.1335	15.18928003	538	460
0.7	20220726 165136	0.00051	16.811	15	15	RUN REMOTE	96.1335	15.42572784	538	460
0.7	20220726 165137	0.00051	15.424	15	15	RUN REMOTE	96.1335	15.71228075	538	460
0.7	20220726 165137	0.00038	15.424	15	15	RUN REMOTE	96.1335	16.0671587	538	460
0.7	20220726 165137	0.00038	17.654	15	15	RUN REMOTE	96.1335	16.35789084	538	460
0.7	20220726 165138	0.00026	17.655	15	15	RUN REMOTE	96.1335	16.99157882	538	460
0.7	20220726 165139	0.00026	16.496	15	15	RUN REMOTE	96.1335	17.58625102	538	460
0.7	20220726 165139	0.00021	16.496	15	15	RUN REMOTE	96.1335	17.61146688	538	460
0.7	20220726 165139	0.00021	17.439	15	15	RUN REMOTE	96.1335	18.13190198	538	460
0.7	20220726 165139	8.00E-05	17.439	15	15	RUN REMOTE	96.1335	18.48529482	538	460
0.7	20220726 165140	8.00E-05	15.461	15	15	RUN REMOTE	96.1335	18.70168877	538	460
0.7	20220726 165140	8.00E-05	17.061	15	15	RUN REMOTE	96.1335	19.26897383	538	460
0.7	20220726 165141	2.00E-05	17.061	15	15	RUN REMOTE	96.1335	19.57324696	538	460
0.7	20220726 165141	2.00E-05	16.58	15	15	RUN REMOTE	96.1335	19.83295369	538	460
0.7	20220726 165141	2.00E-05	16.019	15	15	RUN REMOTE	96.1335	20.50030065	538	460
0.7	20220726 165142	0.00097	16.019	15	15	RUN REMOTE	96.1334	20.73976183	538	460
0.7	20220726 165142	0.00097	17.822	15	15	RUN REMOTE	96.1334	21.09519696	538	460
0.7	20220726 165142	0.00201	17.822	15	15	RUN REMOTE	96.1333	21.31306195	538	460
0.7	20220726 165143	0.00201	18.198	15	15	RUN REMOTE	96.1333	21.64533877	538	460
0.7	20220726 165143	0.00152	18.198	15	15	RUN REMOTE	96.1333	21.90019083	538	460
0.7	20220726 165143	0.00152	17.498	15	15	RUN REMOTE	96.1333	22.1960237	538	460
0.7	20220726 165143	0.0013	17.498	15	15	RUN REMOTE	96.1333	22.3585248	538	460
0.7	20220726 165144	0.0013	16.685	15	15	RUN REMOTE	96.1333	22.70687795	538	460
0.7	20220726 165144	0.0013	17.225	15	15	RUN REMOTE	96.1333	23.2374239	538	460
0.7	20220726 165144	0.00092	17.225	15	15	RUN REMOTE	96.1333	23.42081285	538	460
0.7	20220726 165145	0.00092	16.452	15	15	RUN REMOTE	96.1333	23.67049289	538	460
0.7	20220726 165145	0.00081	16.452	15	15	RUN REMOTE	96.1333	24.0372839	538	460
0.7	20220726 165145	0.00081	17.074	15	15	RUN REMOTE	96.1333	24.26492286	538	460
0.7	20220726 165146	0.0007	17.074	15	15	RUN REMOTE	96.1333	24.79553795	538	460
0.7	20220726 165146	0.0007	16.992	15	15	RUN REMOTE	96.1333	24.88367677	538	460
0.7	20220726 165146	0.0007	15.945	15	15	RUN REMOTE	96.1333	25.42373681	538	460
0.7	20220726 165146	0.00049	15.945	15	15	RUN REMOTE	96.1333	25.51064777	538	460
0.7	20220726 165147	0.00049	17.426	15	15	RUN REMOTE	96.1333	25.94908071	538	460
0.7	20220726 165147	0.00077	17.426	15	15	RUN REMOTE	96.1333	26.06453991	538	460
0.7	20220726 165147	0.00077	17.492	15	15	RUN REMOTE	96.1333	26.46151876	538	460
0.7	20220726 165148	0.00067	17.492	15	15	RUN REMOTE	96.1333	26.72273993	538	460
0.7	20220726 165148	0.00067	16.567	15	15	RUN REMOTE	96.1333	26.87397885	538	460
0.7	20220726 165148	0.00118	16.567	15	15	RUN REMOTE	96.1333	27.23498774	538	460
0.7	20220726 165148	0.00118	17.658	15	15	RUN REMOTE	96.1333	27.39179587	538	460
0.7	20220726 165149	0.00118	17.658	15	15	RUN REMOTE	96.1332	27.97838068	538	460
0.7	20220726 165149	0.00118	17.76	15	15	RUN REMOTE	96.1332	28.01267385	538	460
0.7	20220726 165149	0.00224	17.76	15	15	RUN REMOTE	96.1332	28.49478078	538	460
0.7	20220726 165149	0.00224	17.213	15	15	RUN REMOTE	96.1332	28.51771975	538	460
0.7	20220726 165150	0.00224	18.112	15	15	RUN REMOTE	96.1332	29.15645599	538	460
0.7	20220726 165150	0.00193	18.112	15	15	RUN REMOTE	96.1332	29.46395683	538	460
0.7	20220726 165151	0.00193	17.026	15	15	RUN REMOTE	96.1332	29.72506499	538	460
0.7	20220726 165151	0.00186	17.026	15	15	RUN REMOTE	96.1332	30.00626278	538	460
0.7	20220726 165151	0.00186	16.939	15	15	RUN REMOTE	96.1332	30.20127797	538	460
0.7	20220726 165152	0.00156	16.939	15	15	RUN REMOTE	96.1332	30.69667482	538	460
0.7	20220726 165152	0.00156	17.499	15	15	RUN REMOTE	96.1332	30.73788595	538	460
0.7	20220726 165152	0.00156	17.499	15	15	RUN REMOTE	96.1331	31.33379793	538	460
0.7	20220726 165152	0.00156	16.768	15	15	RUN REMOTE	96.1331	31.36223483	538	460
0.7	20220726 165153	0.00156	18.397	15	15	RUN REMOTE	96.1331	31.90349889	538	460
0.7	20220726 165153	0.00159	18.397	15	15	RUN REMOTE	96.1331	32.030792	538	460
0.7	20220726 165153	0.00159	16.838	15	15	RUN REMOTE	96.1331	32.33164692	538	460
0.7	20220726 165153	0.00188	16.838	15	15	RUN REMOTE	96.1331	32.50088787	538	460
0.7	20220726 165154	0.00188	16.522	15	15	RUN REMOTE	96.1331	32.79884791	538	460
0.7	20220726 165154	0.00161	16.522	15	15	RUN REMOTE	96.1331	33.28769183	538	460
0.7	20220726 165154	0.00161	16.602	15	15	RUN REMOTE	96.1331	33.34059691	538	460
0.7	20220726 165155	0.00161	16.727	15	15	RUN REMOTE	96.1331	33.88343668	538	460
0.7	20220726 165155	0.00196	16.727	15	15	RUN REMOTE	96.133	34.03793573	538	460
0.7	20220726 165155	0.00196	16.225	15	15	RUN REMOTE	96.133	34.38921976	538	460
0.7	20220726 165156	0.00196	16.531	15	15	RUN REMOTE	96.133	34.85127974	538	460
0.7	20220726 165156	0.00144	16.531	15	15	RUN REMOTE	96.133	35.12591696	538	460
0.7	20220726 165156	0.00144	16.324	15	15	RUN REMOTE	96.133	35.32134461	538	460
0.7	20220726 165157	0.00124	16.324	15	15	RUN REMOTE	96.133	35.81860995	538	460
0.7	20220726 165157	0.00124	16.256	15	15	RUN REMOTE	96.133	35.84164095	538	460
0.7	20220726 165157	0.00138	16.256	15	15	RUN REMOTE	96.133	36.44627571	538	460
0.7	20220726 165157	0.00138	17.133	15	15	RUN REMOTE	96.133	36.46742392	538	460
0.7	20220726 165158	0.00138	17.891	15	15	RUN REMOTE	96.133	36.9154036	538	460
0.7	20220726 165158	0.00116	17.891	15	15	RUN REMOTE	96.133	37.0522368	538	460
0.7	20220726 165158	0.00116	17.11	15	15	RUN REMOTE	96.133	37.50941586	538	460
0.7	20220726 165159	0.00099	17.11	15	15	RUN REMOTE	96.133	37.93433976	538	460
0.7	20220726 165159	0.00099	16.775	15	15	RUN REMOTE	96.133	38.11844301	538	460
0.7	20220726 165200	0.00082	16.775	15	15	RUN REMOTE	96.133	38.67130589	538	460
0.7	20220726 165200	0.00082	16.365	15	15	RUN REMOTE	96.133	38.68202591	538	460
0.7	20220726 165200	0.00074	16.365	15	15	RUN REMOTE	96.133	39.19814301	538	460
0.7	20220726 165200	0.00074	17.516	15	15	RUN REMOTE	96.133	39.27475262	538	460
0.7	20220726 165201	0.00076	17.516	15	15	RUN REMOTE	96.133	39.63529491	538	460
0.7	20220726 165201	0.00076	16.301	15	15	RUN REMOTE	96.133	39.87122679	538	460
0.7	20220726 165201	0.00067	16.301	15	15	RUN REMOTE	96.133	40.28386688	538	460
0.7	20220726 165201	0.00067	17.41	15	15	RUN REMOTE	96.133	40.46245098	538	460
0.7	20220726 165202	0.00043	17.41	15	15	RUN REMOTE	96.133	40.88097882	538	460
0.7	20220726 165202	0.00043	17.402	15	15	RUN REMOTE	96.133	41.03832483	538	460
0.7	20220726 165203	0.00043	16.816	15	15	RUN REMOTE	96.133	41.61434984	538	460
0.7	20220726 165203	0.00041	16.816	15	15	RUN REMOTE	96.133	41.65461183	538	460
0.7	20220726 165203	0.00039	16.816	15	15	RUN REMOTE	96.133	42.14917302	538	460
0.7	20220726 165203	0.00039	17.35	15	15	RUN REMOTE	96.133	42.25106692	538	460
0.7	20220726 165204	0.00067	17.35	15	15	RUN REMOTE	96.133	42.76365066	538	460
0.7	20220726 165204	0.00067	16.64	15	15	RUN REMOTE	96.133	42.91327167	538	460
0.7	20220726 165204	0.00047	16.64	15	15	RUN REMOTE	96.133	43.50088787	538	460
0.7	20220726 165204	0.00047	16.625	15	15	RUN REMOTE	96.133	43.52351165	538	460
0.7	20220726 165205	0.00047	18.095	15	15	RUN REMOTE	96.133	43.95950985	538	460
0.7	20220726 165205	0.00041	18.095	15	15	RUN REMOTE	96.133	44.08014679	538	460
0.7	20220726 165205	0.00041	17.104	15	15	RUN REMOTE	96.133	44.43531179	538	460
0.7	20220726 165206	0.00031	17.104	15	15	RUN REMOTE	96.133	44.54964995	538	460
0.7	20220726 165206	0.00031	16.257	15	15	RUN REMOTE	96.133	44.97154784	538	460
0.7	20220726 165206	0.00028	16.257	15	15	RUN REMOTE	96.133	45.27466297	538	460
0.7	20220726 165207	0.00028	17.258	15	15	RUN REMOTE	96.133	45.66124272	538	460
0.7	20220726 165207	0.00024	17.258	15	15	RUN REMOTE	96.133	45.77270889	538	460
0.7	20220726 165207	0.00024	18.09	15	15	RUN REMOTE	96.133	46.11705875	538	460
0.7	20220726 165207	0.00019	18.09	15	15	RUN REMOTE	96.133	46.21522474	538	460
0.7	20220726 165208	0.00019	16.684	15	15	RUN REMOTE	96.133	46.63619781	538	460
0.7	20220726 165208	0.0002	16.684	15	15	RUN REMOTE	96.133	47.09740496	538	460
0.7	20220726 165208	0.0002	17.709	15	15	RUN REMOTE	96.133	47.21116972	538	460
0.7	20220726 165209	0.0002	16.782	15	15	RUN REMOTE	96.133	47.92442703	538	460
0.7	20220726 165209	0.00032	16.782	15	15	RUN REMOTE	96.133	47.95644498	538	460
0.7	20220726 165210	0.00032	16.737	15	15	RUN REMOTE	96.133	48.57423282	538	460
0.7	20220726 165210	0.00026	16.737	15	15	RUN REMOTE	96.1329	48.7387538	538	460
0.7	20220726 165210	0.00026	16.862	15	15	RUN REMOTE	96.1329	49.09460688	538	460
0.7	20220726 165211	0.00026	17.457	15	15	RUN REMOTE	96.1329	49.76208472	538	460
0.7	20220726 165211	0.00034	17.457	15	15	RUN REMOTE	96.1329	50.1381917	538	460
0.7	20220726 165211	0.00034	17.774	15	15	RUN REMOTE	96.1329	50.36081696	538	460
0.7	20220726 165212	0.00034	16.887	15	15	RUN REMOTE	96.1329	50.89860082	538	460
0.7	20220726 165212	0.00028	16.887	15	15	RUN REMOTE	96.1329	50.89880681	538	460
0.7	20220726 165212	0.00028	16.885	15	15	RUN REMOTE	96.1329	51.50085568	538	460
0.7	20220726 165212	0.00021	16.885	15	15	RUN REMOTE	96.1329	51.50115085	538	460
0.7	20220726 165213	0.00021	18.131	15	15	RUN REMOTE	96.1329	51.97039676	538	460
0.7	20220726 165213	0.00018	18.131	15	15	RUN REMOTE	96.1329	51.97151685	538	460
0.7	20220726 165213	0.00013	18.131	15	15	RUN REMOTE	96.1329	52.52064776	538	460
0.7	20220726 165214	0.00013	17.014	15	15	RUN REMOTE	96.1329	52.54269791	538	460
0.7	20220726 165214	0.00013	16.205	15	15	RUN REMOTE	96.1329	53.01142573	538	460
0.7	20220726 165214	0.00011	16.205	15	15	RUN REMOTE	96.1329	53.1668148	538	460
0.7	20220726 165214	0.00011	16.57	15	15	RUN REMOTE	96.1329	53.51874185	538	460
0.7	20220726 165215	0.0001	16.57	15	15	RUN REMOTE	96.1329	53.95598173	538	460
0.7	20220726 165215	0.0001	16.981	15	15	RUN REMOTE	96.1329	54.08942485	538	460
0.7	20220726 165216	0.00059	16.981	15	15	RUN REMOTE	96.1329	54.56472087	538	460
