P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.1	20220809 172019	0.0	19.168	15	15	RUN REMOTE	98.3654	1.035085916519165	538.0	460.0
0.1	20220809 172020	0.0	19.596	15	15	RUN REMOTE	98.3654	1.5615360736846924	538.0	460.0
0.2	20220809 172020	0.29191	19.596	15	15	RUN REMOTE	98.3624	1.5959100723266602	538.0	460.0
0.2	20220809 172020	0.29191	19.064	15	15	RUN REMOTE	98.3624	2.0488879680633545	538.0	460.0
0.2	20220809 172021	0.28959	19.064	15	15	RUN REMOTE	98.3596	2.2612569332122803	538.0	460.0
0.2	20220809 172021	0.28959	20.876	15	15	RUN REMOTE	98.3596	2.5556371212005615	538.0	460.0
0.2	20220809 172021	0.27048	20.876	15	15	RUN REMOTE	98.3567	2.8190228939056396	538.0	460.0
0.2	20220809 172021	0.27048	20.404	15	15	RUN REMOTE	98.3567	3.0117859840393066	538.0	460.0
0.3	20220809 172022	0.2421	20.404	15	15	RUN REMOTE	98.3544	3.265314817428589	538.0	460.0
0.3	20220809 172022	0.2421	19.504	15	15	RUN REMOTE	98.3544	3.4722042083740234	538.0	460.0
0.3	20220809 172022	0.23051	19.504	15	15	RUN REMOTE	98.3528	3.560075044631958	538.0	460.0
0.3	20220809 172022	0.23051	21.174	15	15	RUN REMOTE	98.3528	3.9368011951446533	538.0	460.0
0.3	20220809 172022	0.21429	21.174	15	15	RUN REMOTE	98.3518	3.970427989959717	538.0	460.0
0.3	20220809 172023	0.21429	19.561	15	15	RUN REMOTE	98.3518	4.444666862487793	538.0	460.0
0.7	20220809 172023	0.20966	19.561	15	15	RUN REMOTE	98.3503	4.558237075805664	538.0	460.0
0.7	20220809 172023	0.20966	18.101	15	15	RUN REMOTE	98.3503	4.8561811447143555	538.0	460.0
0.7	20220809 172023	0.20908	18.101	15	15	RUN REMOTE	98.3483	4.991350173950195	538.0	460.0
0.7	20220809 172024	0.20908	19.853	15	15	RUN REMOTE	98.3483	5.316299200057983	538.0	460.0
0.7	20220809 172024	0.15927	19.853	15	15	RUN REMOTE	98.3471	5.47406005859375	538.0	460.0
0.7	20220809 172024	0.15927	19.615	15	15	RUN REMOTE	98.3471	5.738764047622681	538.0	460.0
0.7	20220809 172024	0.15927	19.615	15	15	RUN REMOTE	98.3458	5.859403133392334	538.0	460.0
0.7	20220809 172025	0.15927	21.064	15	15	RUN REMOTE	98.3458	6.176596164703369	538.0	460.0
0.7	20220809 172025	0.14827	21.064	15	15	RUN REMOTE	98.3449	6.298485994338989	538.0	460.0
0.7	20220809 172025	0.14827	20.012	15	15	RUN REMOTE	98.3449	6.5785040855407715	538.0	460.0
0.7	20220809 172025	0.1251	20.012	15	15	RUN REMOTE	98.344	6.711786985397339	538.0	460.0
0.7	20220809 172026	0.1251	19.862	15	15	RUN REMOTE	98.344	7.118360996246338	538.0	460.0
0.7	20220809 172026	0.15	19.862	15	15	RUN REMOTE	98.343	7.208540916442871	538.0	460.0
0.7	20220809 172026	0.15	19.834	15	15	RUN REMOTE	98.343	7.564656019210815	538.0	460.0
0.7	20220809 172026	0.13552	19.834	15	15	RUN REMOTE	98.3419	7.654368162155151	538.0	460.0
0.7	20220809 172026	0.13552	20.079	15	15	RUN REMOTE	98.3419	8.022870063781738	538.0	460.0
0.7	20220809 172027	0.11178	20.079	15	15	RUN REMOTE	98.3411	8.144656896591187	538.0	460.0
0.7	20220809 172027	0.11178	19.565	15	15	RUN REMOTE	98.3411	8.40095591545105	538.0	460.0
0.7	20220809 172027	0.11178	19.565	15	15	RUN REMOTE	98.3403	8.508617162704468	538.0	460.0
0.7	20220809 172027	0.11178	21.318	15	15	RUN REMOTE	98.3403	8.777086973190308	538.0	460.0
0.7	20220809 172027	0.0805	21.318	15	15	RUN REMOTE	98.3398	8.869845151901245	538.0	460.0
0.7	20220809 172028	0.0805	21.434	15	15	RUN REMOTE	98.3398	9.162545919418335	538.0	460.0
0.7	20220809 172028	0.0805	21.434	15	15	RUN REMOTE	98.3394	9.218039989471436	538.0	460.0
0.7	20220809 172028	0.0805	20.665	15	15	RUN REMOTE	98.3394	9.562722206115723	538.0	460.0
0.7	20220809 172028	0.07297	20.665	15	15	RUN REMOTE	98.3389	9.694159030914307	538.0	460.0
0.7	20220809 172028	0.07297	20.41	15	15	RUN REMOTE	98.3389	9.986660957336426	538.0	460.0
0.7	20220809 172029	0.08398	20.41	15	15	RUN REMOTE	98.3383	10.11448884010315	538.0	460.0
0.7	20220809 172029	0.1163	20.41	15	15	RUN REMOTE	98.3379	10.432101011276245	538.0	460.0
0.7	20220809 172029	0.1163	19.617	15	15	RUN REMOTE	98.3379	10.784265041351318	538.0	460.0
0.7	20220809 172029	0.1163	19.617	15	15	RUN REMOTE	98.3375	10.831361770629883	538.0	460.0
0.7	20220809 172030	0.10782	19.617	15	15	RUN REMOTE	98.3371	11.14855694770813	538.0	460.0
0.7	20220809 172030	0.10782	19.08	15	15	RUN REMOTE	98.3371	11.170147895812988	538.0	460.0
0.7	20220809 172030	0.09946	19.08	15	15	RUN REMOTE	98.3368	11.541429996490479	538.0	460.0
0.7	20220809 172030	0.09946	19.28	15	15	RUN REMOTE	98.3368	11.595108985900879	538.0	460.0
0.7	20220809 172030	0.0907	19.28	15	15	RUN REMOTE	98.3365	11.915795087814331	538.0	460.0
0.7	20220809 172030	0.0907	19.439	15	15	RUN REMOTE	98.3365	12.038352012634277	538.0	460.0
0.7	20220809 172031	0.0907	19.439	15	15	RUN REMOTE	98.3361	12.245035171508789	538.0	460.0
0.7	20220809 172031	0.0907	20.113	15	15	RUN REMOTE	98.3361	12.42289686203003	538.0	460.0
0.7	20220809 172031	0.08223	20.113	15	15	RUN REMOTE	98.3359	12.574815034866333	538.0	460.0
0.7	20220809 172031	0.08223	20.399	15	15	RUN REMOTE	98.3359	12.830908060073853	538.0	460.0
0.7	20220809 172031	0.07275	20.399	15	15	RUN REMOTE	98.3358	12.988317966461182	538.0	460.0
0.7	20220809 172032	0.07275	21.054	15	15	RUN REMOTE	98.3358	13.330036163330078	538.0	460.0
0.7	20220809 172032	0.06751	21.054	15	15	RUN REMOTE	98.3355	13.366867065429688	538.0	460.0
0.7	20220809 172032	0.06751	20.221	15	15	RUN REMOTE	98.3355	13.91757082939148	538.0	460.0
0.7	20220809 172032	0.06373	20.221	15	15	RUN REMOTE	98.3352	14.036175966262817	538.0	460.0
0.7	20220809 172033	0.06373	20.607	15	15	RUN REMOTE	98.3352	14.327374935150146	538.0	460.0
0.7	20220809 172033	0.0594	20.607	15	15	RUN REMOTE	98.3347	14.674365997314453	538.0	460.0
0.7	20220809 172033	0.0594	20.697	15	15	RUN REMOTE	98.3347	14.765116930007935	538.0	460.0
0.7	20220809 172034	0.05327	20.697	15	15	RUN REMOTE	98.3344	15.083086967468262	538.0	460.0
0.7	20220809 172034	0.05327	19.52	15	15	RUN REMOTE	98.3344	15.232846975326538	538.0	460.0
0.7	20220809 172034	0.04989	19.52	15	15	RUN REMOTE	98.3341	15.631057024002075	538.0	460.0
0.7	20220809 172034	0.04989	19.499	15	15	RUN REMOTE	98.3341	15.701881885528564	538.0	460.0
0.7	20220809 172034	0.04607	19.499	15	15	RUN REMOTE	98.3339	16.047919034957886	538.0	460.0
0.7	20220809 172035	0.04607	20.825	15	15	RUN REMOTE	98.3339	16.19831609725952	538.0	460.0
0.7	20220809 172035	0.04185	20.825	15	15	RUN REMOTE	98.3337	16.498958826065063	538.0	460.0
0.7	20220809 172035	0.04185	19.274	15	15	RUN REMOTE	98.3337	16.69024896621704	538.0	460.0
0.7	20220809 172035	0.03486	19.274	15	15	RUN REMOTE	98.3337	16.928570985794067	538.0	460.0
0.7	20220809 172036	0.03486	19.749	15	15	RUN REMOTE	98.3337	17.178087949752808	538.0	460.0
0.7	20220809 172036	0.03486	20.018	15	15	RUN REMOTE	98.3337	17.727144956588745	538.0	460.0
0.7	20220809 172036	0.03024	20.018	15	15	RUN REMOTE	98.3335	17.856400966644287	538.0	460.0
0.7	20220809 172037	0.03024	21.163	15	15	RUN REMOTE	98.3335	18.218430042266846	538.0	460.0
0.7	20220809 172037	0.02544	21.163	15	15	RUN REMOTE	98.3334	18.475728034973145	538.0	460.0
0.7	20220809 172037	0.02544	20.369	15	15	RUN REMOTE	98.3334	18.728105068206787	538.0	460.0
0.7	20220809 172037	0.02544	20.369	15	15	RUN REMOTE	98.3331	18.971993923187256	538.0	460.0
0.7	20220809 172038	0.02544	19.534	15	15	RUN REMOTE	98.3331	19.179068088531494	538.0	460.0
0.7	20220809 172038	0.02517	19.534	15	15	RUN REMOTE	98.333	19.378292083740234	538.0	460.0
0.7	20220809 172038	0.02517	20.188	15	15	RUN REMOTE	98.333	19.659884929656982	538.0	460.0
0.7	20220809 172038	0.02517	20.188	15	15	RUN REMOTE	98.3329	19.836891889572144	538.0	460.0
0.7	20220809 172039	0.02517	19.003	15	15	RUN REMOTE	98.3329	20.102674961090088	538.0	460.0
0.7	20220809 172039	0.02156	19.003	15	15	RUN REMOTE	98.3329	20.269964933395386	538.0	460.0
0.7	20220809 172039	0.02156	19.421	15	15	RUN REMOTE	98.3329	20.577856063842773	538.0	460.0
0.7	20220809 172039	0.01792	19.421	15	15	RUN REMOTE	98.3329	20.858723878860474	538.0	460.0
0.7	20220809 172040	0.01792	20.725	15	15	RUN REMOTE	98.3329	21.093402862548828	538.0	460.0
0.7	20220809 172040	0.01246	20.725	15	15	RUN REMOTE	98.3329	21.519540071487427	538.0	460.0
0.7	20220809 172040	0.01246	19.555	15	15	RUN REMOTE	98.3329	21.664227962493896	538.0	460.0
0.7	20220809 172041	0.01348	19.555	15	15	RUN REMOTE	98.3327	22.092954874038696	538.0	460.0
0.7	20220809 172041	0.01348	20.246	15	15	RUN REMOTE	98.3327	22.120810985565186	538.0	460.0
0.7	20220809 172041	0.01348	19.363	15	15	RUN REMOTE	98.3327	22.619338989257812	538.0	460.0
0.7	20220809 172041	0.01161	19.363	15	15	RUN REMOTE	98.3327	22.61976408958435	538.0	460.0
0.7	20220809 172041	0.0098	19.363	15	15	RUN REMOTE	98.3327	23.00295901298523	538.0	460.0
0.7	20220809 172042	0.0098	19.251	15	15	RUN REMOTE	98.3327	23.09223699569702	538.0	460.0
0.7	20220809 172042	0.00818	19.251	15	15	RUN REMOTE	98.3327	23.389551877975464	538.0	460.0
0.7	20220809 172042	0.00818	19.669	15	15	RUN REMOTE	98.3327	23.55467987060547	538.0	460.0
0.7	20220809 172042	0.00818	20.497	15	15	RUN REMOTE	98.3327	24.05006194114685	538.0	460.0
0.7	20220809 172043	0.0066	20.497	15	15	RUN REMOTE	98.3327	24.220394134521484	538.0	460.0
0.7	20220809 172043	0.0066	19.322	15	15	RUN REMOTE	98.3327	24.486139059066772	538.0	460.0
0.7	20220809 172043	0.00532	19.322	15	15	RUN REMOTE	98.3327	24.627901077270508	538.0	460.0
0.7	20220809 172043	0.00532	21.696	15	15	RUN REMOTE	98.3327	24.944079875946045	538.0	460.0
0.7	20220809 172044	0.00434	21.696	15	15	RUN REMOTE	98.3327	25.112532138824463	538.0	460.0
0.7	20220809 172044	0.00434	20.238	15	15	RUN REMOTE	98.3327	25.388551950454712	538.0	460.0
0.7	20220809 172044	0.00364	20.238	15	15	RUN REMOTE	98.3327	25.543296098709106	538.0	460.0
0.7	20220809 172044	0.00364	19.311	15	15	RUN REMOTE	98.3327	25.7625789642334	538.0	460.0
0.7	20220809 172045	0.00364	18.94	15	15	RUN REMOTE	98.3327	26.17824101448059	538.0	460.0
0.7	20220809 172045	0.00364	19.616	15	15	RUN REMOTE	98.3327	26.579351902008057	538.0	460.0
0.7	20220809 172045	0.00226	19.616	15	15	RUN REMOTE	98.3327	26.723783016204834	538.0	460.0
0.7	20220809 172045	0.00226	18.38	15	15	RUN REMOTE	98.3327	27.00698709487915	538.0	460.0
0.7	20220809 172046	0.0019	18.38	15	15	RUN REMOTE	98.3327	27.121604919433594	538.0	460.0
0.7	20220809 172046	0.0019	21.546	15	15	RUN REMOTE	98.3327	27.424325942993164	538.0	460.0
0.7	20220809 172046	0.00163	21.546	15	15	RUN REMOTE	98.3327	27.6196928024292	538.0	460.0
0.7	20220809 172046	0.00163	20.631	15	15	RUN REMOTE	98.3327	27.91378903388977	538.0	460.0
0.7	20220809 172047	0.00115	20.631	15	15	RUN REMOTE	98.3327	28.082307815551758	538.0	460.0
0.7	20220809 172047	0.00115	20.716	15	15	RUN REMOTE	98.3327	28.360735177993774	538.0	460.0
0.7	20220809 172047	0.00096	20.716	15	15	RUN REMOTE	98.3327	28.399187088012695	538.0	460.0
0.7	20220809 172047	0.00096	20.716	15	15	RUN REMOTE	98.3326	28.723567008972168	538.0	460.0
0.7	20220809 172047	0.00096	20.376	15	15	RUN REMOTE	98.3326	28.858923196792603	538.0	460.0
0.7	20220809 172048	0.00148	20.376	15	15	RUN REMOTE	98.3326	29.104110956192017	538.0	460.0
0.7	20220809 172048	0.00148	19.94	15	15	RUN REMOTE	98.3326	29.238609075546265	538.0	460.0
0.7	20220809 172048	0.00117	19.94	15	15	RUN REMOTE	98.3326	29.41182589530945	538.0	460.0
0.7	20220809 172048	0.00117	19.205	15	15	RUN REMOTE	98.3326	29.576545000076294	538.0	460.0
0.7	20220809 172048	0.00117	19.439	15	15	RUN REMOTE	98.3326	30.03427219390869	538.0	460.0
0.7	20220809 172049	0.00101	19.439	15	15	RUN REMOTE	98.3326	30.14242911338806	538.0	460.0
0.7	20220809 172049	0.00101	19.393	15	15	RUN REMOTE	98.3326	30.578202962875366	538.0	460.0
0.7	20220809 172049	0.00101	22.098	15	15	RUN REMOTE	98.3326	31.03174591064453	538.0	460.0
0.7	20220809 172050	0.00117	19.155	15	15	RUN REMOTE	98.3326	31.440118074417114	538.0	460.0
0.7	20220809 172050	0.00117	19.437	15	15	RUN REMOTE	98.3326	31.87635111808777	538.0	460.0
0.7	20220809 172050	0.00313	19.437	15	15	RUN REMOTE	98.3325	31.876446962356567	538.0	460.0
0.7	20220809 172051	0.00313	19.736	15	15	RUN REMOTE	98.3325	32.25951600074768	538.0	460.0
0.7	20220809 172051	0.00266	19.736	15	15	RUN REMOTE	98.3325	32.59349989891052	538.0	460.0
0.7	20220809 172051	0.00266	18.99	15	15	RUN REMOTE	98.3325	32.73900508880615	538.0	460.0
0.7	20220809 172051	0.00493	18.99	15	15	RUN REMOTE	98.3323	33.0251259803772	538.0	460.0
0.7	20220809 172052	0.00493	19.592	15	15	RUN REMOTE	98.3323	33.16014289855957	538.0	460.0
0.7	20220809 172052	0.00493	20.847	15	15	RUN REMOTE	98.3323	33.54966998100281	538.0	460.0
0.7	20220809 172052	0.00499	20.847	15	15	RUN REMOTE	98.3323	33.58847188949585	538.0	460.0
0.7	20220809 172052	0.00428	20.847	15	15	RUN REMOTE	98.3323	33.95804810523987	538.0	460.0
0.7	20220809 172052	0.00428	20.679	15	15	RUN REMOTE	98.3323	33.984325885772705	538.0	460.0
0.7	20220809 172053	0.00369	20.679	15	15	RUN REMOTE	98.3323	34.32709002494812	538.0	460.0
0.7	20220809 172053	0.00369	19.298	15	15	RUN REMOTE	98.3323	34.460943937301636	538.0	460.0
0.7	20220809 172053	0.00369	20.133	15	15	RUN REMOTE	98.3323	34.82574200630188	538.0	460.0
0.7	20220809 172053	0.00317	20.133	15	15	RUN REMOTE	98.3323	34.96011304855347	538.0	460.0
0.7	20220809 172054	0.00317	20.008	15	15	RUN REMOTE	98.3323	35.2092719078064	538.0	460.0
0.7	20220809 172054	0.00286	20.008	15	15	RUN REMOTE	98.3323	35.58382606506348	538.0	460.0
0.7	20220809 172054	0.00286	18.606	15	15	RUN REMOTE	98.3323	35.64997577667236	538.0	460.0
0.7	20220809 172054	0.00235	18.606	15	15	RUN REMOTE	98.3323	35.90391206741333	538.0	460.0
0.7	20220809 172054	0.00235	21.674	15	15	RUN REMOTE	98.3323	36.04658389091492	538.0	460.0
0.7	20220809 172055	0.00235	18.514	15	15	RUN REMOTE	98.3323	36.41310000419617	538.0	460.0
0.7	20220809 172055	0.00213	18.514	15	15	RUN REMOTE	98.3323	36.515965938568115	538.0	460.0
0.7	20220809 172055	0.00213	20.171	15	15	RUN REMOTE	98.3323	36.79769515991211	538.0	460.0
0.7	20220809 172055	0.00182	20.171	15	15	RUN REMOTE	98.3323	36.81821012496948	538.0	460.0
0.7	20220809 172056	0.00182	21.316	15	15	RUN REMOTE	98.3323	37.19141507148743	538.0	460.0
0.7	20220809 172056	0.00191	21.316	15	15	RUN REMOTE	98.3322	37.46005296707153	538.0	460.0
0.7	20220809 172056	0.00191	20.769	15	15	RUN REMOTE	98.3322	37.61125993728638	538.0	460.0
0.7	20220809 172056	0.00191	20.201	15	15	RUN REMOTE	98.3322	38.01893591880798	538.0	460.0
0.7	20220809 172057	0.00277	20.201	15	15	RUN REMOTE	98.3322	38.0860230922699	538.0	460.0
0.7	20220809 172057	0.00308	20.201	15	15	RUN REMOTE	98.3321	38.38096213340759	538.0	460.0
0.7	20220809 172057	0.00308	19.744	15	15	RUN REMOTE	98.3321	38.416605949401855	538.0	460.0
0.7	20220809 172057	0.00308	18.873	15	15	RUN REMOTE	98.3321	38.763442039489746	538.0	460.0
0.7	20220809 172057	0.00254	18.873	15	15	RUN REMOTE	98.3321	39.014909982681274	538.0	460.0
0.7	20220809 172058	0.00254	20.646	15	15	RUN REMOTE	98.3321	39.1636848449707	538.0	460.0
0.7	20220809 172058	0.00227	20.646	15	15	RUN REMOTE	98.3321	39.32082796096802	538.0	460.0
0.7	20220809 172058	0.00227	19.176	15	15	RUN REMOTE	98.3321	39.53920102119446	538.0	460.0
0.7	20220809 172058	0.00227	20.344	15	15	RUN REMOTE	98.3321	39.87135910987854	538.0	460.0
0.7	20220809 172058	0.00439	20.344	15	15	RUN REMOTE	98.332	39.97741079330444	538.0	460.0
0.7	20220809 172059	0.00439	20.297	15	15	RUN REMOTE	98.332	40.25450086593628	538.0	460.0
0.7	20220809 172059	0.00427	20.297	15	15	RUN REMOTE	98.332	40.36370301246643	538.0	460.0
0.7	20220809 172059	0.00427	18.773	15	15	RUN REMOTE	98.332	40.668099880218506	538.0	460.0
0.7	20220809 172100	0.00427	19.464	15	15	RUN REMOTE	98.332	41.08105206489563	538.0	460.0
0.7	20220809 172100	0.00345	19.464	15	15	RUN REMOTE	98.332	41.34833598136902	538.0	460.0
0.7	20220809 172100	0.00345	20.264	15	15	RUN REMOTE	98.332	41.503212213516235	538.0	460.0
0.7	20220809 172100	0.00345	18.577	15	15	RUN REMOTE	98.332	41.93797421455383	538.0	460.0
0.7	20220809 172100	0.00363	18.577	15	15	RUN REMOTE	98.3319	42.009077072143555	538.0	460.0
0.7	20220809 172101	0.00374	18.577	15	15	RUN REMOTE	98.3319	42.32181787490845	538.0	460.0
0.7	20220809 172101	0.00374	19.121	15	15	RUN REMOTE	98.3319	42.32993221282959	538.0	460.0
0.7	20220809 172101	0.00374	19.121	15	15	RUN REMOTE	98.3318	42.692140102386475	538.0	460.0
0.7	20220809 172101	0.00374	21.415	15	15	RUN REMOTE	98.3318	42.71520495414734	538.0	460.0
0.7	20220809 172102	0.00374	21.155	15	15	RUN REMOTE	98.3318	43.11665487289429	538.0	460.0
0.7	20220809 172102	0.00323	21.155	15	15	RUN REMOTE	98.3318	43.35291504859924	538.0	460.0
0.7	20220809 172102	0.00323	20.154	15	15	RUN REMOTE	98.3318	43.50437307357788	538.0	460.0
0.7	20220809 172102	0.00323	20.202	15	15	RUN REMOTE	98.3318	43.894094944000244	538.0	460.0
0.7	20220809 172102	0.00277	20.202	15	15	RUN REMOTE	98.3318	44.03028702735901	538.0	460.0
0.7	20220809 172103	0.00277	19.817	15	15	RUN REMOTE	98.3318	44.32768702507019	538.0	460.0
0.7	20220809 172103	0.00235	19.817	15	15	RUN REMOTE	98.3318	44.406468868255615	538.0	460.0
0.7	20220809 172103	0.00235	18.374	15	15	RUN REMOTE	98.3318	44.71267008781433	538.0	460.0
0.7	20220809 172104	0.00195	18.374	15	15	RUN REMOTE	98.3318	45.217576026916504	538.0	460.0
0.7	20220809 172104	0.00195	18.999	15	15	RUN REMOTE	98.3318	45.30455684661865	538.0	460.0
0.7	20220809 172104	0.00173	18.999	15	15	RUN REMOTE	98.3318	45.554149866104126	538.0	460.0
0.7	20220809 172104	0.00173	20.05	15	15	RUN REMOTE	98.3318	45.69173216819763	538.0	460.0
0.7	20220809 172104	0.00148	20.05	15	15	RUN REMOTE	98.3318	45.84569716453552	538.0	460.0
0.7	20220809 172105	0.00148	19.899	15	15	RUN REMOTE	98.3318	46.14115595817566	538.0	460.0
0.7	20220809 172105	0.00148	19.794	15	15	RUN REMOTE	98.3318	46.53099703788757	538.0	460.0
0.7	20220809 172105	0.00127	19.794	15	15	RUN REMOTE	98.3318	46.546364068984985	538.0	460.0
0.7	20220809 172105	-2e-05	19.794	15	15	RUN REMOTE	98.3319	46.8800048828125	538.0	460.0
0.7	20220809 172105	-2e-05	19.568	15	15	RUN REMOTE	98.3319	46.95579290390015	538.0	460.0
0.7	20220809 172106	-2e-05	19.775	15	15	RUN REMOTE	98.3319	47.33287310600281	538.0	460.0
0.7	20220809 172106	0.0	19.775	15	15	RUN REMOTE	98.3319	47.53973317146301	538.0	460.0
0.7	20220809 172106	0.0	20.928	15	15	RUN REMOTE	98.3319	47.719085931777954	538.0	460.0
0.7	20220809 172106	-2e-05	20.928	15	15	RUN REMOTE	98.3319	47.890324115753174	538.0	460.0
0.7	20220809 172107	-2e-05	19.849	15	15	RUN REMOTE	98.3319	48.065372943878174	538.0	460.0
0.7	20220809 172107	0.00082	19.849	15	15	RUN REMOTE	98.3318	48.536556005477905	538.0	460.0
0.7	20220809 172107	0.00082	19.88	15	15	RUN REMOTE	98.3318	48.551265001297	538.0	460.0
0.7	20220809 172107	0.00077	19.88	15	15	RUN REMOTE	98.3318	48.86796712875366	538.0	460.0
0.7	20220809 172107	0.00077	19.795	15	15	RUN REMOTE	98.3318	48.934077978134155	538.0	460.0
0.7	20220809 172108	0.00077	21.605	15	15	RUN REMOTE	98.3318	49.29959511756897	538.0	460.0
0.7	20220809 172108	0.00073	21.605	15	15	RUN REMOTE	98.3318	49.47409009933472	538.0	460.0
0.7	20220809 172108	0.00073	18.906	15	15	RUN REMOTE	98.3318	49.6982319355011	538.0	460.0
0.7	20220809 172109	0.00073	19.909	15	15	RUN REMOTE	98.3318	50.10093808174133	538.0	460.0
0.7	20220809 172109	0.00051	19.909	15	15	RUN REMOTE	98.3318	50.137686014175415	538.0	460.0
0.7	20220809 172109	0.00057	19.909	15	15	RUN REMOTE	98.3318	50.4655339717865	538.0	460.0
0.7	20220809 172109	0.00057	19.838	15	15	RUN REMOTE	98.3318	50.490517139434814	538.0	460.0
0.7	20220809 172109	0.00045	19.838	15	15	RUN REMOTE	98.3318	50.853047132492065	538.0	460.0
