P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.1	20220809 175704	0.0	21.499	15	15	RUN REMOTE	98.1321	0.9608819484710693	538.0	460.0
0.1	20220809 175705	0.0	21.674	15	15	RUN REMOTE	98.1321	1.4615120887756348	538.0	460.0
0.2	20220809 175705	0.28785	21.674	15	15	RUN REMOTE	98.1284	1.5061850547790527	538.0	460.0
0.2	20220809 175705	0.28785	20.355	15	15	RUN REMOTE	98.1284	1.977104902267456	538.0	460.0
0.3	20220809 175705	0.30001	20.355	15	15	RUN REMOTE	98.1247	2.084203004837036	538.0	460.0
0.3	20220809 175706	0.30001	21.983	15	15	RUN REMOTE	98.1247	2.4692440032958984	538.0	460.0
0.3	20220809 175706	0.24557	21.983	15	15	RUN REMOTE	98.1222	2.902400016784668	538.0	460.0
0.3	20220809 175706	0.24557	20.656	15	15	RUN REMOTE	98.1222	3.0710458755493164	538.0	460.0
0.3	20220809 175707	0.23514	20.656	15	15	RUN REMOTE	98.1189	3.545477867126465	538.0	460.0
0.3	20220809 175707	0.23514	21.315	15	15	RUN REMOTE	98.1189	3.6500821113586426	538.0	460.0
0.7	20220809 175707	0.20792	21.315	15	15	RUN REMOTE	98.1167	3.954508066177368	538.0	460.0
0.7	20220809 175707	0.20792	21.406	15	15	RUN REMOTE	98.1167	4.111047029495239	538.0	460.0
0.7	20220809 175707	0.20792	21.406	15	15	RUN REMOTE	98.1154	4.304720878601074	538.0	460.0
0.7	20220809 175708	0.20792	21.018	15	15	RUN REMOTE	98.1154	4.519870042800903	538.0	460.0
0.7	20220809 175708	0.16564	21.018	15	15	RUN REMOTE	98.1144	4.722203969955444	538.0	460.0
0.7	20220809 175708	0.16564	21.209	15	15	RUN REMOTE	98.1144	4.972105026245117	538.0	460.0
0.7	20220809 175708	0.16564	21.209	15	15	RUN REMOTE	98.1133	5.179930925369263	538.0	460.0
0.7	20220809 175709	0.16564	22.01	15	15	RUN REMOTE	98.1133	5.438563108444214	538.0	460.0
0.7	20220809 175709	0.15	22.01	15	15	RUN REMOTE	98.1122	5.602658033370972	538.0	460.0
0.7	20220809 175709	0.15	20.783	15	15	RUN REMOTE	98.1122	5.856955051422119	538.0	460.0
0.7	20220809 175709	0.15638	20.783	15	15	RUN REMOTE	98.1112	6.1051788330078125	538.0	460.0
0.7	20220809 175709	0.15638	20.7	15	15	RUN REMOTE	98.1112	6.285810947418213	538.0	460.0
0.7	20220809 175710	0.13321	20.7	15	15	RUN REMOTE	98.11	6.91100001335144	538.0	460.0
0.7	20220809 175710	0.13321	20.401	15	15	RUN REMOTE	98.11	6.926307201385498	538.0	460.0
0.7	20220809 175711	0.10541	20.401	15	15	RUN REMOTE	98.1087	7.538731098175049	538.0	460.0
0.7	20220809 175711	0.10541	21.369	15	15	RUN REMOTE	98.1087	7.5789361000061035	538.0	460.0
0.7	20220809 175711	0.08224	21.369	15	15	RUN REMOTE	98.1078	8.183305978775024	538.0	460.0
