P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.1	20220810 161452	0.0	29.447	15	15	RUN REMOTE	97.1985	1.0077266693115234	538.0	460.0
0.2	20220810 161452	0.29943	29.447	15	15	RUN REMOTE	97.195	1.3518707752227783	538.0	460.0
0.2	20220810 161452	0.29943	29.743	15	15	RUN REMOTE	97.195	1.4684038162231445	538.0	460.0
0.2	20220810 161452	0.29943	29.743	15	15	RUN REMOTE	97.1918	1.8976948261260986	538.0	460.0
0.2	20220810 161453	0.29943	30.784	15	15	RUN REMOTE	97.1918	2.00870680809021	538.0	460.0
0.2	20220810 161453	0.29943	29.563	15	15	RUN REMOTE	97.1918	2.55591082572937	538.0	460.0
0.2	20220810 161453	0.26526	29.563	15	15	RUN REMOTE	97.1894	2.6682639122009277	538.0	460.0
0.2	20220810 161454	0.26526	29.854	15	15	RUN REMOTE	97.1894	3.0660088062286377	538.0	460.0
0.2	20220810 161454	0.23457	29.854	15	15	RUN REMOTE	97.1863	3.34891676902771	538.0	460.0
0.2	20220810 161454	0.23457	29.262	15	15	RUN REMOTE	97.1863	3.6337947845458984	538.0	460.0
0.7	20220810 161454	0.23457	29.262	15	15	RUN REMOTE	97.1835	3.8641698360443115	538.0	460.0
0.7	20220810 161455	0.23457	31.054	15	15	RUN REMOTE	97.1835	4.228617906570435	538.0	460.0
0.7	20220810 161455	0.20213	31.054	15	15	RUN REMOTE	97.1819	4.552105903625488	538.0	460.0
0.7	20220810 161455	0.20213	30.188	15	15	RUN REMOTE	97.1819	4.673869609832764	538.0	460.0
0.7	20220810 161456	0.20213	29.479	15	15	RUN REMOTE	97.1819	5.138646602630615	538.0	460.0
0.7	20220810 161456	0.1836	29.479	15	15	RUN REMOTE	97.1798	5.144416570663452	538.0	460.0
0.7	20220810 161456	0.1836	31.235	15	15	RUN REMOTE	97.1798	5.6530938148498535	538.0	460.0
0.7	20220810 161456	0.12394	31.235	15	15	RUN REMOTE	97.1786	5.850632905960083	538.0	460.0
0.7	20220810 161457	0.12394	30.33	15	15	RUN REMOTE	97.1786	6.251563549041748	538.0	460.0
0.7	20220810 161457	0.08108	30.33	15	15	RUN REMOTE	97.1775	6.406362771987915	538.0	460.0
0.7	20220810 161457	0.08108	30.241	15	15	RUN REMOTE	97.1775	6.701549768447876	538.0	460.0
0.7	20220810 161457	0.08398	30.241	15	15	RUN REMOTE	97.1767	6.841800928115845	538.0	460.0
0.7	20220810 161458	0.08398	29.479	15	15	RUN REMOTE	97.1767	7.153763771057129	538.0	460.0
0.7	20220810 161458	0.07239	29.479	15	15	RUN REMOTE	97.1762	7.154218673706055	538.0	460.0
