P_act	clock	flow	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
-0.1	20220810 151332	0.0	14.906	15	15	RUN REMOTE	97.3886	0.9306769371032715	538.0	460.0
-0.1	20220810 151333	0.40658	14.906	15	15	RUN REMOTE	97.3836	1.3287177085876465	538.0	460.0
-0.1	20220810 151333	0.40658	18.064	15	15	RUN REMOTE	97.3836	1.3890869617462158	538.0	460.0
-0.1	20220810 151333	0.40658	15.183	15	15	RUN REMOTE	97.3836	1.9366669654846191	538.0	460.0
0.1	20220810 151334	0.40601	15.183	15	15	RUN REMOTE	97.3798	2.022747755050659	538.0	460.0
0.1	20220810 151334	0.40601	16.469	15	15	RUN REMOTE	97.3798	2.419830083847046	538.0	460.0
0.1	20220810 151334	0.35214	16.469	15	15	RUN REMOTE	97.3757	2.587893009185791	538.0	460.0
0.1	20220810 151334	0.35214	16.935	15	15	RUN REMOTE	97.3757	2.963657855987549	538.0	460.0
0.1	20220810 151335	0.33708	16.935	15	15	RUN REMOTE	97.3725	3.263079881668091	538.0	460.0
0.1	20220810 151335	0.33708	17.331	15	15	RUN REMOTE	97.3725	3.4529647827148438	538.0	460.0
0.3	20220810 151335	0.29191	17.331	15	15	RUN REMOTE	97.369	3.865623712539673	538.0	460.0
0.3	20220810 151335	0.29191	16.693	15	15	RUN REMOTE	97.369	3.894791841506958	538.0	460.0
0.3	20220810 151336	0.29191	17.2	15	15	RUN REMOTE	97.369	4.347501754760742	538.0	460.0
0.2	20220810 151336	0.27221	17.2	15	15	RUN REMOTE	97.3663	4.398364782333374	538.0	460.0
0.2	20220810 151336	0.27221	17.351	15	15	RUN REMOTE	97.3663	4.849820852279663	538.0	460.0
0.2	20220810 151336	0.25657	17.351	15	15	RUN REMOTE	97.3639	4.985852956771851	538.0	460.0
0.2	20220810 151337	0.25657	16.582	15	15	RUN REMOTE	97.3639	5.37057089805603	538.0	460.0
0.7	20220810 151337	0.23109	16.582	15	15	RUN REMOTE	97.3619	5.63405704498291	538.0	460.0
0.7	20220810 151337	0.23109	16.634	15	15	RUN REMOTE	97.3619	5.88061785697937	538.0	460.0
0.7	20220810 151338	0.17607	16.634	15	15	RUN REMOTE	97.3599	6.349133729934692	538.0	460.0
0.7	20220810 151338	0.17607	16.243	15	15	RUN REMOTE	97.3599	6.382647752761841	538.0	460.0
0.7	20220810 151338	0.1668	16.243	15	15	RUN REMOTE	97.3579	6.802265882492065	538.0	460.0
0.7	20220810 151338	0.1668	15.905	15	15	RUN REMOTE	97.3579	6.853736877441406	538.0	460.0
0.7	20220810 151339	0.13842	15.905	15	15	RUN REMOTE	97.3568	7.212124824523926	538.0	460.0
0.7	20220810 151339	0.13842	14.399	15	15	RUN REMOTE	97.3568	7.292243957519531	538.0	460.0
0.7	20220810 151339	0.14305	14.399	15	15	RUN REMOTE	97.3558	7.673696994781494	538.0	460.0
