P_act	clock	flow	inj	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.2	20220817 154623	0.0	False	20.021	15	15	STOP REMOTE	97.3577	0.9225208759307861	538.0	460.0
0.2	20220817 154624	0.0	False	22.221	15	15	STOP REMOTE	97.3577	1.447627067565918	538.0	460.0
0.2	20220817 154624	0.0	False	19.083	15	15	STOP REMOTE	97.3577	2.043984889984131	538.0	460.0
0.2	20220817 154625	0.0	False	18.492	15	15	STOP REMOTE	97.3577	2.6351118087768555	538.0	460.0
0.2	20220817 154626	0.0	False	20.082	15	15	STOP REMOTE	97.3577	3.176015853881836	538.0	460.0
0.1	20220817 154626	0.0	False	20.082	15	15	STOP REMOTE	97.3577	3.5862178802490234	538.0	460.0
0.1	20220817 154626	0.0	False	21.105	15	15	STOP REMOTE	97.3577	3.6557960510253906	538.0	460.0
0.1	20220817 154627	0.0	False	20.492	15	15	STOP REMOTE	97.3577	4.251842737197876	538.0	460.0
0.1	20220817 154627	0.0	False	17.752	15	15	STOP REMOTE	97.3577	4.774355888366699	538.0	460.0
0.1	20220817 154628	0.0	False	19.919	15	15	STOP REMOTE	97.3577	5.2693870067596436	538.0	460.0
0.1	20220817 154628	0.0	False	22.093	15	15	STOP REMOTE	97.3577	5.704284906387329	538.0	460.0
0.1	20220817 154629	0.0	False	19.12	15	15	STOP REMOTE	97.3577	6.159520864486694	538.0	460.0
0.1	20220817 154629	0.0	False	21.245	15	15	STOP REMOTE	97.3577	6.645489931106567	538.0	460.0
0.1	20220817 154630	0.0	False	20.035	15	15	STOP REMOTE	97.3577	7.168224096298218	538.0	460.0
0.2	20220817 154630	0.0	False	20.035	15	15	STOP REMOTE	97.3577	7.219902038574219	538.0	460.0
0.2	20220817 154630	0.0	False	20.346	15	15	STOP REMOTE	97.3577	7.694318771362305	538.0	460.0
0.1	20220817 154631	0.0	False	20.346	15	15	STOP REMOTE	97.3577	8.063040971755981	538.0	460.0
0.1	20220817 154631	0.0	False	19.985	15	15	STOP REMOTE	97.3577	8.10129690170288	538.0	460.0
0.1	20220817 154631	0.0	False	21.956	15	15	STOP REMOTE	97.3577	8.593134880065918	538.0	460.0
0.1	20220817 154632	0.0	False	19.718	15	15	STOP REMOTE	97.3577	9.228481769561768	538.0	460.0
0.1	20220817 154632	0.0	False	20.689	15	15	STOP REMOTE	97.3577	9.83034086227417	538.0	460.0
0.1	20220817 154633	0.0	False	21.429	15	15	STOP REMOTE	97.3577	10.448661088943481	538.0	460.0
0.1	20220817 154633	0.0	False	19.983	15	15	STOP REMOTE	97.3577	11.022617816925049	538.0	460.0
0.2	20220817 154634	0.0	False	19.983	15	15	STOP REMOTE	97.3577	11.484164953231812	538.0	460.0
0.2	20220817 154634	0.0	False	20.608	15	15	STOP REMOTE	97.3577	11.68281888961792	538.0	460.0
0.2	20220817 154635	0.0	False	20.194	15	15	STOP REMOTE	97.3577	12.1855309009552	538.0	460.0
0.2	20220817 154635	0.0	False	19.983	15	15	STOP REMOTE	97.3577	12.747225761413574	538.0	460.0
0.2	20220817 154636	0.0	False	21.825	15	15	STOP REMOTE	97.3577	13.314018726348877	538.0	460.0
0.2	20220817 154636	0.0	False	22.786	15	15	STOP REMOTE	97.3577	13.998378038406372	538.0	460.0
0.1	20220817 154637	0.0	False	22.786	15	15	STOP REMOTE	97.3577	14.280249834060669	538.0	460.0
0.1	20220817 154637	0.0	False	18.617	15	15	STOP REMOTE	97.3577	14.595402002334595	538.0	460.0
