P_act	clock	flow	inj	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.0	20220817 142903	0.0	False	27.671	15	15	STOP REMOTE	97.8531	1.0502681732177734	538.0	460.0
0.0	20220817 142903	0.0	False	25.502	15	15	STOP REMOTE	97.8531	1.5592422485351562	538.0	460.0
0.1	20220817 142904	0.0	False	25.502	15	15	STOP REMOTE	97.8531	1.8933789730072021	538.0	460.0
0.1	20220817 142904	0.0	False	27.325	15	15	STOP REMOTE	97.8531	1.967278003692627	538.0	460.0
0.1	20220817 142904	0.0	False	26.204	15	15	STOP REMOTE	97.8531	2.350788116455078	538.0	460.0
0.1	20220817 142904	0.0	False	26.362	15	15	STOP REMOTE	97.8531	2.6910629272460938	538.0	460.0
0.1	20220817 142905	0.0	False	26.475	15	15	STOP REMOTE	97.8531	3.142202138900757	538.0	460.0
0.1	20220817 142905	0.0	False	27.143	15	15	STOP REMOTE	97.8531	3.583646059036255	538.0	460.0
0.0	20220817 142906	0.0	False	27.143	15	15	STOP REMOTE	97.8531	3.900935173034668	538.0	460.0
0.0	20220817 142906	0.0	False	24.557	15	15	STOP REMOTE	97.8531	4.082158088684082	538.0	460.0
0.1	20220817 142906	0.0	False	24.557	15	15	STOP REMOTE	97.8531	4.247870206832886	538.0	460.0
0.1	20220817 142906	0.0	False	24.49	15	15	STOP REMOTE	97.8531	4.458623886108398	538.0	460.0
0.0	20220817 142906	0.0	False	24.49	15	15	STOP REMOTE	97.8531	4.552738904953003	538.0	460.0
0.0	20220817 142907	0.0	False	30.29	15	15	STOP REMOTE	97.8531	4.851545095443726	538.0	460.0
0.1	20220817 142907	0.0	False	30.29	15	15	STOP REMOTE	97.8531	4.951035022735596	538.0	460.0
0.1	20220817 142907	0.0	False	26.902	15	15	STOP REMOTE	97.8531	5.2515950202941895	538.0	460.0
0.0	20220817 142907	0.0	False	26.902	15	15	STOP REMOTE	97.8531	5.310498952865601	538.0	460.0
0.0	20220817 142907	0.0	False	28.055	15	15	STOP REMOTE	97.8531	5.684628248214722	538.0	460.0
0.1	20220817 142908	0.0	False	28.055	15	15	STOP REMOTE	97.8531	5.970136880874634	538.0	460.0
0.1	20220817 142908	0.0	False	23.536	15	15	STOP REMOTE	97.8531	6.121578931808472	538.0	460.0
0.1	20220817 142908	0.0	False	27.556	15	15	STOP REMOTE	97.8531	6.524048089981079	538.0	460.0
0.1	20220817 142909	0.0	False	24.986	15	15	STOP REMOTE	97.8531	6.8912742137908936	538.0	460.0
0.0	20220817 142909	0.0	False	24.986	15	15	STOP REMOTE	97.8531	7.247215986251831	538.0	460.0
0.0	20220817 142909	0.0	False	26.342	15	15	STOP REMOTE	97.8531	7.2630088329315186	538.0	460.0
0.0	20220817 142909	0.0	False	25.993	15	15	STOP REMOTE	97.8531	7.668011903762817	538.0	460.0
-0.1	20220817 142910	0.0	False	25.993	15	15	STOP REMOTE	97.8531	8.025745153427124	538.0	460.0
-0.1	20220817 142910	0.0	False	25.414	15	15	STOP REMOTE	97.8531	8.044880151748657	538.0	460.0
-0.0	20220817 142910	0.0	False	25.414	15	15	STOP REMOTE	97.8531	8.447031021118164	538.0	460.0
-0.0	20220817 142910	0.0	False	26.727	15	15	STOP REMOTE	97.8531	8.469540119171143	538.0	460.0
0.0	20220817 142911	0.0	False	24.934	15	15	STOP REMOTE	97.8531	8.884488105773926	538.0	460.0
0.1	20220817 142911	0.0	False	24.934	15	15	STOP REMOTE	97.8531	9.223666191101074	538.0	460.0
0.1	20220817 142911	0.0	False	24.139	15	15	STOP REMOTE	97.8531	9.337464094161987	538.0	460.0
0.0	20220817 142911	0.0	False	24.139	15	15	STOP REMOTE	97.8531	9.643960952758789	538.0	460.0
0.0	20220817 142912	0.0	False	26.679	15	15	STOP REMOTE	97.8531	9.937828063964844	538.0	460.0
-0.0	20220817 142912	0.0	False	26.467	15	15	STOP REMOTE	97.8531	10.40775203704834	538.0	460.0
0.1	20220817 142912	0.0	False	26.467	15	15	STOP REMOTE	97.8531	10.540449857711792	538.0	460.0
0.1	20220817 142913	0.0	False	25.694	15	15	STOP REMOTE	97.8531	10.834323167800903	538.0	460.0
0.1	20220817 142913	0.0	False	27.373	15	15	STOP REMOTE	97.8531	11.2536301612854	538.0	460.0
0.0	20220817 142913	0.0	False	27.373	15	15	STOP REMOTE	97.8531	11.2675199508667	538.0	460.0
0.1	20220817 142913	0.0	False	27.373	15	15	STOP REMOTE	97.8531	11.62430715560913	538.0	460.0
0.1	20220817 142914	0.0	False	27.501	15	15	STOP REMOTE	97.8531	11.762240886688232	538.0	460.0
0.1	20220817 142914	0.0	False	27.778	15	15	STOP REMOTE	97.8531	12.176690101623535	538.0	460.0
0.0	20220817 142914	0.0	False	27.778	15	15	STOP REMOTE	97.8531	12.337087869644165	538.0	460.0
0.0	20220817 142914	0.0	False	29.924	15	15	STOP REMOTE	97.8531	12.554314851760864	538.0	460.0
0.1	20220817 142915	0.0	False	29.924	15	15	STOP REMOTE	97.8531	12.767642974853516	538.0	460.0
0.1	20220817 142915	0.0	False	23.702	15	15	STOP REMOTE	97.8531	12.960964918136597	538.0	460.0
0.0	20220817 142915	0.0	False	23.702	15	15	STOP REMOTE	97.8531	13.175236940383911	538.0	460.0
0.0	20220817 142915	0.0	False	26.388	15	15	STOP REMOTE	97.8531	13.34416389465332	538.0	460.0
0.0	20220817 142916	0.0	False	25.379	15	15	STOP REMOTE	97.8531	13.744975090026855	538.0	460.0
0.1	20220817 142916	0.0	False	25.379	15	15	STOP REMOTE	97.8531	13.95492696762085	538.0	460.0
0.1	20220817 142916	0.0	False	27.488	15	15	STOP REMOTE	97.8531	14.151147842407227	538.0	460.0
0.0	20220817 142916	0.0	False	27.488	15	15	STOP REMOTE	97.8531	14.380960941314697	538.0	460.0
0.0	20220817 142916	0.0	False	27.27	15	15	STOP REMOTE	97.8531	14.530735969543457	538.0	460.0
0.0	20220817 142917	0.0	False	24.732	15	15	STOP REMOTE	97.8531	15.025736093521118	538.0	460.0
0.1	20220817 142917	0.0	False	24.732	15	15	STOP REMOTE	97.8531	15.248162031173706	538.0	460.0
0.1	20220817 142917	0.0	False	26.291	15	15	STOP REMOTE	97.8531	15.447782039642334	538.0	460.0
0.1	20220817 142918	0.0	False	27.299	15	15	STOP REMOTE	97.8531	15.90539002418518	538.0	460.0
0.0	20220817 142918	0.0	False	27.299	15	15	STOP REMOTE	97.8531	15.97091293334961	538.0	460.0
0.0	20220817 142918	0.0	False	29.232	15	15	STOP REMOTE	97.8531	16.342933893203735	538.0	460.0
0.1	20220817 142918	0.0	False	29.232	15	15	STOP REMOTE	97.8531	16.7204110622406	538.0	460.0
0.1	20220817 142919	0.0	False	27.223	15	15	STOP REMOTE	97.8531	16.825777053833008	538.0	460.0
0.1	20220817 142919	0.0	False	26.205	15	15	STOP REMOTE	97.8531	17.222629070281982	538.0	460.0
0.0	20220817 142919	0.0	False	26.205	15	15	STOP REMOTE	97.8531	17.524412155151367	538.0	460.0
0.0	20220817 142919	0.0	False	25.334	15	15	STOP REMOTE	97.8531	17.65104389190674	538.0	460.0
0.0	20220817 142920	0.0	False	25.122	15	15	STOP REMOTE	97.8531	18.0883469581604	538.0	460.0
0.0	20220817 142920	0.0	False	26.851	15	15	STOP REMOTE	97.8531	18.50855588912964	538.0	460.0
-0.0	20220817 142921	0.0	False	27.009	15	15	STOP REMOTE	97.8531	18.944244146347046	538.0	460.0
-0.0	20220817 142921	0.0	False	28.357	15	15	STOP REMOTE	97.8531	19.315205097198486	538.0	460.0
0.1	20220817 142921	0.0	False	28.357	15	15	STOP REMOTE	97.8531	19.491127014160156	538.0	460.0
0.1	20220817 142921	0.0	False	27.308	15	15	STOP REMOTE	97.8531	19.718169927597046	538.0	460.0
0.0	20220817 142922	0.0	False	27.308	15	15	STOP REMOTE	97.8531	19.94062089920044	538.0	460.0
0.0	20220817 142922	0.0	False	26.843	15	15	STOP REMOTE	97.8531	20.215635061264038	538.0	460.0
0.1	20220817 142922	0.0	False	26.843	15	15	STOP REMOTE	97.8531	20.327474117279053	538.0	460.0
0.1	20220817 142922	0.0	False	27.828	15	15	STOP REMOTE	97.8531	20.607362985610962	538.0	460.0
0.0	20220817 142922	0.0	False	27.828	15	15	STOP REMOTE	97.8531	20.6906578540802	538.0	460.0
0.0	20220817 142923	0.0	False	26.077	15	15	STOP REMOTE	97.8531	20.98761010169983	538.0	460.0
-0.0	20220817 142923	0.0	False	25.519	15	15	STOP REMOTE	97.8531	21.39232087135315	538.0	460.0
0.0	20220817 142924	0.0	False	27.756	15	15	STOP REMOTE	97.8531	21.824908018112183	538.0	460.0
0.0	20220817 142924	0.0	False	27.252	15	15	STOP REMOTE	97.8531	22.277612924575806	538.0	460.0
0.0	20220817 142925	0.0	False	26.653	15	15	STOP REMOTE	97.8531	22.76026201248169	538.0	460.0
0.0	20220817 142925	0.0	False	28.338	15	15	STOP REMOTE	97.8531	23.187777996063232	538.0	460.0
0.1	20220817 142925	0.0	False	28.338	15	15	STOP REMOTE	97.8531	23.32128095626831	538.0	460.0
0.1	20220817 142925	0.0	False	30.255	15	15	STOP REMOTE	97.8531	23.595160007476807	538.0	460.0
0.0	20220817 142926	0.0	False	30.255	15	15	STOP REMOTE	97.8531	24.010655879974365	538.0	460.0
0.0	20220817 142926	0.0	False	25.475	15	15	STOP REMOTE	97.8531	24.022122859954834	538.0	460.0
0.1	20220817 142926	0.0	False	25.475	15	15	STOP REMOTE	97.8531	24.41101312637329	538.0	460.0
0.1	20220817 142926	0.0	False	26.728	15	15	STOP REMOTE	97.8531	24.420620918273926	538.0	460.0
0.1	20220817 142927	0.0	False	27.246	15	15	STOP REMOTE	97.8531	24.85032892227173	538.0	460.0
0.0	20220817 142927	0.0	False	28.544	15	15	STOP REMOTE	97.8531	25.36222815513611	538.0	460.0
0.1	20220817 142928	0.0	False	28.544	15	15	STOP REMOTE	97.8531	25.73204803466797	538.0	460.0
0.1	20220817 142928	0.0	False	28.166	15	15	STOP REMOTE	97.8531	25.812984943389893	538.0	460.0
0.0	20220817 142928	0.0	False	28.166	15	15	STOP REMOTE	97.8531	26.111171007156372	538.0	460.0
0.0	20220817 142928	0.0	False	28.03	15	15	STOP REMOTE	97.8531	26.25055718421936	538.0	460.0
