P_act	clock	flow	inj	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.1	20220818 134542	0.0	False	12.034	15	15	STOP REMOTE	89.8142	1.0185730457305908	538.0	460.0
0.2	20220818 134542	0.0	False	12.034	15	15	STOP REMOTE	89.8142	1.1621439456939697	538.0	460.0
0.2	20220818 134543	0.0	False	12.57	15	15	STOP REMOTE	89.8142	1.4690959453582764	538.0	460.0
0.1	20220818 134543	0.0	False	12.57	15	15	STOP REMOTE	89.8142	1.7705168724060059	538.0	460.0
0.1	20220818 134543	0.0	False	11.413	15	15	STOP REMOTE	89.8142	1.944638967514038	538.0	460.0
0.1	20220818 134544	0.0	False	12.282	15	15	STOP REMOTE	89.8142	2.37223482131958	538.0	460.0
0.2	20220818 134544	0.0	False	12.282	15	15	STOP REMOTE	89.8142	2.3903489112854004	538.0	460.0
0.2	20220818 134544	0.0	False	13.494	15	15	STOP REMOTE	89.8142	2.8482680320739746	538.0	460.0
0.2	20220818 134545	0.0	False	16.105	15	15	STOP REMOTE	89.8142	3.452380895614624	538.0	460.0
0.1	20220818 134545	0.0	False	16.105	15	15	STOP REMOTE	89.8142	3.654974937438965	538.0	460.0
0.1	20220818 134545	0.0	False	11.398	15	15	STOP REMOTE	89.8142	3.9679479598999023	538.0	460.0
0.1	20220818 134546	0.0	False	11.491	15	15	STOP REMOTE	89.8142	4.508418798446655	538.0	460.0
0.1	20220818 134546	0.0	False	9.794	15	15	STOP REMOTE	89.8142	5.094451904296875	538.0	460.0
0.1	20220818 134547	0.0	False	11.885	15	15	STOP REMOTE	89.8142	5.675647974014282	538.0	460.0
0.0	20220818 134547	0.0	False	11.885	15	15	STOP REMOTE	89.8142	5.801713943481445	538.0	460.0
0.0	20220818 134547	0.0	False	10.004	15	15	STOP REMOTE	89.8142	6.191289663314819	538.0	460.0
0.1	20220818 134547	0.0	False	10.004	15	15	STOP REMOTE	89.8142	6.306182861328125	538.0	460.0
0.1	20220818 134548	0.0	False	12.657	15	15	STOP REMOTE	89.8142	6.634416818618774	538.0	460.0
0.1	20220818 134548	0.0	False	10.929	15	15	STOP REMOTE	89.8142	7.032035827636719	538.0	460.0
0.1	20220818 134549	0.0	False	13.437	15	15	STOP REMOTE	89.8142	7.432891845703125	538.0	460.0
0.1	20220818 134549	0.0	False	14.139	15	15	STOP REMOTE	89.8142	7.897434711456299	538.0	460.0
0.1	20220818 134550	0.0	False	8.332	15	15	STOP REMOTE	89.8142	8.486944913864136	538.0	460.0
0.1	20220818 134550	0.0	False	11.823	15	15	STOP REMOTE	89.8142	9.150688886642456	538.0	460.0
0.1	20220818 134551	0.0	False	13.319	15	15	STOP REMOTE	89.8142	9.644729852676392	538.0	460.0
0.2	20220818 134551	0.0	False	13.319	15	15	STOP REMOTE	89.8142	9.683315992355347	538.0	460.0
0.2	20220818 134551	0.0	False	11.854	15	15	STOP REMOTE	89.8142	10.122873783111572	538.0	460.0
0.1	20220818 134551	0.0	False	11.854	15	15	STOP REMOTE	89.8142	10.189954042434692	538.0	460.0
0.1	20220818 134552	0.0	False	12.935	15	15	STOP REMOTE	89.8142	10.746004819869995	538.0	460.0
0.1	20220818 134553	0.0	False	11.944	15	15	STOP REMOTE	89.8142	11.358077764511108	538.0	460.0
0.1	20220818 134553	0.0	False	12.276	15	15	STOP REMOTE	89.8142	11.908699750900269	538.0	460.0
0.1	20220818 134554	0.0	False	11.218	15	15	STOP REMOTE	89.8142	12.385907888412476	538.0	460.0
0.1	20220818 134554	0.0	False	12.413	15	15	STOP REMOTE	89.8142	12.966693878173828	538.0	460.0
0.1	20220818 134555	0.0	False	12.219	15	15	STOP REMOTE	89.8142	13.561936855316162	538.0	460.0
0.1	20220818 134555	0.0	False	12.865	15	15	STOP REMOTE	89.8142	14.26233983039856	538.0	460.0
0.2	20220818 134556	0.0	False	12.865	15	15	STOP REMOTE	89.8142	14.356846809387207	538.0	460.0
0.2	20220818 134556	0.0	False	11.306	15	15	STOP REMOTE	89.8142	14.805861711502075	538.0	460.0
0.1	20220818 134556	0.0	False	11.306	15	15	STOP REMOTE	89.8142	14.925764799118042	538.0	460.0
0.1	20220818 134556	0.0	False	8.471	15	15	STOP REMOTE	89.8142	15.202650785446167	538.0	460.0
0.2	20220818 134557	0.0	False	8.471	15	15	STOP REMOTE	89.8142	15.585630893707275	538.0	460.0
0.2	20220818 134557	0.0	False	13.29	15	15	STOP REMOTE	89.8142	15.819633960723877	538.0	460.0
0.2	20220818 134558	0.0	False	11.382	15	15	STOP REMOTE	89.8142	16.374212741851807	538.0	460.0
0.2	20220818 134558	0.0	False	13.156	15	15	STOP REMOTE	89.8142	17.002688884735107	538.0	460.0
0.1	20220818 134558	0.0	False	13.156	15	15	STOP REMOTE	89.8142	17.1876437664032	538.0	460.0
