P_act	clock	flow	inj	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.2	20220818 152718	0.0	False	18.902	15	15	STOP REMOTE	89.5665	1.0103130340576172	538.0	460.0
0.2	20220818 152719	0.0	False	15.603	15	15	STOP REMOTE	89.5665	1.4174962043762207	538.0	460.0
0.2	20220818 152719	0.0	False	19.453	15	15	STOP REMOTE	89.5665	1.9321300983428955	538.0	460.0
0.2	20220818 152720	0.0	False	19.0	15	15	STOP REMOTE	89.5665	2.408385992050171	538.0	460.0
0.2	20220818 152720	0.0	False	20.294	15	15	STOP REMOTE	89.5665	2.954573154449463	538.0	460.0
0.2	20220818 152721	0.0	False	18.92	15	15	STOP REMOTE	89.5665	3.5451881885528564	538.0	460.0
0.2	20220818 152721	0.0	False	18.476	15	15	STOP REMOTE	89.5665	3.9557831287384033	538.0	460.0
0.2	20220818 152722	0.0	False	18.089	15	15	STOP REMOTE	89.5665	4.415677309036255	538.0	460.0
0.2	20220818 152722	0.0	False	17.573	15	15	STOP REMOTE	89.5665	4.947808027267456	538.0	460.0
0.2	20220818 152723	0.0	False	19.929	15	15	STOP REMOTE	89.5665	5.355821132659912	538.0	460.0
0.2	20220818 152723	0.0	False	19.157	15	15	STOP REMOTE	89.5665	5.91076397895813	538.0	460.0
0.1	20220818 152723	0.0	False	19.157	15	15	STOP REMOTE	89.5665	6.16757607460022	538.0	460.0
0.1	20220818 152724	0.0	False	18.429	15	15	STOP REMOTE	89.5665	6.411070108413696	538.0	460.0
0.2	20220818 152724	0.0	False	18.429	15	15	STOP REMOTE	89.5665	6.576237201690674	538.0	460.0
0.2	20220818 152724	0.0	False	21.485	15	15	STOP REMOTE	89.5665	6.829624176025391	538.0	460.0
0.1	20220818 152724	0.0	False	21.485	15	15	STOP REMOTE	89.5665	6.927926063537598	538.0	460.0
0.1	20220818 152725	0.0	False	19.262	15	15	STOP REMOTE	89.5665	7.227927207946777	538.0	460.0
0.2	20220818 152725	0.0	False	19.262	15	15	STOP REMOTE	89.5665	7.266669034957886	538.0	460.0
0.2	20220818 152725	0.0	False	20.816	15	15	STOP REMOTE	89.5665	7.697617292404175	538.0	460.0
0.2	20220818 152726	0.0	False	20.865	15	15	STOP REMOTE	89.5665	8.332406044006348	538.0	460.0
0.2	20220818 152726	0.0	False	20.933	15	15	STOP REMOTE	89.5665	8.977686166763306	538.0	460.0
0.2	20220818 152727	0.0	False	21.631	15	15	STOP REMOTE	89.5665	9.574517965316772	538.0	460.0
0.2	20220818 152728	0.0	False	18.433	15	15	STOP REMOTE	89.5665	10.19368028640747	538.0	460.0
0.2	20220818 152728	0.0	False	17.845	15	15	STOP REMOTE	89.5665	10.809048175811768	538.0	460.0
0.2	20220818 152729	0.0	False	19.991	15	15	STOP REMOTE	89.5665	11.45607614517212	538.0	460.0
0.1	20220818 152729	0.0	False	19.991	15	15	STOP REMOTE	89.5665	11.986228942871094	538.0	460.0
0.1	20220818 152729	0.0	False	19.733	15	15	STOP REMOTE	89.5665	12.01554822921753	538.0	460.0
0.1	20220818 152730	0.0	False	20.214	15	15	STOP REMOTE	89.5665	12.611849069595337	538.0	460.0
0.2	20220818 152730	0.0	False	20.214	15	15	STOP REMOTE	89.5665	12.716005086898804	538.0	460.0
0.2	20220818 152731	0.0	False	18.736	15	15	STOP REMOTE	89.5665	13.20077896118164	538.0	460.0
0.1	20220818 152731	0.0	False	18.736	15	15	STOP REMOTE	89.5665	13.75842809677124	538.0	460.0
0.1	20220818 152731	0.0	False	19.484	15	15	STOP REMOTE	89.5665	13.9360671043396	538.0	460.0
0.2	20220818 152732	0.0	False	19.484	15	15	STOP REMOTE	89.5665	14.44894003868103	538.0	460.0
0.2	20220818 152732	0.0	False	20.137	15	15	STOP REMOTE	89.5665	14.537424087524414	538.0	460.0
0.2	20220818 152733	0.0	False	22.711	15	15	STOP REMOTE	89.5665	15.209630012512207	538.0	460.0
0.2	20220818 152733	0.0	False	21.702	15	15	STOP REMOTE	89.5665	15.88855504989624	538.0	460.0
0.3	20220818 152734	0.0	False	21.702	15	15	STOP REMOTE	89.5665	16.256230115890503	538.0	460.0
0.3	20220818 152734	0.0	False	19.208	15	15	STOP REMOTE	89.5665	16.49959397315979	538.0	460.0
0.2	20220818 152734	0.0	False	19.208	15	15	STOP REMOTE	89.5665	17.06742024421692	538.0	460.0
0.2	20220818 152734	0.0	False	20.361	15	15	STOP REMOTE	89.5665	17.12077522277832	538.0	460.0
