P_act	clock	flow	inj	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.1	20220818 121900	0.0	False	23.928	15	15	STOP REMOTE	89.8946	1.0762169361114502	538.0	460.0
0.0	20220818 121900	0.0	False	23.928	15	15	STOP REMOTE	89.8946	1.2790000438690186	538.0	460.0
0.0	20220818 121901	0.0	False	22.581	15	15	STOP REMOTE	89.8946	1.5478599071502686	538.0	460.0
0.0	20220818 121901	0.0	False	25.054	15	15	STOP REMOTE	89.8946	1.9888229370117188	538.0	460.0
0.0	20220818 121902	0.0	False	25.814	15	15	STOP REMOTE	89.8946	2.397381067276001	538.0	460.0
-0.0	20220818 121902	0.0	False	24.245	15	15	STOP REMOTE	89.8946	2.8596789836883545	538.0	460.0
0.0	20220818 121902	0.0	False	23.85	15	15	STOP REMOTE	89.8946	3.3413381576538086	538.0	460.0
0.1	20220818 121903	0.0	False	23.85	15	15	STOP REMOTE	89.8946	3.7361860275268555	538.0	460.0
0.1	20220818 121903	0.0	False	24.993	15	15	STOP REMOTE	89.8946	3.922724962234497	538.0	460.0
0.0	20220818 121904	0.0	False	24.993	15	15	STOP REMOTE	89.8946	4.488527059555054	538.0	460.0
0.0	20220818 121904	0.0	False	31.222	15	15	STOP REMOTE	89.8946	4.516222953796387	538.0	460.0
0.0	20220818 121904	0.0	False	22.951	15	15	STOP REMOTE	89.8946	5.195550918579102	538.0	460.0
0.0	20220818 121905	0.0	False	24.073	15	15	STOP REMOTE	89.8946	5.719618082046509	538.0	460.0
-0.0	20220818 121905	0.0	False	27.564	15	15	STOP REMOTE	89.8946	6.095869779586792	538.0	460.0
0.1	20220818 121906	0.0	False	27.564	15	15	STOP REMOTE	89.8946	6.414562940597534	538.0	460.0
0.1	20220818 121906	0.0	False	24.718	15	15	STOP REMOTE	89.8946	6.5429418087005615	538.0	460.0
-0.0	20220818 121906	0.0	False	24.718	15	15	STOP REMOTE	89.8946	7.0313451290130615	538.0	460.0
-0.0	20220818 121906	0.0	False	21.587	15	15	STOP REMOTE	89.8946	7.11991286277771	538.0	460.0
-0.0	20220818 121907	0.0	False	26.719	15	15	STOP REMOTE	89.8946	7.62312912940979	538.0	460.0
0.0	20220818 121907	0.0	False	27.568	15	15	STOP REMOTE	89.8946	8.210333824157715	538.0	460.0
0.0	20220818 121908	0.0	False	25.155	15	15	STOP REMOTE	89.8946	8.7133948802948	538.0	460.0
0.1	20220818 121908	0.0	False	25.155	15	15	STOP REMOTE	89.8946	8.74385404586792	538.0	460.0
0.1	20220818 121909	0.0	False	25.726	15	15	STOP REMOTE	89.8946	9.419218063354492	538.0	460.0
0.0	20220818 121909	0.0	False	25.726	15	15	STOP REMOTE	89.8946	9.540743827819824	538.0	460.0
0.0	20220818 121909	0.0	False	25.966	15	15	STOP REMOTE	89.8946	9.952306985855103	538.0	460.0
0.1	20220818 121909	0.0	False	25.966	15	15	STOP REMOTE	89.8946	10.06636095046997	538.0	460.0
0.1	20220818 121910	0.0	False	26.252	15	15	STOP REMOTE	89.8946	10.441601991653442	538.0	460.0
0.0	20220818 121910	0.0	False	26.252	15	15	STOP REMOTE	89.8946	10.75063705444336	538.0	460.0
0.0	20220818 121910	0.0	False	26.108	15	15	STOP REMOTE	89.8946	10.99835991859436	538.0	460.0
0.1	20220818 121911	0.0	False	26.108	15	15	STOP REMOTE	89.8946	11.4216628074646	538.0	460.0
0.1	20220818 121911	0.0	False	27.989	15	15	STOP REMOTE	89.8946	11.53380298614502	538.0	460.0
-0.1	20220818 121911	0.0	False	27.989	15	15	STOP REMOTE	89.8946	12.115010976791382	538.0	460.0
-0.1	20220818 121911	0.0	False	25.979	15	15	STOP REMOTE	89.8946	12.148522853851318	538.0	460.0
0.0	20220818 121912	0.0	False	25.979	15	15	STOP REMOTE	89.8946	12.589123010635376	538.0	460.0
0.0	20220818 121912	0.0	False	22.857	15	15	STOP REMOTE	89.8946	12.723198890686035	538.0	460.0
0.1	20220818 121912	0.0	False	22.857	15	15	STOP REMOTE	89.8946	13.261702060699463	538.0	460.0
0.1	20220818 121912	0.0	False	23.657	15	15	STOP REMOTE	89.8946	13.273462057113647	538.0	460.0
0.1	20220818 121913	0.0	False	26.283	15	15	STOP REMOTE	89.8946	13.757809162139893	538.0	460.0
0.1	20220818 121914	0.0	False	23.757	15	15	STOP REMOTE	89.8946	14.379719972610474	538.0	460.0
0.1	20220818 121914	0.0	False	21.048	15	15	STOP REMOTE	89.8946	15.080523014068604	538.0	460.0
0.0	20220818 121914	0.0	False	21.048	15	15	STOP REMOTE	89.8946	15.257042169570923	538.0	460.0
0.0	20220818 121915	0.0	False	26.48	15	15	STOP REMOTE	89.8946	15.71262502670288	538.0	460.0
0.1	20220818 121915	0.0	False	26.48	15	15	STOP REMOTE	89.8946	16.007029056549072	538.0	460.0
0.1	20220818 121915	0.0	False	27.085	15	15	STOP REMOTE	89.8946	16.32738494873047	538.0	460.0
0.1	20220818 121916	0.0	False	29.236	15	15	STOP REMOTE	89.8946	16.793528079986572	538.0	460.0
0.0	20220818 121916	0.0	False	29.236	15	15	STOP REMOTE	89.8946	17.14882206916809	538.0	460.0
0.0	20220818 121916	0.0	False	25.33	15	15	STOP REMOTE	89.8946	17.332350969314575	538.0	460.0
0.0	20220818 121917	0.0	False	25.503	15	15	STOP REMOTE	89.8946	18.04931402206421	538.0	460.0
0.0	20220818 121918	0.0	False	26.866	15	15	STOP REMOTE	89.8946	18.551636934280396	538.0	460.0
0.0	20220818 121918	0.0	False	24.952	15	15	STOP REMOTE	89.8946	19.182665824890137	538.0	460.0
0.0	20220818 121919	0.0	False	26.707	15	15	STOP REMOTE	89.8946	19.753082990646362	538.0	460.0
0.1	20220818 121919	0.0	False	26.707	15	15	STOP REMOTE	89.8946	19.926965951919556	538.0	460.0
0.1	20220818 121919	0.0	False	25.424	15	15	STOP REMOTE	89.8946	20.27755904197693	538.0	460.0
0.1	20220818 121920	0.0	False	27.669	15	15	STOP REMOTE	89.8946	20.809049129486084	538.0	460.0
0.1	20220818 121921	0.0	False	24.252	15	15	STOP REMOTE	89.8946	21.39751100540161	538.0	460.0
0.0	20220818 121921	0.0	False	24.252	15	15	STOP REMOTE	89.8946	21.579835176467896	538.0	460.0
0.0	20220818 121921	0.0	False	26.585	15	15	STOP REMOTE	89.8946	21.98027992248535	538.0	460.0
0.1	20220818 121922	0.0	False	26.585	15	15	STOP REMOTE	89.8946	22.525853157043457	538.0	460.0
0.1	20220818 121922	0.0	False	27.705	15	15	STOP REMOTE	89.8946	22.59680700302124	538.0	460.0
0.1	20220818 121922	0.0	False	27.125	15	15	STOP REMOTE	89.8946	23.160928964614868	538.0	460.0
0.0	20220818 121922	0.0	False	27.125	15	15	STOP REMOTE	89.8946	23.173954010009766	538.0	460.0
0.0	20220818 121923	0.0	False	23.77	15	15	STOP REMOTE	89.8946	23.587226152420044	538.0	460.0
0.1	20220818 121923	0.0	False	23.77	15	15	STOP REMOTE	89.8946	23.735935926437378	538.0	460.0
0.1	20220818 121923	0.0	False	25.282	15	15	STOP REMOTE	89.8946	24.1754469871521	538.0	460.0
0.1	20220818 121924	0.0	False	24.902	15	15	STOP REMOTE	89.8946	24.888458013534546	538.0	460.0
0.0	20220818 121924	0.0	False	24.902	15	15	STOP REMOTE	89.8946	25.115565061569214	538.0	460.0
0.0	20220818 121925	0.0	False	27.417	15	15	STOP REMOTE	89.8946	25.396623134613037	538.0	460.0
0.1	20220818 121925	0.0	False	27.417	15	15	STOP REMOTE	89.8946	25.9101140499115	538.0	460.0
0.1	20220818 121925	0.0	False	26.752	15	15	STOP REMOTE	89.8946	25.93782114982605	538.0	460.0
0.0	20220818 121926	0.0	False	26.752	15	15	STOP REMOTE	89.8946	26.422757148742676	538.0	460.0
0.0	20220818 121926	0.0	False	27.318	15	15	STOP REMOTE	89.8946	26.451277017593384	538.0	460.0
0.0	20220818 121926	0.0	False	24.416	15	15	STOP REMOTE	89.8946	26.96768617630005	538.0	460.0
0.0	20220818 121927	0.0	False	26.722	15	15	STOP REMOTE	89.8946	27.573201179504395	538.0	460.0
0.1	20220818 121927	0.0	False	26.722	15	15	STOP REMOTE	89.8946	28.214290857315063	538.0	460.0
0.1	20220818 121927	0.0	False	28.303	15	15	STOP REMOTE	89.8946	28.235883951187134	538.0	460.0
0.1	20220818 121928	0.0	False	23.639	15	15	STOP REMOTE	89.8946	28.807772159576416	538.0	460.0
0.1	20220818 121929	0.0	False	22.352	15	15	STOP REMOTE	89.8946	29.35794496536255	538.0	460.0
0.1	20220818 121929	0.0	False	25.992	15	15	STOP REMOTE	89.8946	29.977236032485962	538.0	460.0
0.1	20220818 121930	0.0	False	27.669	15	15	STOP REMOTE	89.8946	30.529380083084106	538.0	460.0
0.1	20220818 121930	0.0	False	25.007	15	15	STOP REMOTE	89.8946	31.13860511779785	538.0	460.0
0.1	20220818 121931	0.0	False	27.539	15	15	STOP REMOTE	89.8946	31.600409984588623	538.0	460.0
0.1	20220818 121931	0.0	False	25.244	15	15	STOP REMOTE	89.8946	32.206449031829834	538.0	460.0
0.1	20220818 121932	0.0	False	29.545	15	15	STOP REMOTE	89.8946	32.66810703277588	538.0	460.0
0.1	20220818 121933	0.0	False	24.695	15	15	STOP REMOTE	89.8946	33.3509418964386	538.0	460.0
0.1	20220818 121933	0.0	False	23.821	15	15	STOP REMOTE	89.8946	33.90116095542908	538.0	460.0
0.1	20220818 121934	0.0	False	27.941	15	15	STOP REMOTE	89.8946	34.59385108947754	538.0	460.0
0.1	20220818 121934	0.0	False	27.347	15	15	STOP REMOTE	89.8946	35.19123601913452	538.0	460.0
0.1	20220818 121935	0.0	False	26.077	15	15	STOP REMOTE	89.8946	35.75021505355835	538.0	460.0
0.1	20220818 121935	0.0	False	27.594	15	15	STOP REMOTE	89.8946	36.29154706001282	538.0	460.0
0.1	20220818 121936	0.0	False	23.262	15	15	STOP REMOTE	89.8946	36.791764974594116	538.0	460.0
0.1	20220818 121936	0.0	False	28.103	15	15	STOP REMOTE	89.8946	37.30807280540466	538.0	460.0
0.1	20220818 121937	0.0	False	28.65	15	15	STOP REMOTE	89.8946	37.74134802818298	538.0	460.0
0.1	20220818 121938	0.0	False	25.989	15	15	STOP REMOTE	89.8946	38.36507797241211	538.0	460.0
0.1	20220818 121938	0.0	False	25.701	15	15	STOP REMOTE	89.8946	38.93926692008972	538.0	460.0
0.1	20220818 121939	0.0	False	23.813	15	15	STOP REMOTE	89.8946	39.46735620498657	538.0	460.0
0.1	20220818 121939	0.0	False	25.904	15	15	STOP REMOTE	89.8946	40.12579607963562	538.0	460.0
0.1	20220818 121940	0.0	False	28.608	15	15	STOP REMOTE	89.8946	40.660841941833496	538.0	460.0
0.1	20220818 121940	0.0	False	23.895	15	15	STOP REMOTE	89.8946	41.156838178634644	538.0	460.0
0.1	20220818 121941	0.0	False	28.642	15	15	STOP REMOTE	89.8946	41.807596921920776	538.0	460.0
0.1	20220818 121942	0.0	False	25.494	15	15	STOP REMOTE	89.8946	42.535964012145996	538.0	460.0
0.1	20220818 121942	0.0	False	28.599	15	15	STOP REMOTE	89.8946	43.10265111923218	538.0	460.0
0.1	20220818 121943	0.0	False	28.231	15	15	STOP REMOTE	89.8946	43.7365779876709	538.0	460.0
0.1	20220818 121943	0.0	False	29.274	15	15	STOP REMOTE	89.8946	44.2684280872345	538.0	460.0
0.1	20220818 121944	0.0	False	28.111	15	15	STOP REMOTE	89.8946	44.8357789516449	538.0	460.0
0.1	20220818 121945	0.0	False	26.318	15	15	STOP REMOTE	89.8946	45.458178997039795	538.0	460.0
0.0	20220818 121945	0.0	False	26.318	15	15	STOP REMOTE	89.8946	45.79461097717285	538.0	460.0
0.0	20220818 121945	0.0	False	24.397	15	15	STOP REMOTE	89.8946	46.02480602264404	538.0	460.0
0.1	20220818 121945	0.0	False	24.397	15	15	STOP REMOTE	89.8946	46.317533016204834	538.0	460.0
0.1	20220818 121946	0.0	False	25.942	15	15	STOP REMOTE	89.8946	46.56780004501343	538.0	460.0
