P_act	clock	flow	inj	intensity	slit_em	slit_ex	status	vol	watch	wl_em	wl_ex
0.1	20220819 145244	0.0	False	24.216	15	15	STOP REMOTE	88.6904	1.1357059478759766	538.0	460.0
-0.1	20220819 145244	0.0	False	24.216	15	15	STOP REMOTE	88.6904	1.291429042816162	538.0	460.0
-0.1	20220819 145244	0.0	False	23.978	15	15	STOP REMOTE	88.6904	1.655304193496704	538.0	460.0
0.0	20220819 145244	0.0	False	23.978	15	15	STOP REMOTE	88.6904	1.9111871719360352	538.0	460.0
0.0	20220819 145245	0.0	False	28.046	15	15	STOP REMOTE	88.6904	2.201172113418579	538.0	460.0
0.1	20220819 145245	0.0	False	28.046	15	15	STOP REMOTE	88.6904	2.5741961002349854	538.0	460.0
0.1	20220819 145245	0.0	False	23.378	15	15	STOP REMOTE	88.6904	2.84548282623291	538.0	460.0
-0.0	20220819 145246	0.0	False	23.378	15	15	STOP REMOTE	88.6904	3.223031997680664	538.0	460.0
-0.0	20220819 145246	0.0	False	26.279	15	15	STOP REMOTE	88.6904	3.332016944885254	538.0	460.0
-0.0	20220819 145246	0.0	False	28.04	15	15	STOP REMOTE	88.6904	3.8586530685424805	538.0	460.0
-0.0	20220819 145247	0.0	False	26.536	15	15	STOP REMOTE	88.6904	4.473651170730591	538.0	460.0
0.0	20220819 145247	0.0	False	25.967	15	15	STOP REMOTE	88.6904	5.07223105430603	538.0	460.0
0.0	20220819 145248	0.0	False	24.597	15	15	STOP REMOTE	88.6904	5.508125066757202	538.0	460.0
0.0	20220819 145248	0.0	False	23.588	15	15	STOP REMOTE	88.6904	5.933727025985718	538.0	460.0
-0.0	20220819 145249	0.0	False	24.33	15	15	STOP REMOTE	88.6904	6.433190107345581	538.0	460.0
-0.0	20220819 145249	0.0	False	24.842	15	15	STOP REMOTE	88.6904	6.849130868911743	538.0	460.0
-0.0	20220819 145250	0.0	False	23.859	15	15	STOP REMOTE	88.6904	7.421009063720703	538.0	460.0
-0.0	20220819 145250	0.0	False	27.482	15	15	STOP REMOTE	88.6904	8.010488033294678	538.0	460.0
0.0	20220819 145251	0.0	False	27.459	15	15	STOP REMOTE	88.6904	8.697300910949707	538.0	460.0
0.0	20220819 145252	0.0	False	27.214	15	15	STOP REMOTE	88.6904	9.38939619064331	538.0	460.0
0.0	20220819 145252	0.0	False	23.529	15	15	STOP REMOTE	88.6904	9.910840034484863	538.0	460.0
-0.0	20220819 145253	0.0	False	27.188	15	15	STOP REMOTE	88.6904	10.560013055801392	538.0	460.0
0.1	20220819 145253	0.0	False	27.188	15	15	STOP REMOTE	88.6904	10.850786924362183	538.0	460.0
0.1	20220819 145253	0.0	False	24.573	15	15	STOP REMOTE	88.6904	11.073224067687988	538.0	460.0
0.1	20220819 145254	0.0	False	27.577	15	15	STOP REMOTE	88.6904	11.544188022613525	538.0	460.0
0.1	20220819 145255	0.0	False	27.071	15	15	STOP REMOTE	88.6904	12.15850305557251	538.0	460.0
-0.0	20220819 145255	0.0	False	27.071	15	15	STOP REMOTE	88.6904	12.219449996948242	538.0	460.0
-0.0	20220819 145255	0.0	False	23.935	15	15	STOP REMOTE	88.6904	12.729642152786255	538.0	460.0
0.0	20220819 145256	0.0	False	29.701	15	15	STOP REMOTE	88.6904	13.378568172454834	538.0	460.0
0.1	20220819 145256	0.0	False	29.701	15	15	STOP REMOTE	88.6904	14.012582063674927	538.0	460.0
0.1	20220819 145256	0.0	False	29.234	15	15	STOP REMOTE	88.6904	14.034557104110718	538.0	460.0
0.1	20220819 145257	0.0	False	27.304	15	15	STOP REMOTE	88.6904	14.667103052139282	538.0	460.0
0.1	20220819 145257	0.0	False	26.243	15	15	STOP REMOTE	88.6904	15.12146282196045	538.0	460.0
0.1	20220819 145258	0.0	False	29.056	15	15	STOP REMOTE	88.6904	15.780216932296753	538.0	460.0
0.1	20220819 145259	0.0	False	23.213	15	15	STOP REMOTE	88.6904	16.40614104270935	538.0	460.0
0.0	20220819 145259	0.0	False	23.213	15	15	STOP REMOTE	88.6904	16.96296215057373	538.0	460.0
0.0	20220819 145259	0.0	False	30.629	15	15	STOP REMOTE	88.6904	17.022459030151367	538.0	460.0
0.0	20220819 145300	0.0	False	24.926	15	15	STOP REMOTE	88.6904	17.659425020217896	538.0	460.0
-0.0	20220819 145301	0.0	False	28.779	15	15	STOP REMOTE	88.6904	18.299021005630493	538.0	460.0
0.0	20220819 145301	0.0	False	29.645	15	15	STOP REMOTE	88.6904	18.957415103912354	538.0	460.0
0.0	20220819 145302	0.0	False	31.424	15	15	STOP REMOTE	88.6904	19.58961009979248	538.0	460.0
0.1	20220819 145302	0.0	False	31.424	15	15	STOP REMOTE	88.6904	19.64360213279724	538.0	460.0
0.1	20220819 145303	0.0	False	26.347	15	15	STOP REMOTE	88.6904	20.16610598564148	538.0	460.0
0.0	20220819 145303	0.0	False	26.347	15	15	STOP REMOTE	88.6904	20.37318992614746	538.0	460.0
0.0	20220819 145303	0.0	False	24.445	15	15	STOP REMOTE	88.6904	20.704828023910522	538.0	460.0
0.0	20220819 145304	0.0	False	30.972	15	15	STOP REMOTE	88.6904	21.206146001815796	538.0	460.0
0.0	20220819 145304	0.0	False	27.707	15	15	STOP REMOTE	88.6904	21.712637186050415	538.0	460.0
0.0	20220819 145305	0.0	False	25.307	15	15	STOP REMOTE	88.6904	22.159677982330322	538.0	460.0
0.0	20220819 145305	0.0	False	27.739	15	15	STOP REMOTE	88.6904	22.62264585494995	538.0	460.0
0.1	20220819 145305	0.0	False	27.739	15	15	STOP REMOTE	88.6904	22.722167015075684	538.0	460.0
0.1	20220819 145306	0.0	False	26.627	15	15	STOP REMOTE	88.6904	23.148890018463135	538.0	460.0
0.0	20220819 145306	0.0	False	26.627	15	15	STOP REMOTE	88.6904	23.56417202949524	538.0	460.0
0.0	20220819 145306	0.0	False	28.643	15	15	STOP REMOTE	88.6904	23.59178900718689	538.0	460.0
0.0	20220819 145306	0.0	False	27.443	15	15	STOP REMOTE	88.6904	24.075557947158813	538.0	460.0
0.0	20220819 145307	0.0	False	25.766	15	15	STOP REMOTE	88.6904	24.464717864990234	538.0	460.0
0.1	20220819 145307	0.0	False	25.766	15	15	STOP REMOTE	88.6904	24.616990089416504	538.0	460.0
0.1	20220819 145307	0.0	False	24.329	15	15	STOP REMOTE	88.6904	24.969053030014038	538.0	460.0
0.0	20220819 145308	0.0	False	24.329	15	15	STOP REMOTE	88.6904	25.36971402168274	538.0	460.0
0.0	20220819 145308	0.0	False	28.068	15	15	STOP REMOTE	88.6904	25.557904958724976	538.0	460.0
0.0	20220819 145308	0.0	False	28.158	15	15	STOP REMOTE	88.6904	26.058271884918213	538.0	460.0
-0.0	20220819 145309	0.0	False	27.244	15	15	STOP REMOTE	88.6904	26.499907970428467	538.0	460.0
0.0	20220819 145309	0.0	False	22.959	15	15	STOP REMOTE	88.6904	26.923753023147583	538.0	460.0
0.1	20220819 145309	0.0	False	22.959	15	15	STOP REMOTE	88.6904	27.050971031188965	538.0	460.0
0.1	20220819 145310	0.0	False	31.792	15	15	STOP REMOTE	88.6904	27.40756607055664	538.0	460.0
0.1	20220819 145310	0.0	False	26.843	15	15	STOP REMOTE	88.6904	27.81986403465271	538.0	460.0
0.1	20220819 145311	0.0	False	28.002	15	15	STOP REMOTE	88.6904	28.288676023483276	538.0	460.0
0.1	20220819 145311	0.0	False	28.646	15	15	STOP REMOTE	88.6904	28.660874843597412	538.0	460.0
0.0	20220819 145311	0.0	False	28.646	15	15	STOP REMOTE	88.6904	29.03409194946289	538.0	460.0
0.0	20220819 145312	0.0	False	29.922	15	15	STOP REMOTE	88.6904	29.157829999923706	538.0	460.0
0.0	20220819 145312	0.0	False	27.095	15	15	STOP REMOTE	88.6904	29.70441508293152	538.0	460.0
0.1	20220819 145312	0.0	False	27.095	15	15	STOP REMOTE	88.6904	29.960928916931152	538.0	460.0
0.1	20220819 145312	0.0	False	26.779	15	15	STOP REMOTE	88.6904	30.09116291999817	538.0	460.0
0.1	20220819 145313	0.0	False	26.972	15	15	STOP REMOTE	88.6904	30.57598090171814	538.0	460.0
0.1	20220819 145314	0.0	False	27.458	15	15	STOP REMOTE	88.6904	31.214687824249268	538.0	460.0
