P_act	clock	flow	inj	status	vol	watch
0.7	20220820 061218	0.0	False	STOP LOCAL	85.9661	17.407541036605835
0.8	20220820 061225	0.0	False	STOP LOCAL	85.9661	24.10768699645996
0.7	20220820 061226	0.0	False	STOP LOCAL	85.9661	25.407826900482178
0.8	20220820 061227	0.0	False	STOP LOCAL	85.9661	26.42098879814148
0.9	20220820 061228	0.0	False	STOP LOCAL	85.9661	27.498537063598633
0.8	20220820 061229	0.0	False	STOP LOCAL	85.9661	27.91167902946472
0.9	20220820 061232	0.0	False	STOP LOCAL	85.9661	31.376172065734863
0.8	20220820 061233	0.0	False	STOP LOCAL	85.9661	31.85160803794861
0.7	20220820 061234	0.0	False	STOP LOCAL	85.9661	33.45185399055481
0.8	20220820 061235	0.0	False	STOP LOCAL	85.9661	33.9800980091095
0.7	20220820 061241	0.0	False	STOP LOCAL	85.9661	40.53252196311951
0.8	20220820 061242	0.0	False	STOP LOCAL	85.9661	40.98067092895508
0.7	20220820 061242	0.0	False	STOP LOCAL	85.9661	41.43828296661377
0.8	20220820 061243	0.0	False	STOP LOCAL	85.9661	41.847803831100464
0.9	20220820 061244	0.0	False	STOP LOCAL	85.9661	43.45623302459717
0.8	20220820 061245	0.0	False	STOP LOCAL	85.9661	44.02981495857239
0.9	20220820 061245	0.0	False	STOP LOCAL	85.9661	44.62339997291565
0.8	20220820 061246	0.0	False	STOP LOCAL	85.9661	45.165802001953125
0.9	20220820 061247	0.0	False	STOP LOCAL	85.9661	46.17803597450256
0.8	20220820 061249	0.0	False	STOP LOCAL	85.9661	48.765772104263306
0.7	20220820 061251	0.0	False	STOP LOCAL	85.9661	50.622074127197266
0.8	20220820 061252	0.0	False	STOP LOCAL	85.9661	51.14758801460266
0.9	20220820 061253	0.0	False	STOP LOCAL	85.9661	52.15555191040039
0.8	20220820 061253	0.0	False	STOP LOCAL	85.9661	52.7513861656189
0.9	20220820 061254	0.0	False	STOP LOCAL	85.9661	53.714741945266724
0.8	20220820 061255	0.0	False	STOP LOCAL	85.9661	54.24957203865051
0.7	20220820 061258	0.0	False	STOP LOCAL	85.9661	57.53749084472656
0.8	20220820 061259	0.0	False	STOP LOCAL	85.9661	58.02351498603821
0.7	20220820 061300	0.0	False	STOP LOCAL	85.9661	59.0919930934906
0.8	20220820 061300	0.0	False	STOP LOCAL	85.9661	59.57467794418335
0.9	20220820 061309	0.0	False	STOP LOCAL	85.9661	68.21651411056519
0.8	20220820 061309	0.0	False	STOP LOCAL	85.9661	68.73007893562317
0.7	20220820 061310	0.0	False	STOP LOCAL	85.9661	69.16220593452454
0.8	20220820 061311	0.0	False	STOP LOCAL	85.9661	70.34849405288696
0.7	20220820 061319	0.0	False	STOP LOCAL	85.9661	77.95420289039612
0.8	20220820 061319	0.0	False	STOP LOCAL	85.9661	78.39221715927124
0.7	20220820 061322	0.0	False	STOP LOCAL	85.9661	81.34302306175232
0.8	20220820 061323	0.0	False	STOP LOCAL	85.9661	81.86833786964417
0.9	20220820 061323	0.0	False	STOP LOCAL	85.9661	82.43667411804199
0.8	20220820 061324	0.0	False	STOP LOCAL	85.9661	82.92566800117493
0.9	20220820 061327	0.0	False	STOP LOCAL	85.9661	86.02101302146912
0.8	20220820 061328	0.0	False	STOP LOCAL	85.9661	87.11823010444641
0.9	20220820 061329	0.0	False	STOP LOCAL	85.9661	88.43420791625977
0.8	20220820 061330	0.0	False	STOP LOCAL	85.9661	88.91795301437378
0.9	20220820 061331	0.0	False	STOP LOCAL	85.9661	89.90263509750366
0.8	20220820 061331	0.0	False	STOP LOCAL	85.9661	90.41125082969666
0.7	20220820 061333	0.0	False	STOP LOCAL	85.9661	92.3664608001709
0.8	20220820 061350	0.0	False	STOP LOCAL	85.9661	108.9985101222992
0.7	20220820 061355	0.0	False	STOP LOCAL	85.9661	113.7929060459137
0.9	20220820 061355	0.0	False	STOP LOCAL	85.9661	114.31620287895203
0.8	20220820 061356	0.0	False	STOP LOCAL	85.9661	115.4776680469513
0.9	20220820 061358	0.0	False	STOP LOCAL	85.9661	117.20174908638
0.8	20220820 061358	0.0	False	STOP LOCAL	85.9661	117.73198199272156
0.7	20220820 061403	0.0	False	STOP LOCAL	85.9661	121.79395198822021
0.8	20220820 061403	0.0	False	STOP LOCAL	85.9661	122.29330682754517
0.7	20220820 061404	0.0	False	STOP LOCAL	85.9661	123.2482419013977
0.8	20220820 061404	0.0	False	STOP LOCAL	85.9661	123.70243310928345
0.7	20220820 061409	0.0	False	STOP LOCAL	85.9661	128.4012291431427
0.8	20220820 061410	0.0	False	STOP LOCAL	85.9661	128.9100739955902
0.7	20220820 061410	0.0	False	STOP LOCAL	85.9661	129.4665470123291
0.9	20220820 061411	0.0	False	STOP LOCAL	85.9661	129.98401594161987
0.8	20220820 061411	0.0	False	STOP LOCAL	85.9661	130.4558048248291
0.7	20220820 061414	0.0	False	STOP LOCAL	85.9661	133.14305782318115
0.8	20220820 061414	0.0	False	STOP LOCAL	85.9661	133.56814098358154
0.9	20220820 061418	0.0	False	STOP LOCAL	85.9661	136.81752181053162
0.8	20220820 061418	0.0	False	STOP LOCAL	85.9661	137.34965991973877
0.7	20220820 061420	0.0	False	STOP LOCAL	85.9661	138.863018989563
0.8	20220820 061421	0.0	False	STOP LOCAL	85.9661	140.44706797599792
0.7	20220820 061422	0.0	False	STOP LOCAL	85.9661	140.97238302230835
0.8	20220820 061423	0.0	False	STOP LOCAL	85.9661	141.97774481773376
0.9	20220820 061427	0.0	False	STOP LOCAL	85.9661	146.27878093719482
0.8	20220820 061427	0.0	False	STOP LOCAL	85.9661	146.78356504440308
1.0	20220820 061429	0.0	False	STOP LOCAL	85.9661	148.24193692207336
0.8	20220820 061429	0.0	False	STOP LOCAL	85.9661	148.76496195793152
0.9	20220820 061431	0.0	False	STOP LOCAL	85.9661	150.3055648803711
0.7	20220820 061432	0.0	False	STOP LOCAL	85.9661	151.26321578025818
0.8	20220820 061433	0.0	False	STOP LOCAL	85.9661	151.80952501296997
0.7	20220820 061439	0.0	False	STOP LOCAL	85.9661	158.07781195640564
0.8	20220820 061439	0.0	False	STOP LOCAL	85.9661	158.56194496154785
0.7	20220820 061440	0.0	False	STOP LOCAL	85.9661	159.2437288761139
0.8	20220820 061441	0.0	False	STOP LOCAL	85.9661	160.3523850440979
0.7	20220820 061442	0.0	False	STOP LOCAL	85.9661	161.3042860031128
0.8	20220820 061442	0.0	False	STOP LOCAL	85.9661	161.72680497169495
0.9	20220820 061444	0.0	False	STOP LOCAL	85.9661	162.8285949230194
0.8	20220820 061444	0.0	False	STOP LOCAL	85.9661	163.36235189437866
0.7	20220820 061446	0.0	False	STOP LOCAL	85.9661	165.41357111930847
0.8	20220820 061447	0.0	False	STOP LOCAL	85.9661	165.98375988006592
0.7	20220820 061448	0.0	False	STOP LOCAL	85.9661	167.58771204948425
0.8	20220820 061449	0.0	False	STOP LOCAL	85.9661	168.17017078399658
0.7	20220820 061452	0.0	False	STOP LOCAL	85.9661	170.85581588745117
0.8	20220820 061452	0.0	False	STOP LOCAL	85.9661	171.4472692012787
