ChiefScientist	ShipName	RovName	DiveNumber	lat	lon	DiveStartTime	MaxPressure
Steve Haddock	wfly	docr	960	35.49768251	-123.99650836	2017-06-09	13:25:00	4033.46
Steve Haddock	wfly	docr	1021	35.49985857	-124.00033432	2018-05-04	13:41:16	4047.55
Steve Haddock	wfly	docr	1168	36.41539009	-122.28384983	2019-07-15	13:36:25	1302.35
Steve Haddock	wfly	docr	1336	33.84741209	-119.43991230	2021-05-29	13:46:03	1162.66
Steve Haddock	wfly	docr	1339	34.57420860	-122.56298311	2021-06-01	13:44:15	3852.63
Steve Haddock	wfly	docr	1340	35.49645306	-123.98820742	2021-06-02	13:31:15	4049.39
Steve Haddock	wfly	docr	1341	35.73730070	-122.74936901	2021-06-03	13:33:45	2386.19
Steve Haddock	wfly	docr	1367	35.94989079	-123.94895380	2021-07-28	14:29:49	2444.29
Steve Haddock	wfly	docr	1369	35.49988837	-124.00331755	2021-07-30	13:48:04	4024.06
Steve Haddock	wfly	docr	1371	36.55824833	-122.25194610	2021-08-01	13:41:43	1874.61
Steve Haddock	rcsn	vnta	3710	36.70334834	-122.03876871	2013-04-24	19:36:00	303.76
Steve Haddock	rcsn	vnta	3949	36.70499400	-122.05444305	2016-08-25	16:10:00	1012.39
Steve Haddock	rcsn	vnta	4034	36.78328091	-122.02185169	2017-05-17	15:49:59	441.98
Steve Haddock	rcsn	vnta	4139	36.69713091	-122.04607719	2018-08-30	15:58:02	1012.67
Steve Haddock	rcsn	vnta	4322	36.70326247	-122.04270835	2021-03-04	16:54:56	1009.45
Steve Haddock	kilo	mini	122	19.59983	-156.262	2022-11-09		
