GP values	GP values (GFactor-corrected)	Counts (Pixels)	Counts (Pixels, Normalized)	Counts (Kernel-Smoothed)	Counts (Smoothed, Normalized)
-1	-1	0	0	2	2.7045E-6
-0.98	-0.98	4	5.4090E-6	24.6667	0.00003336
-0.96	-0.96	70	0.00009466	96.3333	0.0001303
-0.94	-0.94	215	0.0002907	261	0.0003529
-0.92	-0.92	498	0.0006734	520.3333	0.0007036
-0.9	-0.9	848	0.001147	884.6667	0.001196
-0.88	-0.88	1308	0.001769	1301.3333	0.00176
-0.86	-0.86	1748	0.002364	1796.3333	0.002429
-0.84	-0.84	2333	0.003155	2310.6667	0.003125
-0.82	-0.82	2851	0.003855	2892	0.003911
-0.8	-0.8	3492	0.004722	3433	0.004642
-0.78	-0.78	3956	0.00535	3967.3333	0.005365
-0.76	-0.76	4454	0.006023	4401.3333	0.005952
-0.74	-0.74	4794	0.006483	4804.6667	0.006497
-0.72	-0.72	5166	0.006986	5208.6667	0.007043
-0.7	-0.7	5666	0.007662	5572	0.007535
-0.68	-0.68	5884	0.007957	5883.6667	0.007956
-0.66	-0.66	6101	0.00825	6158.3333	0.008328
-0.64	-0.64	6490	0.008776	6384.6667	0.008634
-0.62	-0.62	6563	0.008875	6564	0.008876
-0.6	-0.6	6639	0.008978	6681.3333	0.009035
-0.58	-0.58	6842	0.009252	6822.6667	0.009226
-0.56	-0.56	6987	0.009448	6987.3333	0.009449
-0.54	-0.54	7133	0.009646	7073.3333	0.009565
-0.52	-0.52	7100	0.009601	7220.3333	0.009764
-0.5	-0.5	7428	0.01004	7387.3333	0.00999
-0.48	-0.48	7634	0.01032	7546.3333	0.0102
-0.46	-0.46	7577	0.01025	7659	0.01036
-0.44	-0.44	7766	0.0105	7682.6667	0.01039
-0.42	-0.42	7705	0.01042	7800.3333	0.01055
-0.4	-0.4	7930	0.01072	7827.3333	0.01058
-0.38	-0.38	7847	0.01061	7888.3333	0.01067
-0.36	-0.36	7888	0.01067	7863	0.01063
-0.34	-0.34	7854	0.01062	7873.3333	0.01065
-0.32	-0.32	7878	0.01065	7801	0.01055
-0.3	-0.3	7671	0.01037	7669.6667	0.01037
-0.28	-0.28	7460	0.01009	7535	0.01019
-0.26	-0.26	7474	0.01011	7413	0.01002
-0.24	-0.24	7305	0.009878	7277.3333	0.009841
-0.22	-0.22	7053	0.009537	7048.3333	0.009531
-0.2	-0.2	6787	0.009178	6838.6667	0.009248
-0.18	-0.18	6676	0.009028	6573.6667	0.008889
-0.16	-0.16	6258	0.008462	6364.6667	0.008607
-0.14	-0.14	6160	0.00833	6151.6667	0.008319
-0.12	-0.12	6037	0.008164	5995.3333	0.008107
-0.1	-0.1	5789	0.007828	5799	0.007842
-0.08	-0.08	5571	0.007533	5568.6667	0.00753
-0.06	-0.06	5346	0.007229	5382.3333	0.007278
-0.04	-0.04	5230	0.007072	5204.3333	0.007038
-0.02	-0.02	5037	0.006811	5182.3333	0.007008
0	0	5280	0.00714	5123.6667	0.006929
0.02	0.02	5054	0.006834	5185	0.007011
0.04	0.04	5221	0.00706	5178.3333	0.007002
0.06	0.06	5260	0.007113	5269.3333	0.007125
0.08	0.08	5327	0.007203	5365	0.007255
0.1	0.1	5508	0.007448	5483.6667	0.007415
0.12	0.12	5616	0.007594	5710.6667	0.007722
0.14	0.14	6008	0.008124	5974.3333	0.008079
0.16	0.16	6299	0.008518	6333.3333	0.008564
0.18	0.18	6693	0.009051	6814.3333	0.009215
0.2	0.2	7451	0.01008	7270	0.009831
0.22	0.22	7666	0.01037	7839.6667	0.0106
0.24	0.24	8402	0.01136	8444.3333	0.01142
0.26	0.26	9265	0.01253	9224	0.01247
0.28	0.28	10005	0.01353	10000	0.01352
0.3	0.3	10730	0.01451	10770.6667	0.01456
0.32	0.32	11577	0.01566	11598.3333	0.01568
0.34	0.34	12488	0.01689	12538.3333	0.01696
0.36	0.36	13550	0.01832	13432	0.01816
0.38	0.38	14258	0.01928	14312	0.01935
0.4	0.4	15128	0.02046	15095.6667	0.02041
0.42	0.42	15901	0.0215	15782	0.02134
0.44	0.44	16317	0.02206	16411.6667	0.02219
0.46	0.46	17017	0.02301	16659.3333	0.02253
0.48	0.48	16644	0.02251	17248.3333	0.02332
0.5	0.5	18084	0.02445	17326.3333	0.02343
0.52	0.52	17251	0.02333	17459	0.02361
0.54	0.54	17042	0.02305	17028.6667	0.02303
0.56	0.56	16793	0.02271	16417.3333	0.0222
0.58	0.58	15417	0.02085	15807.3333	0.02138
0.6	0.6	15212	0.02057	14819	0.02004
0.62	0.62	13828	0.0187	13987.6667	0.01891
0.64	0.64	12923	0.01748	12818.3333	0.01733
0.66	0.66	11704	0.01583	11780.6667	0.01593
0.68	0.68	10715	0.01449	10755.6667	0.01454
0.7	0.7	9848	0.01332	9756.3333	0.01319
0.72	0.72	8706	0.01177	8837	0.01195
0.74	0.74	7957	0.01076	7950.3333	0.01075
0.76	0.76	7188	0.00972	7233	0.009781
0.78	0.78	6554	0.008863	6701.6667	0.009062
0.8	0.8	6363	0.008604	6303.3333	0.008524
0.82	0.82	5993	0.008104	5967	0.008069
0.84	0.84	5545	0.007498	5630.6667	0.007614
0.86	0.86	5354	0.00724	5219.6667	0.007058
0.88	0.88	4760	0.006437	4697.3333	0.006352
0.9	0.9	3978	0.005379	3890.3333	0.005261
0.92	0.92	2933	0.003966	2834.3333	0.003833
0.94	0.94	1592	0.002153	1707	0.002308
0.96	0.96	596	0.0008059	761.3333	0.00103
0.98	0.98	96	0.0001298	346	0.0004679
