																																																																																																																																																																																																													
		Ceramide Profile;  CER																																																																																																																																																																																																											
																																																																																																																																																																																																													
		ND = not detected																																																																																																																																																																																																											
																																																																																																																																																																																																													
																																																																																																																																																																																																													
			Normalized Intensities  (UNIT = Intensity ratio / mg)																																																																																																																																																																																																										
	Sample ID		Cer m20:1_7.83	Cer d20:1_5.20	Cer t20:1_7.25	Cer t21:1_5.16	Cer d22:1_6.16	Cer t23:1_6.08	Cer t27:2_7.42	Cer t29:2_8.66	Cer d30:0_14.88	Cer d30:1_13.75	Cer t31:0_17.83	Cer t31:0_18.96	Cer t31:0_19.64	Cer d32:0_18.98 | n16:0_d16:0	Cer d32:0_22.76	Cer d32:1_15.83 | d20:1/n12:0	Cer d32:1_17.46 | d16:1/n16:0	Cer m32:2_17.46	Cer d32:2_14.59 | d20:2/n12:0	Cer d32:2_14.59 | d12:0/n20:2	Cer d32:2_14.84	Cer d32:2_15.50 | n14:0_d18:2	Cer m32:3_14.60	Cer d32:3_13.86	Cer t32:3_15.08	Cer m32:4_15.41	Cer m33:1_16.44	Cer d33:1_17.85	Cer d33:1_19.07 | d17:1/n16:0	Cer d33:1_19.69 | d16:1/n17:0	Cer t33:1_20.12 | t17:0/n16:1	Cer m33:2_16.46	Cer d33:2_16.32 | d19:2/n14:0	Cer d33:2_16.78 | d19:2/n14:0	Cer d33:3_15.07 | d19:3/n14:0	Cer t33:3_14.59	Cer t33:3_16.37	Cer t33:3_17.03	Cer t33:3_18.50	Cer m33:4_17.44	Cer d34:0_23.42 | n16:0_d18:0	Cer d34:0_26.01	Cer t34:0_25.57	Cer m34:1_22.76	Cer d34:1_20.01 | d20:1/n14:0	Cer d34:1_21.10	Cer d34:1_21.80	Cer d34:2_18.50 | d20:2/n14:0	Cer d34:2_18.50 | d14:0/n20:2	Cer t34:2_20.58 | n16:2_t18:0	Cer m34:3_18.51	Cer d34:3_15.55	Cer d34:3_16.25 | d20:3/n14:0	Cer d34:3_17.00 | d19:3/n15:0	Cer d34:3_17.57 | d18:3/n16:0	Cer m34:4_17.80	Cer d34:4_13.49	Cer d34:4_15.10	Cer t34:4_15.06	Cer m34:5_16.35	Cer m34:5_16.76	Cer m34:5_17.57	Cer t35:0_25.46	Cer t35:0_26.55	Cer m35:1_18.51	Cer d35:2_20.14	Cer d35:2_20.69 | d15:0_n20:2	Cer d35:2_21.21	Cer t35:2_22.76 | n16:2_t19:0	Cer d35:3_19.23 | d19:3/n16:0	Cer t35:3_14.15	Cer t35:3_15.02	Cer t35:3_17.05 | t17:0_n18:3	Cer t35:3_18.51	Cer m35:4_20.01	Cer m35:4_21.07	Cer m35:4_21.80	Cer d35:4_15.96	Cer d35:4_16.44	Cer d35:4_17.01 | n16:0_d19:4	Cer t35:4_16.17	Cer m35:5_18.48	Cer d35:5_16.17	Cer d35:5_16.46	Cer d36:0_26.32	Cer m36:1_26.01	Cer d36:1_23.98	Cer d36:1_24.23 | d20:1/n16:0	Cer d36:1_25.55	Cer t36:1_20.85 | t20:1/n16:0	Cer t36:1_25.94	Cer d36:2_22.35 | d20:2/n16:0	Cer d36:2_22.83 | d20:2/n16:0	Cer d36:2_22.83 | d18:1/n18:1	Cer d36:2_22.83 | d16:0/n20:2	Cer t36:2_20.76 | h16:0_d20:2	Cer m36:3_22.87	Cer d36:3_19.32	Cer d36:3_20.62 | d20:3/n16:0	Cer d36:3_20.89 | d19:3/n17:0	Cer d36:3_21.44 | d19:3/n17:0	Cer t36:3_18.39	Cer m36:4_23.94	Cer d36:4_17.01	Cer t36:4_19.23	Cer m36:5_20.14	Cer m36:5_20.69	Cer t36:5_10.77	Cer m36:6_19.21	Cer d36:6_17.05	Cer m36:7_17.03	Cer t36:7_11.51	Cer t36:7_11.86	Cer m37:1_22.85	Cer d37:1_25.46	Cer d37:1_26.53	Cer d37:2_24.42	Cer d37:2_24.82	Cer t37:2_25.62	Cer d37:3_21.42	Cer d37:3_22.73 | n18:0_d19:3	Cer d37:3_23.08	Cer d37:3_23.57 | n18:0_d19:3	Cer t37:3_19.23	Cer t37:3_22.85	Cer m37:4_24.25	Cer d37:4_19.91	Cer d37:4_20.23	Cer d37:4_20.78	Cer m37:5_22.35	Cer m37:5_22.82	Cer t37:5_11.07	Cer m37:6_20.60	Cer m37:6_21.44	Cer t37:6_18.51	Cer t37:7_12.52	Cer d38:0_27.58	Cer d38:1_26.53	Cer d38:1_27.25	Cer d38:2_25.85 | d16:1_n22:1	Cer d38:2_26.17	Cer d38:3_23.46 | d20:2/n18:1	Cer d38:3_24.03	Cer d38:3_24.78	Cer m38:4_25.50	Cer m38:5_24.37	Cer m38:5_24.82	Cer m38:6_22.25	Cer m38:6_22.71	Cer m38:6_23.58	Cer t38:6_17.98	Cer t38:7_14.16	Cer m39:5_25.85	Cer m39:5_26.10	Cer m39:6_24.69	Cer d40:0_28.32	Cer t40:0_28.75	Cer d40:2_27.26	Cer d40:3_26.26 | d20:2/n20:1	Cer m40:5_26.75	Cer d40:7_17.98	Cer t40:7_19.98	Cer d41:0_28.64	Cer d41:1_28.37	Cer t41:2_29.08	Cer t41:3_29.08	Cer m41:5_27.26	Cer d42:0_28.94	Cer t42:0_28.46 | t18:0/n24:0	Cer d42:1_28.75	Cer t42:1_28.42	Cer d42:3_27.46 | d20:2/n22:1	Cer d43:0_29.21	Cer t43:0_28.82	Cer t43:1_28.71	Cer t43:3_28.08	Cer d43:4_27.57	Cer d44:0_29.51	Cer t44:0_29.05 | t18:0/n26:0	Cer d44:1_29.32	Cer t44:1_29.00	Cer m44:3_29.12	Cer d44:3_28.19 | d20:2/n24:1	Cer d45:0_29.82	Cer t45:0_29.28 | t20:0_n25:0	Cer t45:1_29.26	Cer d45:3_28.46	Cer t45:3_28.71	Cer t45:4_29.10	Cer d46:0_30.10	Cer t46:0_29.60 | t20:0_n26:0	Cer d46:1_29.89	Cer t46:1_28.98	Cer t46:1_29.55	Cer d47:0_30.41	Cer t47:0_29.85	Cer d47:1_30.17	Cer d48:0_30.69	Cer t48:0_30.16	Cer d48:1_30.46	Cer t48:1_29.55	Cer t48:6_27.71	Cer t48:7_27.60
	JWL0021		ND	ND	ND	0.01	ND	0.00	ND	0.00	ND	0.06	0.01	0.01	0.01	0.02	ND	0.23	0.28	ND	1.20	ND	ND	ND	ND	0.04	ND	ND	ND	ND	0.02	ND	0.09	ND	0.10	0.05	0.49	ND	ND	ND	ND	ND	ND	ND	0.01	ND	0.33	ND	0.06	10.40	ND	0.11	0.01	0.05	0.05	0.08	0.32	ND	ND	ND	ND	0.06	ND	ND	ND	ND	ND	0.13	0.38	0.19	ND	3.56	ND	ND	ND	0.04	0.18	ND	0.02	ND	0.04	0.01	ND	4.69	ND	ND	ND	ND	ND	0.09	ND	0.05	ND	ND	ND	ND	ND	ND	ND	ND	0.53	0.17	0.21	ND	ND	ND	0.01	0.02	0.22	ND	1.78	ND	ND	ND	ND	ND	ND	ND	ND	0.03	ND	ND	0.05	ND	0.02	ND	ND	0.02	ND	ND	0.01	ND	ND	ND	0.28	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.03	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	0.01	0.01	0.01	ND	ND	ND	ND	ND	ND	ND	0.06	0.14	ND	0.02	0.01	0.01	ND	ND	0.00	ND	ND	0.00	ND	0.02	0.02	ND	ND	0.05	ND	ND	0.01	ND	ND	0.01	0.04	0.02	0.04	ND	ND	ND	0.01	0.03	ND	0.03	0.03	ND	ND	ND	ND
	JWL0025		ND	ND	ND	ND	ND	0.03	0.03	ND	ND	0.47	0.03	0.07	0.07	ND	0.12	1.13	1.41	ND	29.44	0.59	ND	ND	0.08	1.39	0.02	ND	0.09	ND	0.12	0.10	ND	ND	1.13	0.88	17.39	0.18	0.03	ND	0.13	0.05	0.09	ND	ND	0.21	1.97	ND	0.66	156.73	2.53	ND	0.17	ND	3.16	1.00	3.08	ND	ND	ND	0.12	ND	ND	ND	ND	0.02	0.36	0.55	2.95	2.00	ND	38.43	ND	0.03	ND	0.53	1.06	ND	ND	0.04	ND	0.12	ND	25.18	0.04	ND	ND	ND	0.05	0.20	0.03	0.26	0.06	ND	7.54	0.08	0.06	ND	ND	ND	7.22	0.86	0.80	0.05	ND	ND	0.12	ND	1.63	ND	11.64	ND	0.07	ND	ND	ND	ND	ND	0.26	0.06	0.16	ND	1.08	0.06	ND	ND	0.04	0.03	0.03	0.02	0.03	ND	4.12	0.04	3.50	0.52	0.06	ND	ND	ND	ND	0.03	ND	ND	0.13	ND	ND	ND	0.02	0.08	ND	ND	0.01	ND	ND	ND	ND	0.02	0.02	ND	ND	ND	ND	ND	ND	ND	0.11	0.03	ND	0.02	0.03	0.04	ND	ND	ND	ND	ND	ND	ND	0.05	0.06	0.02	ND	0.05	ND	ND	0.02	ND	ND	ND	0.06	0.06	0.12	0.03	ND	ND	0.02	0.05	ND	0.05	0.08	0.02	ND	ND	ND
	JWL0028		0.01	ND	ND	0.01	0.01	0.01	0.00	0.02	0.04	0.09	0.09	0.02	0.01	0.04	0.02	2.39	ND	ND	12.25	0.25	ND	ND	0.03	ND	0.01	ND	0.03	0.13	0.03	ND	0.87	ND	0.75	0.08	3.43	0.08	0.02	ND	0.03	ND	0.03	ND	ND	0.03	3.15	ND	ND	45.09	0.72	ND	0.05	0.69	0.75	0.33	ND	0.02	0.08	ND	0.01	ND	0.03	ND	ND	ND	0.12	0.58	0.90	0.17	ND	8.47	0.03	ND	ND	0.15	1.47	ND	ND	0.03	ND	0.04	ND	8.75	ND	0.07	ND	ND	0.04	0.08	ND	ND	0.01	ND	0.72	ND	ND	ND	ND	ND	1.82	1.21	ND	0.01	ND	0.02	0.03	0.27	ND	0.01	3.23	ND	0.02	ND	ND	ND	ND	ND	0.09	0.03	ND	0.01	ND	0.04	ND	0.01	ND	0.02	0.13	ND	0.01	ND	0.43	ND	0.89	0.16	0.02	ND	ND	ND	ND	ND	0.01	ND	0.03	0.07	ND	ND	ND	0.12	0.06	0.05	0.02	ND	ND	ND	0.01	ND	ND	ND	ND	ND	0.03	0.01	ND	ND	0.05	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.02	0.00	ND	ND	ND	0.02	ND	0.01	ND	ND	ND	ND	0.02	0.01	0.02	ND	ND	ND	ND	0.01	ND	0.01	0.01	ND	ND	ND	ND
