																																																																																							
		Glycerolipid Profile;  DAGs																																																																																					
																																																																																							
		ND = not detected																																																																																					
																																																																																							
																																																																																							
			Normalized Intensities  (UNIT = Intensity ratio / mg)																																																																																				
	Sample ID		DG 24:3_9.57	DG 28:0_19.21	DG 28:3_17.42	DG 31:3_24.07	DG 32:1_20.60	DG 32:2_22.33 | 16:1_16:1	DG 32:3_20.67	DG 33:1_22.50	DG 33:1_23.51	DG 34:0_27.91 | 16:0_18:0	DG 34:0_28.16 | 16:0_18:0	DG 34:1_27.05 | 16:0_18:1	DG 34:2_25.78 | 16:1_18:1	DG 34:5_19.60 | 14:0_20:5	DG 35:0_27.46	DG 35:0_28.26 | 17:0_18:0	DG 36:0_28.53 | 18:0_18:0	DG 36:1_27.94	DG 36:2_27.19 | 18:1_18:1	DG 36:3_26.26 | 18:1_18:2	DG 36:4_25.76	DG 36:5_23.89 | 16:0_20:5	DG 36:6_21.41 | 14:0_22:6	DG 37:6_23.50 | 15:0_22:6	DG 38:0_27.78	DG 38:0_29.10	DG 38:1_27.48	DG 38:2_28.00	DG 38:2_28.00 | 18:1_20:1	DG 38:6_24.41 | 18:1_20:5	DG 38:6_25.26 | 16:0_22:6	DG 38:7_22.08 | 16:1_22:6	DG 39:6_26.28 | 17:0_22:6	DG 39:7_24.10	DG 39:7_25.01	DG 40:0_29.71	DG 40:2_28.57 | 18:1_22:1	DG 40:6_26.94 | 18:0_22:6	DG 40:7_25.55 | 18:1_22:6	DG 40:10_17.98 | 20:5_20:5	DG 40:12_14.41	DG 40:12_14.94 | 20:6_20:6	DG 41:0_29.00	DG 41:0_29.94	DG 41:1_28.21	DG 41:1_30.32	DG 41:4_27.23	DG 41:6_27.42 | 19:0_22:6	DG 41:7_26.44 | 19:1_22:6	DG 41:10_21.42	DG 42:1_28.32	DG 42:2_29.08 | 18:1_24:1	DG 42:3_28.58	DG 42:6_27.82 | 20:0_22:6	DG 42:7_27.01 | 20:1_22:6	DG 43:2_29.33	DG 43:3_28.75	DG 43:4_28.07	DG 43:4_28.71	DG 43:7_25.57	DG 43:11_21.98	DG 44:1_28.85	DG 44:1_30.62	DG 44:2_29.60	DG 44:3_29.07	DG 44:4_28.37	DG 44:7_27.82 | 22:1_22:6	DG 45:1_30.82	DG 45:3_29.28	DG 45:4_28.64	DG 45:5_28.78	DG 45:7_25.57	DG 45:7_28.62	DG 45:9_25.35	DG 46:1_31.17	DG 46:2_30.12	DG 46:2_30.62	DG 46:3_29.57	DG 46:5_29.28	DG 46:7_28.39 | 22:6_24:1	DG 46:9_25.37	DG 46:9_26.78	DG 46:9_27.23	DG 46:9_27.60	DG 46:10_24.33
	JWL0021		0.00	0.00	ND	0.00	0.00	ND	0.00	ND	0.00	0.04	0.02	ND	0.00	ND	ND	0.00	0.10	0.00	0.01	ND	ND	0.00	ND	ND	0.00	0.00	ND	0.00	ND	ND	0.01	ND	ND	ND	ND	0.00	ND	0.00	ND	ND	0.00	0.01	ND	ND	0.00	ND	0.00	ND	ND	ND	0.00	ND	ND	ND	ND	ND	0.00	0.00	0.00	ND	0.00	0.00	ND	ND	0.00	ND	0.00	ND	0.00	0.00	ND	ND	0.00	0.00	ND	ND	ND	ND	ND	ND	0.01	0.00	0.01	ND	0.00
	JWL0025		ND	ND	ND	0.00	ND	ND	0.00	0.00	ND	0.03	0.02	0.01	0.01	0.02	ND	0.00	0.18	ND	0.03	0.01	0.00	ND	0.01	ND	0.01	ND	ND	ND	0.01	ND	0.11	0.01	0.00	ND	ND	0.00	ND	ND	0.06	0.03	0.00	0.02	0.00	ND	0.01	0.00	0.00	ND	ND	0.00	0.01	0.01	ND	ND	0.04	0.00	0.00	0.00	0.01	ND	ND	0.01	ND	0.00	0.00	0.00	ND	ND	0.00	0.00	0.01	ND	0.00	ND	ND	0.00	ND	0.00	0.00	0.00	ND	0.00	0.01	0.00	0.00
	JWL0028		ND	0.01	0.00	0.00	ND	ND	0.00	0.00	ND	0.01	0.01	0.00	0.00	0.01	ND	ND	0.07	0.00	0.00	0.00	0.00	0.04	0.02	ND	0.00	0.00	ND	ND	ND	ND	0.11	0.01	ND	0.00	ND	0.00	ND	ND	0.19	0.01	0.00	0.01	0.00	ND	ND	0.00	ND	ND	0.00	0.00	0.00	0.00	0.00	ND	0.06	ND	0.00	0.00	0.00	ND	0.00	ND	0.00	0.00	ND	ND	0.03	0.00	0.00	0.00	0.00	0.00	ND	0.00	0.00	ND	0.00	ND	0.00	0.00	0.00	0.00	0.01	ND	0.00
