																																											
		Lyso-Phosphatidylcholine Profile;  LPC																																									
																																											
		ND = not detected																																									
																																											
																																											
			Normalized Intensities  (UNIT = Intensity ratio / mg)																																								
	Sample ID		LPC 12:0_4.66	LPC 13:0_5.01	LPC 14:0_5.44	LPC 14:1_4.92	LPC 15:0_5.86	LPC 15:1_5.37	LPC 16:0_6.45	LPC 16:1_5.67	LPC 16:2_5.12	LPC 17:0_5.91	LPC 17:0_6.94	LPC 17:1_6.20	LPC 18:0_7.45	LPC 18:0_7.70	LPC 18:1_6.70	LPC 18:2_5.98	LPC 18:3_5.37	LPC 18:4_5.05	LPC 19:0_6.66	LPC 19:0_7.08	LPC 19:0_7.33	LPC 19:0_8.16	LPC 19:1_5.95	LPC 19:1_7.25	LPC 20:0_7.96	LPC 20:1_7.87	LPC 20:2_7.03	LPC 20:3_6.01	LPC 20:3_6.33	LPC 20:4_5.84	LPC 20:5_5.42	LPC 21:5_5.75	LPC 22:1_9.15	LPC 22:5_6.09	LPC 22:5_6.45	LPC 22:6_5.82	LPC 23:5_5.83	LPC 24:1_10.58	LPC 24:5_7.08	LPC 24:6_6.58	LPC 26:4_10.03
	JWL0021		ND	ND	3.08	ND	0.34	ND	5.30	1.03	0.12	ND	0.01	0.08	ND	0.06	1.42	0.66	0.50	0.07	ND	ND	ND	ND	ND	ND	0.05	0.03	0.07	ND	0.09	0.09	0.97	ND	ND	ND	ND	0.21	ND	ND	ND	ND	ND
	JWL0025		0.67	0.10	39.48	0.27	3.44	ND	42.43	30.11	2.61	1.20	0.52	1.85	0.10	0.42	29.33	7.77	2.78	0.58	0.21	0.08	0.20	ND	0.10	0.09	1.80	2.59	0.91	0.39	0.50	1.00	11.36	0.18	1.03	0.06	ND	2.56	0.47	ND	0.47	ND	ND
	JWL0028		0.18	0.08	9.56	0.13	3.52	0.33	15.03	3.14	0.05	0.58	1.75	0.60	ND	0.28	8.08	4.87	1.78	0.44	ND	0.02	0.07	ND	ND	0.06	0.12	0.40	1.02	0.04	0.35	0.49	1.86	0.08	0.34	0.04	ND	2.26	ND	ND	0.02	ND	0.04
	JWL0034		1.55	0.14	37.98	0.53	3.28	0.43	32.08	25.41	0.98	1.35	0.85	1.23	0.14	0.58	25.89	5.97	2.28	0.84	ND	0.21	0.18	ND	ND	0.09	ND	1.24	0.75	0.09	0.49	1.10	19.83	0.06	1.51	0.76	0.08	23.10	ND	ND	0.14	0.11	0.06
	JWL0039		2.33	0.13	64.92	0.57	5.23	0.24	86.83	24.01	1.42	2.19	3.25	1.82	0.38	2.30	45.01	10.56	1.72	0.80	ND	0.24	3.10	ND	ND	0.25	1.19	3.56	1.60	0.29	0.69	1.01	13.75	0.85	4.41	0.88	0.07	8.24	0.17	0.12	0.51	0.14	ND
	JWL0042		ND	ND	2.06	ND	1.57	ND	21.35	0.51	ND	0.39	2.36	0.30	0.37	4.80	3.27	0.23	ND	ND	0.19	ND	0.09	0.16	0.07	0.30	1.18	0.37	0.30	0.30	0.08	ND	0.17	ND	ND	ND	ND	1.70	0.07	ND	ND	ND	ND
	JWL0043		ND	ND	0.39	ND	0.25	ND	3.41	ND	ND	ND	0.39	ND	ND	1.53	0.59	0.06	ND	ND	ND	ND	ND	ND	ND	0.05	0.32	0.10	0.04	ND	ND	ND	ND	ND	ND	ND	ND	0.23	ND	ND	ND	ND	ND
	JWL0044		ND	ND	3.68	0.37	3.26	ND	33.40	0.96	ND	1.55	6.07	0.80	0.81	15.27	5.59	0.60	ND	ND	0.80	0.17	0.49	0.79	0.26	0.92	4.17	1.06	0.66	0.20	0.17	ND	0.33	ND	0.65	0.14	ND	1.68	0.16	ND	ND	ND	ND
	JWL0058		3.55	0.18	62.10	0.59	3.81	0.18	84.34	26.34	3.06	1.43	1.64	1.46	ND	1.96	44.25	10.73	2.78	1.00	0.18	ND	0.22	ND	ND	0.08	1.36	1.43	0.85	0.30	0.71	1.33	44.04	ND	1.47	0.65	ND	9.14	0.59	0.12	0.14	ND	ND
	JWL0062		ND	0.77	19.21	ND	10.04	0.16	58.04	7.90	ND	1.15	2.76	1.88	ND	2.71	20.81	1.15	0.61	ND	0.98	0.19	ND	ND	0.55	0.35	2.39	2.15	0.92	ND	0.73	0.48	10.14	0.07	0.11	0.32	0.23	5.62	0.39	ND	ND	ND	ND
	JWL0070		ND	0.17	22.26	0.13	7.72	0.55	58.92	31.42	0.32	1.30	14.10	12.51	1.94	3.25	146.22	7.67	5.30	ND	ND	ND	ND	0.93	ND	5.68	ND	12.32	8.37	ND	7.34	8.81	26.44	0.48	3.29	3.41	0.36	25.42	0.44	3.15	0.36	0.40	0.30
	JWL0099		ND	0.04	5.20	ND	1.13	0.04	9.83	2.04	ND	0.83	1.94	1.07	0.39	0.81	27.46	0.59	0.04	ND	0.13	0.16	ND	0.09	ND	1.11	ND	3.51	2.20	0.35	0.66	0.50	0.95	ND	0.69	0.22	0.11	2.72	0.18	0.25	0.07	0.12	ND
	JWL0100		ND	ND	2.90	ND	0.76	0.08	6.32	0.98	ND	0.95	1.50	0.70	0.24	0.67	13.90	0.34	ND	ND	0.20	0.29	ND	0.07	0.12	1.02	0.35	3.20	1.03	0.47	0.27	0.15	0.33	0.02	1.13	0.09	0.04	0.92	0.20	0.27	0.04	0.03	0.04
	JWL0131		ND	ND	0.51	ND	0.11	ND	1.67	ND	ND	0.03	0.03	ND	ND	0.14	0.60	ND	ND	ND	ND	ND	ND	ND	ND	0.03	ND	0.09	0.03	ND	0.01	ND	0.06	ND	ND	ND	ND	0.25	ND	ND	ND	ND	0.04
	JWL0148		ND	ND	0.11	ND	0.04	ND	0.49	ND	ND	ND	0.01	ND	ND	0.02	0.14	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.01	ND	ND	ND	ND	0.02	ND	ND	ND	ND	0.08	ND	ND	ND	ND	0.04
																																											
	Total Analytes	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	Total MS2 Confirmed	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
