																										
		Lyso-Phosphatidylethanolamine Profile;  LPE																								
																										
		ND = not detected																								
																										
																										
			Normalized Intensities  (UNIT = Intensity ratio / mg)																							
	Sample ID		LPE 14:0_5.55	LPE 15:0_6.01	LPE 16:0_6.63	LPE 16:1_5.78	LPE 16:1_6.08	LPE 17:0_7.23	LPE 17:1_6.29	LPE 17:1_6.62	LPE 18:0_7.90	LPE 18:1_6.87	LPE 18:2_6.12	LPE 19:0_8.49	LPE 19:1_7.46	LPE 20:0_8.97	LPE 20:0_9.25	LPE 20:1_8.08	LPE 20:2_7.20	LPE 20:4_5.95	LPE 20:5_5.41	LPE 20:7_7.20	LPE 21:1_8.72	LPE 21:2_7.87	LPE 21:5_5.45	LPE 21:7_7.70
	JWL0021		ND	ND	8.83	ND	ND	0.67	ND	ND	5.00	1.62	0.05	0.09	ND	ND	0.06	0.94	0.20	0.02	0.45	ND	0.01	ND	0.01	ND
	JWL0025		0.24	0.13	72.12	0.22	0.07	3.80	0.09	0.15	46.87	16.07	0.48	1.36	0.51	0.15	0.76	21.26	1.08	0.09	1.17	0.24	0.16	0.18	0.23	ND
	JWL0028		ND	ND	0.37	ND	ND	ND	ND	ND	0.26	0.09	ND	ND	ND	ND	ND	0.05	ND	ND	0.07	ND	ND	ND	0.07	ND
	JWL0034		ND	ND	1.59	ND	ND	ND	ND	ND	1.74	0.85	ND	ND	ND	ND	ND	0.37	ND	ND	0.87	ND	ND	0.11	0.23	ND
	JWL0039		ND	ND	7.81	ND	ND	0.97	ND	ND	19.72	1.80	ND	0.92	ND	ND	0.46	2.55	0.13	ND	1.58	ND	ND	0.15	0.45	ND
	JWL0042		0.24	0.47	27.74	ND	0.06	18.86	0.13	1.16	90.26	4.01	0.08	4.72	0.47	0.32	4.57	2.34	0.33	0.37	1.34	1.50	ND	ND	ND	0.26
	JWL0043		ND	0.05	5.02	ND	ND	5.20	ND	ND	30.68	0.88	ND	1.67	0.06	ND	1.66	0.76	ND	0.15	0.48	0.63	ND	ND	ND	0.12
	JWL0044		0.37	0.93	45.89	0.11	ND	44.15	1.13	0.26	207.99	8.08	0.52	15.39	1.81	1.41	17.53	8.22	0.74	3.27	6.87	1.39	0.44	0.29	ND	0.31
	JWL0058		1.60	0.30	120.41	0.87	0.16	6.28	0.20	0.33	80.47	26.88	1.50	1.61	0.42	0.12	1.42	11.62	0.95	0.10	2.95	0.26	0.17	ND	0.38	ND
	JWL0062		2.61	4.67	171.35	2.01	0.67	33.64	1.13	0.92	245.24	72.85	0.78	5.97	4.49	ND	2.69	42.83	6.10	1.81	10.98	0.57	1.56	ND	0.11	ND
	JWL0070		2.37	1.54	34.73	5.58	ND	22.34	3.02	ND	44.85	161.05	3.35	10.57	14.84	0.79	2.23	91.93	21.87	10.82	41.16	0.26	5.60	1.34	ND	0.66
	JWL0099		0.90	0.36	5.35	1.46	ND	3.11	0.19	ND	17.74	26.20	0.19	2.69	3.17	0.25	0.75	31.35	4.72	1.04	2.03	0.11	1.76	0.22	ND	0.08
	JWL0100		0.25	0.26	3.69	0.24	0.02	2.79	0.13	ND	14.46	13.00	0.06	2.81	2.78	0.18	0.66	31.79	2.39	0.67	1.61	ND	2.12	0.18	0.02	ND
	JWL0131		ND	0.05	3.42	0.02	ND	1.67	ND	0.03	4.68	1.23	0.01	0.08	0.08	ND	0.07	1.04	0.20	0.14	0.71	ND	0.01	0.03	ND	ND
	JWL0148		ND	0.01	0.88	ND	ND	0.19	ND	ND	1.30	0.33	ND	0.01	0.01	ND	ND	0.21	0.02	0.06	0.24	ND	ND	ND	ND	ND
																										
	Total Analytes	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	Total MS2 Confirmed	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
