																																																																				
		Plasmanyl/Plasmenyl Phosphatidylcholine  Profile; P-PC																																																																		
																																																																				
		ND = not detected																																																																		
																																																																				
																																																																				
			Normalized Intensities  (UNIT = Intensity ratio / mg)																																																																	
	Sample ID		P-PC 29:0_18.35	P-PC 33:0_23.42	P-PC 33:3_20.82	P-PC 33:4_24.28	P-PC 34:1_21.32	P-PC 34:4_13.94	P-PC 34:4_14.23	P-PC 34:5_12.52	P-PC 34:5_18.10	P-PC 35:2_24.48	P-PC 35:3_14.01	P-PC 35:4_12.41	P-PC 35:4_15.11	P-PC 35:4_15.58	P-PC 35:4_26.48	P-PC 35:5_13.57	P-PC 35:5_13.92	P-PC 35:5_19.51	P-PC 36:4_17.62	P-PC 36:4_23.03	P-PC 36:5_15.25	P-PC 36:6_13.66	P-PC 36:6_19.82	P-PC 36:7_13.83	P-PC 37:4_15.27	P-PC 37:4_19.05	P-PC 37:5_12.84	P-PC 37:5_13.50	P-PC 37:5_16.80	P-PC 37:5_26.76	P-PC 37:6_13.08	P-PC 37:6_25.35	P-PC 37:7_23.26	P-PC 38:5_19.42	P-PC 38:5_19.80	P-PC 38:6_15.85	P-PC 38:6_18.00	P-PC 38:7_20.03	P-PC 38:8_17.25	P-PC 38:9_22.26	P-PC 38:9_23.94	P-PC 39:2_27.48	P-PC 39:5_15.73	P-PC 39:5_16.89	P-PC 39:6_13.53	P-PC 39:6_14.00	P-PC 39:6_26.94	P-PC 39:7_20.57	P-PC 39:8_24.78	P-PC 39:9_16.89	P-PC 40:6_21.51	P-PC 40:7_17.78	P-PC 40:8_21.66	P-PC 40:9_19.08	P-PC 40:9_24.75	P-PC 40:9_25.69	P-PC 40:9_27.16	P-PC 41:5_28.26	P-PC 41:6_17.35	P-PC 41:7_14.77	P-PC 41:9_11.75	P-PC 41:10_24.46	P-PC 42:10_13.81	P-PC 43:10_12.72	P-PC 43:10_26.53	P-PC 44:11_15.15
	JWL0021		ND	ND	ND	0.10	ND	0.15	ND	0.11	ND	0.01	ND	0.04	ND	ND	ND	0.01	ND	ND	0.33	ND	0.13	0.02	ND	3.73	0.08	ND	0.01	0.04	ND	0.34	ND	ND	ND	0.18	ND	0.02	0.03	0.08	0.08	ND	0.08	ND	0.01	0.07	ND	0.01	ND	0.11	0.03	0.06	ND	ND	ND	0.05	ND	ND	ND	ND	ND	ND	0.02	0.11	ND	0.02	0.03	ND
	JWL0025		0.09	0.36	0.11	ND	ND	0.37	0.07	ND	ND	ND	ND	0.38	0.11	ND	ND	0.36	ND	ND	ND	0.49	0.27	0.31	ND	8.39	0.35	ND	0.19	0.29	0.07	0.06	ND	0.18	0.06	0.62	0.13	0.23	ND	0.26	0.27	ND	0.11	ND	0.27	0.18	ND	0.09	0.11	0.55	ND	0.32	ND	ND	ND	0.11	0.10	ND	0.36	ND	0.06	ND	0.12	ND	ND	0.10	0.18	ND
	JWL0028		ND	ND	ND	ND	ND	0.11	0.07	ND	ND	ND	0.09	0.23	0.09	0.03	ND	ND	0.06	ND	0.26	0.04	0.17	ND	ND	ND	0.24	ND	0.06	0.25	0.14	ND	ND	ND	ND	0.23	ND	0.09	0.02	ND	ND	ND	0.04	ND	0.06	0.27	0.06	0.04	ND	0.13	ND	0.23	ND	ND	ND	0.13	ND	ND	ND	ND	0.07	0.06	0.07	0.13	ND	0.06	ND	0.05
	JWL0034		0.06	0.23	ND	0.13	ND	ND	ND	ND	ND	ND	ND	0.73	0.59	0.16	ND	ND	0.09	ND	ND	0.08	ND	ND	ND	ND	0.92	ND	0.74	1.02	0.26	ND	ND	ND	ND	ND	0.18	ND	ND	ND	0.53	ND	0.09	ND	0.47	0.46	0.10	0.40	ND	0.23	ND	ND	0.08	0.07	ND	0.22	ND	ND	0.11	ND	0.34	0.07	0.46	ND	0.19	0.27	0.16	0.09
	JWL0039		ND	0.35	0.15	ND	ND	ND	ND	ND	ND	ND	ND	0.44	ND	0.13	0.25	0.43	ND	ND	ND	ND	ND	ND	ND	8.03	0.66	ND	0.25	0.46	0.40	ND	ND	0.14	ND	ND	ND	0.35	ND	ND	ND	ND	ND	ND	ND	0.33	ND	0.09	ND	0.20	0.10	ND	0.51	ND	ND	0.52	ND	ND	0.33	0.11	0.15	ND	0.26	ND	ND	0.14	0.21	ND
	JWL0042		ND	ND	0.34	0.45	0.20	ND	ND	ND	0.06	ND	ND	ND	ND	ND	0.17	ND	ND	0.07	0.25	0.31	0.45	0.30	0.30	ND	ND	ND	ND	ND	ND	0.09	0.28	0.27	0.49	ND	0.17	0.12	0.27	0.22	ND	0.19	0.07	ND	ND	1.05	ND	ND	0.29	ND	ND	ND	0.57	0.14	0.19	ND	ND	0.14	ND	ND	ND	ND	ND	0.41	ND	ND	ND	ND
	JWL0043		0.21	ND	0.10	0.33	ND	ND	ND	ND	0.15	ND	ND	ND	ND	ND	0.24	ND	ND	ND	ND	ND	ND	0.09	0.64	ND	ND	ND	ND	ND	ND	0.28	ND	0.10	0.15	0.18	ND	ND	ND	0.40	ND	ND	0.09	ND	ND	0.06	ND	ND	0.15	ND	0.15	ND	0.25	0.07	0.13	0.46	ND	0.06	ND	0.03	ND	ND	ND	0.13	ND	ND	0.14	ND
	JWL0044		1.03	ND	ND	ND	0.61	0.15	0.17	0.39	0.16	ND	ND	ND	0.78	ND	ND	ND	0.17	0.18	0.19	0.70	0.37	ND	0.54	ND	ND	0.42	ND	0.16	0.31	ND	1.27	ND	ND	ND	0.82	ND	0.64	0.61	0.18	0.35	ND	ND	ND	0.26	ND	ND	ND	0.12	ND	0.44	ND	0.31	0.51	ND	0.34	0.32	ND	0.20	ND	ND	ND	ND	ND	ND	ND	ND
	JWL0058		0.19	1.27	0.35	ND	ND	ND	ND	ND	ND	0.46	ND	1.20	ND	0.38	0.17	ND	0.19	ND	ND	ND	ND	0.36	ND	17.00	7.83	0.09	0.68	0.77	0.41	ND	ND	0.20	0.37	ND	0.22	0.51	ND	0.30	ND	ND	ND	ND	1.45	0.66	0.18	0.18	0.13	0.14	ND	ND	0.09	ND	ND	ND	0.21	ND	0.19	0.12	0.46	ND	1.32	ND	0.10	0.63	ND	ND
	JWL0062		ND	1.85	ND	0.49	0.27	ND	1.26	0.29	0.77	9.29	0.18	0.68	ND	ND	0.12	ND	ND	0.49	ND	ND	ND	ND	0.82	5.35	3.26	1.09	0.77	1.80	ND	ND	0.10	0.55	ND	ND	ND	ND	0.91	ND	0.24	0.54	0.27	0.58	1.87	5.94	0.35	0.94	0.30	0.34	ND	ND	ND	ND	ND	1.15	ND	0.12	ND	ND	4.63	0.36	1.21	ND	ND	1.94	ND	ND
