																																																																				
		Plasmanyl/Plasmenyl Phosphatidylethanolamine Profile; P-PE																																																																		
																																																																				
		ND = not detected																																																																		
																																																																				
																																																																				
			Normalized Intensities  (UNIT = Intensity ratio / mg)																																																																	
	Sample ID		P-PE 29:0_10.59	P-PE 32:1_20.16	P-PE 32:4_14.60	P-PE 33:5_15.08	P-PE 34:1_24.03	P-PE 34:1_24.30 | P-16:0/18:1	P-PE 34:3_20.01	P-PE 34:4_18.50	P-PE 34:5_14.48 | P-14:0/20:5	P-PE 35:3_23.94	P-PE 35:5_19.19	P-PE 36:3_21.60	P-PE 36:4_21.01 | P-16:0/20:4	P-PE 36:4_22.82	P-PE 36:5_16.78 | P-16:0/20:5	P-PE 36:5_18.35 | P-16:0/20:5	P-PE 36:6_14.97 | P-16:1/20:5	P-PE 36:6_15.99	P-PE 36:7_16.32	P-PE 37:2_26.07 | P-20:1/17:1	P-PE 37:4_23.10 | P-17:0/20:4	P-PE 37:5_19.78 | P-17:0/20:5	P-PE 37:5_20.53 | P-17:0/20:5	P-PE 37:6_17.98 | P-15:0_22:6	P-PE 37:6_20.01	P-PE 37:7_19.78	P-PE 38:1_26.78	P-PE 38:1_27.57 | 16:0_P-22:1	P-PE 38:2_26.64 | P-20:1/18:1	P-PE 38:3_25.73 | 18:2_P-20:1	P-PE 38:4_23.25	P-PE 38:4_24.98 | P-18:0/20:4	P-PE 38:5_21.12 | P-18:0/20:5	P-PE 38:5_22.67 | P-18:0/20:5	P-PE 38:6_18.85 | P-18:1/20:5	P-PE 38:6_20.14 | P-16:0/22:6	P-PE 38:7_20.69	P-PE 38:8_19.23	P-PE 39:6_20.89 | P-19:1/20:5	P-PE 39:7_22.83	P-PE 39:8_20.60	P-PE 40:2_27.71 | P-20:1/20:1	P-PE 40:2_27.71 | P-22:1/18:1	P-PE 40:5_23.42 | P-20:0/20:5	P-PE 40:5_25.12 | P-20:1/20:4	P-PE 40:6_22.91 | P-20:1/20:5	P-PE 40:6_24.26 | P-18:0/22:6	P-PE 40:7_19.78 | P-20:2/20:5	P-PE 40:7_20.60 | P-18:1/22:6	P-PE 41:3_27.35	P-PE 41:5_22.35	P-PE 41:5_25.14	P-PE 41:5_26.12 | P-21:1/20:4	P-PE 41:6_24.76 | P-21:1/20:5	P-PE 42:2_28.26 | P-22:1/20:1	P-PE 42:3_27.76	P-PE 42:5_26.17 | P-22:0/20:5	P-PE 42:5_26.82 | P-22:1/20:4	P-PE 42:6_24.91 | P-20:0/22:6	P-PE 42:6_25.92 | P-22:1/20:5	P-PE 42:7_23.71	P-PE 42:7_24.48 | P-20:1/22:6	P-PE 43:6_26.05 | P-21:0_22:6	P-PE 43:7_25.75 | P-21:1/22:6	P-PE 44:6_26.71 | P-22:0/22:6	P-PE 44:7_26.53 | P-22:1/22:6
	JWL0021		ND	ND	0.04	ND	0.02	0.28	ND	0.30	ND	0.18	0.14	0.03	0.12	0.05	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.07	ND	1.00	ND	0.08	ND	0.04	0.28	ND	ND	ND	0.18	ND	0.04	0.02	ND	ND	ND	0.10	2.89	ND	ND	ND	ND	0.02	0.03	ND	0.05	ND	ND	ND	ND	ND	0.55	0.09	ND	ND	ND	ND	0.10
	JWL0025		ND	0.18	0.48	0.26	ND	3.36	0.08	ND	ND	0.21	0.63	ND	0.57	0.32	ND	5.80	ND	ND	ND	ND	ND	0.06	0.13	ND	0.06	ND	ND	0.18	21.27	0.19	0.24	ND	ND	ND	0.28	ND	0.09	ND	ND	0.44	0.30	ND	5.28	9.94	2.03	28.22	ND	ND	ND	ND	ND	0.15	ND	ND	ND	ND	3.51	0.53	3.76	7.94	0.18	ND	0.06	ND	ND	ND
	JWL0028		0.04	ND	0.19	0.04	ND	0.23	0.12	ND	ND	0.09	0.19	ND	0.06	0.02	ND	ND	ND	ND	0.03	0.02	ND	0.02	ND	ND	0.18	ND	0.06	0.02	0.93	ND	ND	ND	ND	0.06	ND	0.27	0.03	ND	ND	0.03	0.06	ND	ND	ND	0.05	1.62	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	0.08	ND	0.91	0.05	ND	0.50	ND	ND	ND	0.02
