																																																																																																									
		Phosphatidylcholine  Profile;  PC																																																																																																							
																																																																																																									
		ND = not detected																																																																																																							
																																																																																																									
																																																																																																									
			Normalized Intensities  (UNIT = Intensity ratio / mg)																																																																																																						
	Sample ID		PC 30:0_16.01	PC 30:1_13.46 | 14:0_16:1	PC 31:1_14.85	PC 32:1_16.73 | 14:0_18:1	PC 32:1_16.73 | 16:0_16:1	PC 32:2_13.93 | 16:1/16:1	PC 32:2_14.21 | 14:0_18:2	PC 32:3_12.23	PC 32:3_12.50 | 14:0_18:3	PC 32:3_12.89 | 14:0_18:3	PC 32:4_11.55 | 14:0/18:4	PC 32:5_10.52 | 12:0_20:5	PC 33:1_18.28 | 15:0_18:1	PC 33:1_18.83	PC 33:2_15.51 | 16:1_17:1	PC 33:3_13.34 | 15:0_18:3	PC 33:3_13.81 | 15:0_18:3	PC 33:4_12.66	PC 33:5_11.39 | 13:0/20:5	PC 34:1_20.73 | 16:0_18:1	PC 34:1_20.98 | 16:0_18:1	PC 34:2_17.44 | 16:1_18:1	PC 34:2_17.92 | 16:0_18:2	PC 34:2_17.92 | 16:1_18:1	PC 34:3_14.76 | 16:1_18:2	PC 34:3_15.40 | 16:0_18:3	PC 34:4_12.92 | 16:1_18:3	PC 34:4_13.33 | 14:0_20:4	PC 34:4_14.00 | 14:0_20:4	PC 34:4_14.00 | 16:0_18:4	PC 34:5_12.41 | 14:0/20:5	PC 34:6_11.27 | 12:0_22:6	PC 35:3_16.57	PC 35:5_13.31 | 15:0_20:5	PC 35:5_13.69 | 15:0/20:5	PC 35:6_11.83 | 15:1_20:5	PC 35:6_12.28 | 13:0_22:6	PC 36:2_21.57 | 18:1/18:1	PC 36:3_18.48 | 18:1_18:2	PC 36:3_19.21 | 16:0_20:3	PC 36:4_15.83 | 18:1_18:3	PC 36:4_16.60 | 16:0_20:4	PC 36:4_17.69 | 16:0_20:4	PC 36:5_14.41 | 14:0_22:5	PC 36:5_15.25 | 16:0/20:5	PC 36:6_12.84 | 16:1/20:5	PC 36:6_13.50 | 14:0/22:6	PC 36:7_11.36 | 16:2_20:5	PC 37:5_16.53 | 17:0/20:5	PC 37:5_17.21 | 17:0_20:5	PC 37:6_14.16 | 17:1_20:5	PC 37:6_14.50 | 15:0_22:6	PC 37:6_14.50 | 17:1_20:5	PC 37:6_15.00 | 15:0_22:6	PC 38:5_17.12	PC 38:5_17.12 | 18:1_20:4	PC 38:5_18.17 | 18:1/20:4	PC 38:5_18.17 | 16:0_22:5	PC 38:5_19.50 | 16:0_22:5	PC 38:5_19.50 | 18:0_20:5	PC 38:6_15.73 | 18:1/20:5	PC 38:6_16.87 | 16:0/22:6	PC 38:7_13.50 | 18:2/20:5	PC 38:7_14.01 | 16:1_22:6	PC 38:7_14.84 | 16:1_22:6	PC 38:8_11.96 | 18:3_20:5	PC 38:8_12.26 | 16:2_22:6	PC 38:9_11.00 | 18:4_20:5	PC 39:6_16.98 | 17:1_22:5	PC 39:6_18.46 | 17:0/22:6	PC 39:6_19.05 | 17:0/22:6	PC 39:7_15.57 | 17:1_22:6	PC 39:7_15.84 | 17:1_22:6	PC 39:7_16.76 | 17:1_22:6	PC 40:6_18.57 | 18:1/22:5	PC 40:6_19.73 | 20:1_20:5	PC 40:6_20.01 | 18:1/22:5	PC 40:6_21.19 | 18:0/22:6	PC 40:7_16.55 | 20:2_20:5	PC 40:7_17.37 | 18:1/22:6	PC 40:8_14.26 | 20:3_20:5	PC 40:8_14.80 | 18:2_22:6	PC 40:9_12.61 | 20:4_20:5	PC 40:9_13.11 | 20:4_20:5	PC 40:9_13.11 | 18:3_22:6	PC 40:10_11.75 | 20:5/20:5	PC 41:10_12.51	PC 42:6_21.94 | 20:0_22:6	PC 42:6_23.75 | 20:5_22:1	PC 42:7_21.50 | 20:1/22:6	PC 42:8_18.35 | 20:2_22:6	PC 42:8_19.00 | 20:2_22:6	PC 42:9_14.94 | 20:3_22:6	PC 42:9_15.66 | 20:3_22:6	PC 42:10_13.43 | 20:5_22:5	PC 42:10_13.76 | 20:4_22:6	PC 42:10_14.40 | 20:4_22:6	PC 42:11_12.71 | 20:5/22:6	PC 44:7_25.10 | 22:1_22:6	PC 44:10_16.14 | 20:5_24:5	PC 44:11_14.71 | 22:5_22:6	PC 44:11_15.85 | 22:5_22:6	PC 44:12_13.83 | 22:6/22:6
	JWL0021		ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.28	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.08	0.10	0.37	5.23	0.18	ND	0.24	0.42	ND	ND	ND	ND	ND	ND	ND	0.13	ND	7.43	1.69	4.22	0.17	0.16	ND	ND	ND	ND	0.26	ND	ND	0.12	ND	ND	0.06	1.85	5.28	0.92	1.25	0.19	0.72	0.19	0.23	ND	ND	ND	0.04	ND	ND	ND	ND	ND	ND	0.06	1.31	0.07	0.66	0.06	ND	0.59	1.94	0.05	ND	ND	ND	0.03	ND	ND	0.07	ND	0.03	ND	1.48	ND	ND	ND	ND	0.33
	JWL0025		ND	0.73	ND	2.71	0.33	0.98	0.69	0.24	0.46	0.11	2.35	0.94	0.09	0.07	ND	0.09	ND	0.08	0.12	0.11	1.17	2.45	ND	ND	1.39	0.39	0.33	0.55	1.39	2.50	38.37	0.80	ND	1.67	1.62	ND	0.14	0.78	0.60	0.17	0.25	0.44	1.12	1.05	31.35	12.63	22.37	1.37	ND	ND	ND	0.79	ND	1.05	0.49	0.49	ND	1.50	ND	0.31	12.99	18.19	3.48	9.27	0.57	0.92	0.81	0.56	0.44	ND	ND	0.27	0.15	ND	0.35	0.89	ND	ND	0.25	6.14	0.14	2.19	0.22	ND	0.97	7.44	0.32	0.40	0.17	0.36	0.09	ND	ND	ND	0.16	0.15	0.12	6.63	ND	0.21	ND	ND	0.73
	JWL0028		ND	0.22	0.05	0.79	ND	ND	1.50	ND	1.13	0.15	9.59	2.01	0.18	ND	ND	0.17	0.13	ND	0.30	0.03	0.23	0.26	0.54	ND	0.46	0.56	ND	1.16	ND	6.87	25.30	1.64	ND	3.51	1.48	0.14	0.29	0.06	0.49	ND	0.31	0.88	0.33	0.39	10.18	4.25	18.72	ND	2.38	ND	0.34	3.06	ND	1.35	0.26	0.26	ND	0.43	ND	0.22	6.41	14.31	5.14	3.97	0.29	4.38	0.19	1.58	0.09	1.28	0.07	0.43	0.06	ND	ND	0.18	ND	ND	0.76	5.39	ND	4.93	0.39	ND	2.85	3.65	0.12	ND	0.17	0.10	0.45	0.10	ND	0.21	ND	0.42	ND	ND	0.07	ND	ND	ND	0.45
