																																																															
		Phosphatidylethanolamine Profile;  PE																																																													
																																																															
		ND = not detected																																																													
																																																															
																																																															
			Normalized Intensities  (UNIT = Intensity ratio / mg)																																																												
	Sample ID		PE 32:0_21.41	PE 32:1_17.94 | 16:0_16:1	PE 32:3_14.60	PE 32:5_10.05	PE 33:1_20.48 | 16:0_17:1	PE 33:2_20.01	PE 34:1_21.89 | 16:0_18:1	PE 34:1_22.17 | 16:0_18:1	PE 34:2_18.58 | 16:1_18:1	PE 34:3_18.50	PE 34:4_14.86 | 14:0_20:4	PE 34:5_13.07 | 14:0_20:5	PE 35:2_24.32	PE 35:4_19.23	PE 35:5_14.09 | 15:0_20:5	PE 35:5_14.50 | 15:0_20:5	PE 36:1_25.67 | 18:0_18:1	PE 36:2_22.41 | 18:1_18:1	PE 36:2_22.69 | 18:1/18:1	PE 36:3_19.76	PE 36:3_22.85	PE 36:4_18.89 | 16:0_20:4	PE 36:5_16.28 | 16:0/20:5	PE 36:6_13.53 | 16:1_20:5	PE 36:6_14.27 | 14:0_22:6	PE 37:4_21.05 | 17:0_20:4	PE 37:5_17.76 | 17:0_20:5	PE 37:5_18.42 | 17:0_20:5	PE 37:6_16.00 | 15:0_22:6	PE 38:2_25.80 | 18:1_20:1	PE 38:4_23.14 | 18:0_20:4	PE 38:5_19.35 | 18:1_20:4	PE 38:5_20.62 | 18:0_20:5	PE 38:6_16.78 | 18:1_20:5	PE 38:6_18.07 | 16:0/22:6	PE 39:5_22.00 | 19:0_20:5	PE 39:5_22.76 | 19:0_20:5	PE 39:6_19.64 | 17:0_22:6	PE 39:6_20.23 | 17:0_22:6	PE 39:7_16.58 | 17:1_22:6	PE 40:5_23.42 | 20:1_20:4	PE 40:5_24.73 | 18:0_22:5	PE 40:6_20.89 | 20:1_20:5	PE 40:6_22.35 | 18:0/22:6	PE 40:7_18.57 | 18:1_22:6	PE 40:8_15.69 | 18:2_22:6	PE 40:9_13.76	PE 41:6_23.67 | 19:0_22:6	PE 41:6_24.35 | 19:0_22:6	PE 41:7_20.62 | 19:1_22:6	PE 42:5_26.14 | 20:4_22:1	PE 42:6_24.76 | 20:5_22:1	PE 42:6_25.73 | 20:0_22:6	PE 42:7_22.64 | 20:1_22:6	PE 42:8_19.53 | 20:2/22:6	PE 42:10_13.69	PE 42:11_13.39 | 20:5_22:6	PE 43:10_15.26	PE 44:6_26.66 | 20:5_24:1	PE 44:7_25.76 | 22:1/22:6	PE 44:12_14.65 | 22:6_22:6
	JWL0021		ND	ND	ND	0.02	ND	ND	ND	ND	ND	ND	ND	0.08	ND	ND	ND	0.06	ND	ND	ND	ND	ND	ND	12.59	ND	0.10	ND	ND	ND	0.04	ND	0.14	ND	2.60	ND	12.24	ND	ND	0.06	ND	ND	ND	0.05	ND	1.98	2.23	0.17	0.03	ND	ND	ND	ND	ND	ND	ND	0.17	ND	ND	ND	ND	ND	ND
	JWL0025		ND	0.23	0.09	ND	0.17	0.09	0.31	1.12	0.06	0.24	ND	ND	ND	0.12	ND	0.25	0.34	0.25	ND	0.07	ND	3.45	63.86	0.18	ND	0.07	0.56	1.40	0.26	2.17	ND	ND	11.96	3.47	53.72	ND	0.12	0.35	ND	ND	0.32	0.19	3.90	8.10	11.55	ND	0.08	ND	0.05	0.09	0.26	3.37	ND	3.94	0.36	ND	ND	8.84	0.14	1.79	ND
	JWL0028		ND	ND	0.05	0.76	ND	0.15	ND	ND	ND	0.11	0.12	0.15	ND	ND	0.06	0.06	ND	ND	ND	ND	ND	ND	10.44	0.03	0.12	ND	ND	ND	0.12	ND	0.10	0.11	2.08	0.86	14.54	0.05	ND	0.94	0.41	0.06	ND	0.03	ND	2.65	2.46	0.15	0.03	0.11	0.02	0.05	ND	ND	0.02	0.50	0.19	0.57	ND	6.29	ND	ND	ND
	JWL0034		0.07	0.29	0.24	0.81	ND	0.41	0.20	0.74	0.06	0.28	0.07	1.69	ND	ND	0.07	0.40	0.25	0.09	0.51	ND	ND	0.65	60.76	0.52	1.71	ND	0.93	1.37	ND	0.47	0.24	ND	17.26	8.75	71.68	0.09	0.12	0.94	1.80	0.42	0.17	0.12	3.27	20.01	21.32	ND	0.15	0.10	0.14	0.17	ND	4.91	ND	3.79	0.26	2.60	0.19	ND	ND	4.36	ND
	JWL0039		0.13	0.91	0.22	ND	0.15	ND	ND	4.45	0.51	0.30	0.36	1.86	0.11	0.15	ND	0.51	2.11	0.12	1.52	0.14	0.16	3.36	124.72	0.43	1.33	ND	4.76	4.53	ND	0.83	1.71	ND	64.51	9.55	104.30	0.77	ND	3.22	3.88	0.14	ND	ND	6.78	51.79	14.20	ND	ND	ND	0.66	0.12	0.37	10.53	ND	5.59	0.62	0.80	ND	ND	ND	5.16	0.44
	JWL0042		ND	ND	ND	ND	0.17	ND	ND	0.08	ND	ND	ND	0.09	ND	ND	ND	ND	ND	ND	ND	ND	0.12	ND	2.51	ND	0.31	0.26	ND	ND	0.35	ND	ND	ND	4.96	ND	14.06	ND	ND	ND	4.93	ND	ND	2.71	ND	17.56	2.55	ND	ND	ND	ND	ND	ND	ND	0.76	0.44	0.13	ND	ND	ND	ND	ND	ND
	JWL0043		ND	ND	ND	0.03	ND	0.24	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.12	0.15	ND	0.48	0.12	ND	ND	ND	2.86	ND	6.29	ND	ND	ND	2.66	0.05	ND	1.60	ND	9.48	ND	0.04	ND	ND	0.35	ND	ND	ND	0.32	0.33	ND	ND	ND	0.49	ND	0.07	ND
	JWL0044		ND	ND	ND	0.74	0.77	ND	ND	0.27	ND	ND	ND	0.16	0.19	0.20	ND	0.17	0.17	ND	ND	0.59	0.28	2.08	5.13	ND	ND	ND	ND	2.99	1.26	ND	6.81	ND	14.10	ND	27.23	ND	0.95	ND	12.16	ND	0.48	8.05	ND	39.86	5.18	ND	ND	0.17	2.43	ND	ND	0.52	3.03	ND	0.35	ND	ND	ND	0.17	ND	ND
	JWL0058		0.31	ND	0.12	ND	ND	0.45	0.39	2.85	0.32	0.36	0.21	6.58	0.26	0.18	0.15	ND	0.57	ND	1.21	0.27	0.29	4.62	232.78	1.84	4.12	0.11	3.48	7.67	0.81	1.04	1.54	ND	79.86	33.81	157.92	0.50	0.59	1.83	5.17	0.41	ND	ND	11.96	40.32	40.15	2.91	ND	0.29	0.38	0.25	0.22	16.44	ND	7.89	ND	3.50	3.50	ND	2.12	5.97	1.10
	JWL0062		0.10	1.18	ND	0.96	0.51	0.71	1.68	5.72	2.64	0.70	1.90	10.25	1.79	ND	4.49	8.87	3.43	ND	7.26	0.58	0.81	39.55	271.98	7.28	11.05	8.71	5.42	46.85	20.85	4.13	68.97	13.11	366.77	68.98	635.47	3.12	8.11	13.19	125.89	3.67	10.26	24.77	54.96	570.62	390.07	5.28	0.50	6.23	13.94	16.86	1.15	7.50	10.89	151.63	22.98	13.01	14.94	ND	4.16	12.84	10.29
	JWL0070		ND	3.33	ND	2.27	0.65	0.31	1.28	0.69	5.89	0.39	1.30	5.90	ND	0.20	ND	ND	0.37	2.66	ND	1.16	0.58	6.60	40.35	6.12	2.78	5.79	10.98	24.07	2.56	1.66	14.51	23.08	47.63	68.35	49.23	5.33	ND	9.00	25.51	2.06	14.38	1.78	75.18	85.48	241.36	1.95	ND	11.33	6.13	26.84	17.98	36.67	2.46	126.93	31.41	6.91	10.14	ND	27.56	102.65	8.98
	JWL0099		ND	ND	ND	ND	ND	ND	ND	ND	1.92	0.18	0.26	0.83	0.11	ND	0.04	0.16	ND	0.18	0.36	ND	0.27	0.87	1.74	0.29	ND	ND	ND	0.91	0.14	0.08	2.71	2.27	4.68	3.33	8.04	ND	ND	ND	4.41	0.19	2.21	0.37	3.74	23.66	38.40	0.23	ND	1.40	1.43	4.60	4.49	7.42	ND	23.22	5.24	1.63	0.70	16.24	4.30	21.17	1.26
	JWL0100		0.05	0.29	ND	0.63	ND	ND	0.06	0.74	ND	0.09	ND	0.14	ND	ND	ND	ND	ND	ND	ND	ND	0.18	ND	ND	ND	0.15	0.13	ND	0.36	0.03	0.08	0.73	0.38	1.76	ND	3.24	ND	0.10	0.18	1.72	0.04	ND	0.14	1.34	8.63	11.94	0.05	ND	ND	0.54	1.55	1.42	2.70	0.17	7.74	1.46	ND	0.14	ND	1.51	9.18	ND
	JWL0131		ND	ND	ND	0.39	ND	ND	ND	ND	ND	ND	0.02	0.14	ND	ND	0.03	0.04	ND	ND	ND	ND	ND	ND	2.82	0.02	0.12	0.07	ND	ND	0.10	ND	0.79	ND	3.82	ND	7.99	ND	0.05	0.04	ND	0.01	0.18	ND	ND	8.82	3.29	0.04	ND	ND	0.10	0.09	ND	ND	0.07	1.75	0.31	ND	0.04	1.19	ND	ND	0.07
	JWL0148		ND	ND	ND	0.84	ND	ND	ND	ND	ND	ND	ND	0.02	ND	ND	ND	0.02	ND	ND	ND	ND	ND	ND	1.13	ND	0.04	0.04	ND	0.24	0.09	ND	ND	ND	2.12	ND	4.83	ND	0.04	ND	0.95	0.03	ND	0.25	ND	5.82	1.80	ND	ND	ND	0.04	0.07	ND	ND	ND	0.78	0.10	ND	ND	0.46	ND	ND	ND
																																																															
	Total Analytes	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	Total MS2 Confirmed	49	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1
