												
		Phosphatidylglycerol Profile;  PG										
												
		ND = not detected										
												
												
			Normalized Intensities  (UNIT = Intensity ratio / mg)									
	Sample ID		PG 25:3_5.33	PG 27:0_9.77	PG 27:3_5.33	PG 29:4_10.06	PG 34:2_15.11 | 16:1_18:1	PG 37:7_11.53	PG 38:8_11.91	PG 40:7_15.30 | 22:6/18:1	PG 40:8_13.19 | 22:6/18:2	PG 40:9_20.35
	JWL0021		0.12	0.01	ND	ND	ND	0.64	0.07	ND	ND	ND
	JWL0025		0.48	ND	0.10	0.06	ND	1.94	0.15	0.06	0.27	ND
	JWL0028		0.04	ND	0.02	ND	ND	0.63	ND	0.10	0.13	ND
	JWL0034		0.08	ND	ND	ND	ND	0.83	ND	2.54	1.01	ND
	JWL0039		0.37	ND	1.33	ND	0.14	2.94	0.36	0.77	0.59	0.20
	JWL0042		0.57	ND	0.41	0.25	ND	ND	0.30	ND	ND	0.13
	JWL0043		0.13	ND	0.15	0.07	ND	ND	ND	ND	ND	0.06
	JWL0044		0.33	0.17	10.13	ND	ND	ND	ND	ND	ND	0.18
	JWL0058		0.24	ND	0.76	ND	ND	2.31	0.30	0.19	0.26	ND
	JWL0062		ND	0.14	ND	ND	0.24	ND	ND	0.63	ND	ND
	JWL0070		ND	ND	ND	ND	6.60	ND	ND	0.80	ND	ND
	JWL0099		0.08	0.07	ND	0.05	0.99	ND	ND	0.42	ND	0.06
	JWL0100		0.06	0.30	ND	0.03	0.22	ND	ND	0.07	ND	ND
	JWL0131		ND	0.03	ND	0.12	ND	0.09	ND	ND	ND	ND
	JWL0148		ND	ND	ND	0.01	ND	ND	ND	ND	ND	ND
												
	Total Analytes	10	1	1	1	1	1	1	1	1	1	1
	Total MS2 Confirmed	3	0	0	0	0	1	0	0	1	1	0
