																			
			Phosphatidylinositol Profile;  PI 																
																			
			ND = not detected																
																			
																			
			Normalized Intensities  (UNIT = Intensity ratio / mg)																
	Sample ID		PI 36:5_12.88 | 16:0_20:5	PI 37:5_14.23	PI 37:6_12.71	PI 38:5_15.93 | 18:0_20:5	PI 38:6_14.00 | 16:0/22:6	PI 39:5_17.83	PI 39:6_15.60 | 17:0_22:6	PI 39:7_13.08	PI 40:6_17.57 | 18:0_22:6	PI 40:7_14.39 | 18:1/22:6	PI 40:8_12.57 | 18:2_22:6	PI 41:6_19.71	PI 42:6_21.80	PI 42:7_17.91	PI 42:7_17.91 | 20:1_22:6	PI 42:8_15.07	PI 44:7_21.89 | 22:1_22:6
	JWL0021		0.21	ND	ND	ND	3.28	0.24	ND	ND	1.45	0.76	ND	ND	ND	0.41	ND	0.06	ND
	JWL0025		3.35	0.07	0.12	1.15	40.56	0.39	0.95	ND	5.82	8.73	1.16	ND	0.08	ND	5.44	ND	1.35
	JWL0028		1.80	0.04	0.08	0.56	ND	ND	0.71	0.18	4.33	4.25	0.92	0.06	ND	ND	1.66	ND	ND
	JWL0034		6.23	0.14	0.22	2.75	51.02	0.34	1.31	0.41	18.02	17.56	2.05	0.14	ND	ND	4.92	ND	1.78
	JWL0039		3.60	ND	ND	2.27	38.99	0.54	1.99	ND	27.68	14.20	1.19	0.31	ND	ND	6.92	0.91	2.92
	JWL0042		ND	ND	ND	ND	3.06	0.79	ND	ND	3.26	ND	ND	0.23	0.23	0.19	ND	ND	ND
	JWL0043		ND	ND	ND	ND	1.26	0.82	ND	ND	2.35	ND	ND	0.12	0.07	0.16	ND	ND	ND
	JWL0044		ND	ND	0.26	ND	6.07	1.15	1.77	ND	8.07	2.08	ND	0.77	0.66	0.55	ND	ND	ND
	JWL0058		8.89	0.27	ND	4.79	59.81	ND	2.73	0.30	19.93	30.94	3.02	ND	ND	ND	3.59	0.83	ND
	JWL0062		2.70	0.74	0.52	7.33	ND	2.61	14.43	0.53	102.49	73.64	ND	2.14	ND	ND	33.16	ND	ND
	JWL0070		1.73	ND	ND	20.93	11.22	ND	6.87	1.94	16.91	125.83	2.32	ND	ND	ND	44.80	ND	10.61
	JWL0099		ND	ND	ND	ND	4.58	ND	4.15	ND	8.53	59.76	ND	0.66	ND	ND	32.03	ND	5.48
	JWL0100		ND	ND	ND	ND	2.16	ND	ND	ND	4.13	13.69	ND	ND	ND	ND	8.50	ND	1.94
	JWL0131		ND	ND	ND	ND	1.08	0.32	ND	ND	3.17	0.57	ND	0.02	0.02	ND	0.42	0.09	ND
	JWL0148		ND	ND	ND	ND	0.45	0.33	ND	ND	ND	ND	ND	ND	ND	0.26	ND	0.01	ND
																			
	Total Analytes	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	Total MS2 Confirmed	9	1	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	1
