	Ceramide Profile;  Cer																																																																																																																																																																																																																	
																																																																																																																																																																																																																		
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																																																																																																																																																																																																	
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																																																																																																																																																																																	
	ND = not detected																																																																																																																																																																																																																	
																																																																																																																																																																																																																		
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																																																																																																																																																																																																
Sample ID		Cer d25:0_12.53	Cer d27:0_15.82	Cer t30:1_8.41	Cer d31:1_15.57	Cer t31:1_8.83	Cer t31:1_11.91	Cer t31:2_5.62	Cer t31:3_5.54	Cer d32:0_19.17	Cer d32:1_17.60 | d16:1/n16:0	Cer d32:1_17.60 | d18:1/n14:0	Cer t32:1_9.31 | d18:1/h14:0	Cer t32:2_5.99	Cer t32:2_9.00	Cer t32:2_9.36	Cer d32:4_16.76	Cer m33:0_21.51	Cer m33:0_27.25	Cer d33:0_21.33	Cer d33:1_19.78 | d17:1/n16:0	Cer d33:1_19.78 | d18:1/n15:0	Cer t33:1_9.84	Cer t33:1_17.64	Cer t33:1_20.76	Cer d33:2_10.08	Cer t33:2_9.74	Cer d33:3_9.75	Cer d34:0_23.48 | d18:0/n16:0	Cer d34:1_21.94 | d18:1/n16:0	Cer d34:1_21.94 | d16:0/n18:1	Cer t34:1_10.46 | d18:1/h16:0	Cer t34:1_10.46 | t17:0_n17:1	Cer t34:1_15.48 | t17:0_n17:1	Cer t34:1_19.42	Cer t34:1_19.82	Cer d34:2_18.50 | d18:2/n16:0	Cer d34:2_19.05	Cer t34:2_10.33 | d18:1/h16:1	Cer t34:2_10.66 | t17:1_n17:1	Cer m34:3_21.33	Cer d34:3_10.33	Cer m34:4_19.78	Cer t34:5_9.50	Cer t34:5_10.57	Cer d35:0_25.30 | n17:0_d18:0	Cer d35:1_24.07 | d18:1/n17:0	Cer t35:1_11.24	Cer t35:1_17.50	Cer t35:1_19.78	Cer t35:1_21.94	Cer t35:1_25.67	Cer m35:2_17.41	Cer d35:2_11.58	Cer d35:2_20.75	Cer t35:2_11.09	Cer d35:3_17.58	Cer d35:3_20.80	Cer d35:3_21.51	Cer t35:3_17.46	Cer d35:4_19.41	Cer t35:4_13.97	Cer d35:5_13.71	Cer t35:5_11.42	Cer m36:0_25.41	Cer d36:0_26.39 | d18:0/n18:0	Cer d36:1_25.67 | d18:1/n18:0	Cer d36:1_25.67 | d18:0/n18:1	Cer t36:1_12.34	Cer t36:1_19.75	Cer t36:1_21.94	Cer t36:1_23.78	Cer t36:1_24.07 | t18:0_n18:1	Cer d36:2_22.92 | d18:2/n18:0	Cer t36:2_11.89	Cer t36:2_12.33	Cer t36:2_21.94	Cer d36:4_11.23	Cer d36:5_11.01	Cer t36:5_12.33	Cer t36:7_11.72	Cer d37:0_26.37	Cer t37:0_25.41	Cer d37:1_26.62	Cer t37:1_24.05	Cer t37:1_25.67	Cer d37:2_13.83	Cer d37:2_24.92	Cer t37:2_12.96	Cer d37:3_25.42	Cer t37:3_22.44	Cer d37:4_12.18	Cer d37:5_24.96	Cer m38:0_28.92	Cer d38:0_27.60	Cer d38:1_27.26 | d18:1/n20:0	Cer d38:1_27.26 | d16:1/n22:0	Cer d38:1_27.26 | d20:0/n18:1	Cer d38:2_15.39	Cer d38:2_26.19	Cer t38:2_14.27	Cer t38:2_25.67	Cer m38:3_26.37	Cer m38:4_26.62	Cer d39:0_28.03	Cer d39:1_27.76 | d17:1/n22:0	Cer d39:2_17.33	Cer d39:2_26.85	Cer t39:2_15.92	Cer t39:2_28.12	Cer d39:3_25.67	Cer d39:5_14.26	Cer d40:0_28.37 | d18:0/n22:0	Cer d40:1_28.12 | d18:1/n22:0	Cer t40:1_19.75	Cer t40:1_26.64 | t17:0_n23:1	Cer t40:1_26.64 | t19:1_n21:0	Cer d40:2_27.39 | d18:2/n22:0	Cer d40:2_27.39 | d16:1/n24:1	Cer d40:3_26.26	Cer t40:3_16.82	Cer m40:5_22.19	Cer m41:0_28.12	Cer d41:0_28.67	Cer t41:0_28.14	Cer m41:1_28.42	Cer d41:1_28.46 | d18:1/n23:0	Cer d41:1_28.46 | d17:1/n24:0	Cer t41:1_20.71	Cer t41:1_27.30	Cer d41:2_27.75 | d18:1/n23:1	Cer d41:2_27.75 | d17:1/n24:1	Cer t41:2_18.01	Cer t41:2_20.17	Cer t41:2_21.05	Cer t41:2_22.91	Cer t41:2_28.75	Cer t41:3_18.85	Cer t41:3_27.39	Cer t41:3_28.07	Cer t41:7_23.48	Cer m42:0_28.46	Cer d42:0_28.98 | d18:0/n24:0	Cer t42:0_28.44 | t18:0/n24:0	Cer t42:0_28.44 | t17:0/n25:0	Cer m42:1_27.73	Cer d42:1_28.76 | d18:1/n24:0	Cer t42:1_27.76 | t19:1_n23:0	Cer t42:1_27.76 | t17:0_n25:1	Cer t42:1_28.42 | d18:1/h24:0	Cer d42:2_28.10 | d18:1/n24:1	Cer t42:2_23.50	Cer t42:2_26.64	Cer d42:3_27.46 | d18:1/n24:2	Cer d42:3_27.46 | d18:2/n24:1	Cer t42:3_19.80	Cer t42:3_27.78	Cer m42:5_27.94	Cer d42:5_22.92	Cer m43:0_28.76	Cer m43:0_29.57	Cer d43:0_29.26	Cer t43:0_28.76	Cer m43:1_28.07	Cer d43:1_29.05	Cer t43:1_28.12	Cer t43:1_28.76	Cer d43:2_28.39 | d19:1/n24:1	Cer d43:3_28.12	Cer t43:3_28.19	Cer d43:4_22.82	Cer t43:4_15.07	Cer t43:4_16.07	Cer d43:6_23.10	Cer d44:0_29.64 | d16:0/n28:0	Cer t44:0_29.05 | t18:0/n26:0	Cer t44:0_29.05 | t20:0/n24:0	Cer t44:0_29.92	Cer d44:1_29.35 | d18:1/n26:0	Cer d44:1_29.76	Cer t44:1_28.44 | t19:1_n25:0	Cer t44:1_28.44 | t17:0_n27:1	Cer t44:1_29.01	Cer d44:2_28.69	Cer m45:0_29.60	Cer d45:0_29.83	Cer t45:0_29.32 | t20:0/n25:0	Cer t45:0_29.32 | t17:0_n28:0	Cer t45:0_29.32 | t19:0/n26:0	Cer t45:0_30.19	Cer t45:1_28.73	Cer t45:1_29.28	Cer t45:3_28.76	Cer d46:0_30.16 | d18:0/n28:0	Cer d46:0_30.16 | d20:0/n26:0	Cer t46:0_29.62 | t20:0/n26:0	Cer t46:0_30.51	Cer d46:1_29.57	Cer t46:1_29.57	Cer t46:3_29.01	Cer d47:0_30.42	Cer t47:0_29.87 | t20:0/n27:0	Cer t47:1_29.28	Cer t47:1_29.85	Cer d48:0_30.71	Cer t48:0_30.17 | t20:0/n28:0	Cer d48:1_30.50	Cer t48:1_29.57 | t19:0_n29:1	Cer t48:1_30.12	Cer t48:2_29.21
JWL200A		0.02	0.07	ND	0.32	0.15	0.03	0.03	0.03	0.34	2.93	2.85	0.38	0.02	0.02	0.02	0.02	0.02	0.09	0.17	7.09	3.76	0.13	0.03	0.11	ND	0.14	0.02	9.52	205.28	2.08	0.91	0.33	0.26	ND	0.52	1.36	0.34	1.29	0.23	0.05	0.02	2.95	0.16	ND	0.73	12.40	0.31	0.08	0.11	0.27	0.15	ND	0.03	0.22	0.17	0.04	0.04	ND	0.04	0.07	0.02	ND	ND	0.04	2.19	60.03	0.48	0.31	0.35	ND	0.08	0.25	1.71	0.16	0.15	ND	0.04	0.02	0.06	0.04	0.35	1.21	1.71	0.13	0.07	0.05	0.05	0.03	ND	0.07	0.06	ND	0.02	0.61	13.04	ND	0.09	0.04	0.41	0.07	0.05	0.10	0.51	0.25	1.36	ND	0.08	0.06	0.39	0.30	0.04	2.17	35.13	0.13	0.47	0.33	1.48	1.00	0.04	0.02	0.02	0.22	ND	0.06	ND	3.89	4.04	0.15	0.15	4.30	2.39	0.06	0.04	0.17	0.06	0.32	0.10	0.20	0.48	0.08	0.04	1.53	0.38	0.20	0.04	41.57	ND	ND	0.21	44.16	ND	0.06	0.69	0.68	ND	0.22	0.17	0.02	ND	ND	0.38	0.18	0.31	0.92	0.10	0.10	ND	0.07	0.41	ND	0.05	0.06	0.75	2.18	0.70	0.39	0.09	0.54	ND	0.10	0.14	0.16	0.32	0.03	0.45	0.13	0.16	ND	0.03	0.08	0.18	ND	1.00	0.64	1.38	0.06	0.03	0.28	ND	0.42	0.76	0.09	0.09	0.76	0.96	0.37	ND	0.09	0.03
JWL200B		ND	ND	0.01	0.31	0.14	0.02	0.02	0.02	0.32	2.64	2.74	0.38	0.02	0.02	0.03	0.02	0.01	0.05	0.16	4.30	2.39	0.11	0.03	0.09	0.25	0.11	0.01	3.19	53.78	44.73	0.84	0.36	0.19	0.27	0.52	1.23	0.30	1.21	0.21	0.02	0.02	2.85	0.15	0.03	0.27	4.36	0.27	0.07	0.09	0.09	0.89	0.02	0.03	0.16	0.20	0.04	0.04	0.04	0.04	0.03	0.01	0.01	0.01	0.02	0.98	25.58	0.23	0.18	0.35	0.15	ND	ND	0.62	0.16	0.14	0.08	0.03	0.02	0.03	0.03	0.15	0.41	0.76	0.02	ND	0.05	0.02	0.05	0.02	0.02	ND	0.01	0.01	0.37	4.44	1.90	ND	0.04	0.18	ND	0.02	0.04	0.18	0.19	ND	0.03	ND	0.06	0.22	0.09	0.03	1.61	25.52	0.12	0.04	0.06	0.84	0.96	0.02	ND	ND	0.09	0.34	ND	0.02	3.22	3.12	0.07	0.04	1.98	1.71	0.06	0.07	0.11	0.04	0.38	0.10	ND	0.41	0.03	ND	1.37	0.30	0.13	0.02	36.10	0.37	0.30	0.38	1.63	0.05	ND	ND	0.92	0.08	0.07	ND	ND	0.20	0.01	0.33	0.21	0.18	0.88	0.10	0.08	0.71	0.04	0.30	0.05	0.05	0.04	ND	1.15	0.62	0.31	ND	0.52	0.03	0.05	0.14	ND	ND	0.02	ND	0.36	ND	0.17	0.05	0.07	0.15	0.07	0.73	0.61	1.62	ND	0.02	0.17	0.05	0.28	0.53	0.08	0.10	0.61	0.87	0.26	0.25	0.06	0.03
JWL200C		0.06	0.11	0.04	0.43	0.38	0.05	0.08	0.09	0.69	5.89	4.94	0.87	0.07	0.05	0.08	0.04	0.03	0.21	0.30	7.07	3.77	0.21	0.10	0.09	0.24	0.23	ND	10.71	257.53	2.79	2.67	ND	ND	0.14	0.38	2.44	0.28	1.17	0.34	0.03	ND	ND	ND	0.03	0.98	14.89	0.56	0.03	0.06	0.16	2.45	0.02	0.04	0.17	0.21	0.09	0.03	0.07	0.06	0.03	0.03	0.03	0.02	0.08	3.75	85.75	0.69	0.83	ND	0.29	0.07	0.23	1.85	ND	0.24	0.23	ND	ND	0.04	0.06	0.60	1.54	3.39	0.06	0.06	0.11	0.06	0.10	0.07	0.05	0.11	0.06	0.05	1.46	20.42	6.60	0.18	0.05	0.64	0.28	ND	ND	0.97	0.57	4.10	0.03	0.17	ND	0.88	ND	0.04	5.68	52.37	0.09	ND	ND	3.60	4.31	0.09	0.08	0.02	0.29	1.02	0.15	0.10	12.22	8.87	ND	0.50	9.61	5.03	0.23	ND	0.19	0.13	ND	0.25	0.27	1.26	0.10	0.10	4.34	1.02	0.52	0.09	106.13	1.42	0.70	1.34	99.32	0.16	0.12	4.11	ND	0.13	0.23	0.28	0.02	0.25	0.04	1.06	ND	0.56	2.97	0.18	0.24	2.52	ND	0.81	0.19	0.07	0.06	0.53	5.90	1.25	0.72	0.23	ND	0.10	1.17	ND	0.45	0.91	0.07	1.15	0.51	0.68	0.54	0.13	0.41	0.47	0.16	2.57	1.44	4.88	0.19	0.07	ND	0.13	1.30	1.57	0.26	0.30	1.92	2.58	ND	0.37	0.20	0.09
