	Diacylglycerol Profile (DG)																																																			
																																																				
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  																																																			
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																			
	ND = not detected																																																			
																																																				
		Normalized Intensities  (UNIT = Intensity / mg tissue)																																																		
Sample ID		DG 20:3_7.75	DG 21:0_11.25	DG 21:3_6.28	DG 21:3_11.82	DG 23:3_11.26	DG 24:0_13.28 | 12:0_12:0	DG 26:0_16.64 | 12:0_14:0	DG 28:0_21.12 | 12:0_16:0	DG 28:0_21.55 | 12:0_16:0	DG 29:0_23.14	DG 30:1_21.80 | 12:0_18:1	DG 30:1_22.23 | 12:0_18:1	DG 32:0_26.98 | 16:0_16:0	DG 32:1_25.82 | 16:0_16:1	DG 32:1_28.12	DG 32:2_21.17	DG 32:2_23.60 | 16:1_16:1	DG 33:0_27.48 | 16:0_17:0	DG 33:1_26.50	DG 33:1_28.46	DG 34:0_27.94 | 16:0_18:0	DG 34:1_27.16 | 16:0_18:1	DG 34:2_26.14 | 16:0_18:2	DG 34:2_26.14 | 16:1_18:1	DG 34:3_24.32	DG 34:3_24.80	DG 35:1_27.53	DG 36:0_28.55 | 18:0_18:0	DG 36:1_28.01 | 18:0_18:1	DG 36:2_27.33 | 18:1_18:1	DG 36:3_26.33 | 18:1_18:2	DG 36:4_24.57 | 18:2_18:2	DG 36:4_24.94 | 18:2_18:2	DG 37:7_25.12	DG 38:0_29.14 | 16:0_22:0	DG 38:0_29.14 | 18:0_20:0	DG 40:0_29.73 | 16:0_24:0	DG 40:2_27.28	DG 40:6_24.51	DG 41:0_29.96 | 16:0_25:0	DG 41:1_28.51	DG 42:0_30.30	DG 42:1_28.39	DG 42:1_29.75 | 18:1_24:0	DG 42:3_28.50	DG 43:8_27.71	DG 44:1_30.57	DG 45:1_29.78	DG 45:1_30.85	DG 46:1_31.30	DG 46:8_29.41
JWL200A		ND	0.21	0.58	ND	0.10	0.17	0.02	ND	ND	ND	0.04	0.09	0.92	0.10	0.04	0.02	ND	0.11	0.04	ND	0.64	0.91	0.38	0.13	0.02	ND	0.03	1.17	0.55	1.61	0.38	0.16	0.18	0.10	0.03	0.02	ND	0.03	0.14	0.14	0.03	0.12	ND	0.05	0.04	ND	0.04	0.03	0.04	0.06	1.39
JWL200B		0.05	0.21	0.46	0.10	0.08	0.04	0.01	0.10	0.10	0.04	0.05	0.09	0.87	0.14	0.03	ND	0.01	0.13	ND	0.12	0.71	0.96	0.30	ND	0.02	0.04	0.02	1.05	0.54	2.15	0.40	0.16	0.19	0.21	0.04	0.03	0.15	0.03	ND	0.10	0.03	0.08	0.02	ND	0.04	0.02	0.02	0.02	0.02	0.06	ND
JWL200C		0.08	0.22	0.94	0.12	0.08	0.05	0.01	0.10	0.09	0.01	0.07	0.09	0.73	0.13	ND	0.01	0.02	ND	0.05	0.07	0.38	0.76	0.13	0.20	0.01	0.02	0.01	0.58	0.33	1.11	0.43	0.17	0.19	0.19	ND	ND	0.06	0.01	0.13	0.05	0.02	0.03	0.01	0.03	ND	0.01	0.02	ND	0.01	0.02	0.03
