	Lyso-Phosphatidylserine  Profile;  LPS 									
										
	Data are expressed as normalized intensities and constitute relative abundances per mg tissue (relative to exactly measured internal standards).  									
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.									
	ND = not detected									
										
		Normalized Intensities  (UNIT = Intensity / mg tissue)								
Sample ID		LPS 12:1_5.37	LPS 13:1_7.74	LPS 14:1_7.08	LPS 18:3_6.50	LPS 20:4_8.34	LPS 21:2_9.34	LPS 23:4_6.50	LPS 23:4_6.87	LPS 26:6_5.45
JWL200A		0.19	0.13	ND	0.60	ND	0.14	ND	0.26	5.34
JWL200B		0.15	0.10	0.04	0.46	0.05	ND	0.05	0.24	3.94
JWL200C		0.26	0.20	0.09	0.83	0.09	0.15	0.09	0.24	6.60
