plate	strain	plate_reps_bio	rep_plate	press_set	rep_bio	dil	count	remarks
PC_AC_1	PC	AC	1	250	A	1.00E+03	14	
PC_AC_1	PC	AC	1	0	A	1.00E+03	4	
PC_AC_1	PC	AC	1	500	A	1.00E+01	0	
PC_AC_1	PC	AC	1	250	C	1.00E+03	19	
PC_AC_1	PC	AC	1	0	C	1.00E+03	5	
PC_AC_1	PC	AC	1	500	C	1.00E+01	0	
PC_AC_2	PC	AC	2	250	A	1.00E+03	7	
PC_AC_2	PC	AC	2	0	A	1.00E+02	13	
PC_AC_2	PC	AC	2	500	A	1.00E+01	0	
PC_AC_2	PC	AC	2	250	C	1.00E+03	3	
PC_AC_2	PC	AC	2	0	C	1.00E+02	17	
PC_AC_2	PC	AC	2	500	C	1.00E+01	2	
PC_BA_1	PC	BA	1	250	B	1.00E+03	30	very nice plate
PC_BA_1	PC	BA	1	0	B	1.00E+02	29	very nice plate
PC_BA_1	PC	BA	1	500	B	1.00E+01	0	very nice plate
PC_BA_1	PC	BA	1	250	A	1.00E+03	23	very nice plate
PC_BA_1	PC	BA	1	0	A	1.00E+02	38	very nice plate
PC_BA_1	PC	BA	1	500	A	1.00E+01	1	very nice plate
PC_BA_2	PC	BA	2	250	B	1.00E+03	12	
PC_BA_2	PC	BA	2	0	B	1.00E+02	16	
PC_BA_2	PC	BA	2	500	B	1.00E+01	0	
PC_BA_2	PC	BA	2	250	A	1.00E+03	9	
PC_BA_2	PC	BA	2	0	A	1.00E+02	10	
PC_BA_2	PC	BA	2	500	A	1.00E+01	0	
PC_CB_1	PC	CB	1	0	C	1.00E+01	17	
PC_CB_1	PC	CB	1	250	C	1.00E+03	3	
PC_CB_1	PC	CB	1	500	C	1.00E+01	0	
PC_CB_1	PC	CB	1	0	B	1.00E+02	19	
PC_CB_1	PC	CB	1	250	B	1.00E+03	8	
PC_CB_1	PC	CB	1	500	B	1.00E+01	0	
PC_CB_2	PC	CB	2	0	C	1.00E+02	23	very nice plate
PC_CB_2	PC	CB	2	250	C	1.00E+03	16	very nice plate
PC_CB_2	PC	CB	2	500	C	1.00E+01	0	very nice plate
PC_CB_2	PC	CB	2	0	B	1.00E+03	9	very nice plate
PC_CB_2	PC	CB	2	250	B	1.00E+03	17	very nice plate
PC_CB_2	PC	CB	2	500	B	1.00E+01	0	very nice plate
PE_AC_1	PE	AC	1	0	A	1.00E+06	12	growing together
PE_AC_1	PE	AC	1	250	A	1.00E+06	12	growing together
PE_AC_1	PE	AC	1	500	A	1.00E+03	7	growing together
PE_AC_1	PE	AC	1	0	C	1.00E+06	19	growing together
PE_AC_1	PE	AC	1	250	C	1.00E+06	11	growing together
PE_AC_1	PE	AC	1	500	C	1.00E+03	12	growing together
PE_AC_2	PE	AC	2	0	A	1.00E+05	12	somewhat nicer
PE_AC_2	PE	AC	2	250	A	1.00E+04	5	
PE_AC_2	PE	AC	2	500	A	1.00E+03	5	
PE_AC_2	PE	AC	2	0	C	1.00E+06	19	
PE_AC_2	PE	AC	2	250	C	1.00E+04	5	
PE_AC_2	PE	AC	2	500	C	1.00E+03	10	
PE_BA_1	PE	BA	1	0	B	1.00E+06	9	growing together
PE_BA_1	PE	BA	1	250	B	1.00E+04	6	growing together
PE_BA_1	PE	BA	1	500	B	1.00E+03	10	growing together
PE_BA_1	PE	BA	1	0	A	1.00E+05	9	growing together
PE_BA_1	PE	BA	1	250	A	1.00E+05	5	growing together
PE_BA_1	PE	BA	1	500	A	1.00E+03	6	growing together
PE_BA_2	PE	BA	2	0	B	1.00E+05	6	
PE_BA_2	PE	BA	2	250	B	1.00E+05	3	
PE_BA_2	PE	BA	2	500	B	1.00E+04	4	
PE_BA_2	PE	BA	2	0	A	1.00E+06	16	
PE_BA_2	PE	BA	2	250	A	1.00E+05	4	
PE_BA_2	PE	BA	2	500	A	1.00E+02	12	
PE_CB_1	PE	CB	1	0	C	1.00E+06	18	
PE_CB_1	PE	CB	1	250	C	1.00E+06	11	
PE_CB_1	PE	CB	1	500	C	1.00E+03	8	
PE_CB_1	PE	CB	1	0	B	1.00E+05	14	
PE_CB_1	PE	CB	1	250	B	1.00E+04	15	
PE_CB_1	PE	CB	1	500	B	1.00E+03	8	
PE_CB_2	PE	CB	2	0	C	1.00E+06	19	
PE_CB_2	PE	CB	2	250	C	1.00E+06	8	
PE_CB_2	PE	CB	2	500	C	1.00E+03	12	
PE_CB_2	PE	CB	2	0	B	1.00E+06	11	
PE_CB_2	PE	CB	2	250	B	1.00E+04	14	
PE_CB_2	PE	CB	2	500	B	1.00E+04	4	
