eid	sid	sp	depth_col	temp_col	lat	lon
JWL0042	M118-BW18	Boli_vitr	10	27.6	19.7745	-156.1139
JWL0043	M118-BW31	Boli_vitr	10	27.6	19.7745	-156.1139
JWL0044	M119-BW7	Boli_vitr	10	27.6	19.7745	-156.1139
JWL0189	M122-BW23	Boli_vitr	10	26	19.59983	-156.262
JWL0190	M122-BW27	Boli_vitr	10	26	19.59983	-156.262
JWL0166	D1336-BW5	Leuc_pulc	10	12	33.84741209	-119.4399123
JWL0167	D1369-BW28	Leuc_pulc	10	12	35.49988837	-124.00331755
JWL0157	V4322-SS6	Mert_angu	202.63	8.68	36.70326247	-122.04270835
JWL0159	V4322-SS7	Mert_angu	205.61	8.63	36.70326247	-122.04270835
JWL0058	V3710-D1	Boli_infu	96.56999969	8.796999931	36.703501669999994	-122.03959885500001
JWL0021	V4034-D1	Boli_infu	374.8999939	6.967999935	36.784066455	-122.022532345
JWL0025	V4139-D7	Boli_infu	999.2600098	3.894000053	36.69713091	-122.04607719
JWL0191	ICL180708-4 (Beroe 14B, site 7)	Bero_cucu	10	2	NA	NA
JWL0028	SVA180614-1	Boli_arct	8.6	0.56	79.15	11.75
JWL0028	SVA180614-1	Boli_arct	8.6	0.56	79.15	11.75
JWL0034	GRL180623-3	Boli_arct	8.6	-3.33	70.48087	-20.05695
JWL0039	ICL180708-2	Boli_arct	8.75	3.33	64.65812	-13.7868
JWL0039	ICL180708-2	Boli_arct	8.75	3.33	64.65812	-13.7868
JWL0062	V3949-D4	Lamp_crue	708.0599976	5.002999783	36.704994	-122.05444305
JWL0148	D1168-D12	Lamp_crue	736.0300293	4.947000027	36.41539009	-122.28384983
JWL0131	D1168-D5	Lamp_crue	823.5599976	4.749000072	36.41539009	-122.28384983
JWL0173	D1371-SS5	Bath_fost	1342.33	3.02	36.55824833	-122.2519461
JWL0171	D1367-D12	Bath_fost	1645.23	2.43	35.94989079	-123.9489538
JWL0172	D1369-D12	Bath_fost	3871.08	1.49	35.49988837	-124.00331755
JWL0175	D1367-SS10	Cydi_blac	2300	1.86	35.94989079	-123.9489538
JWL0174	D1341-D2	Cydi_blac	2335.3	1.79	35.7373007	-122.74936901
JWL0170	D1340-D1	Llyr_deep	2812.81	1.68	35.49645306	-123.98820742
JWL0168	D1339-D4	Llyr_bent	3760.52	1.53	34.5742086	-122.56298311
JWL0177	D1340-D5	Tjal_pink	3963.23	1.5	35.49645306	-123.98820742
JWL0070	D960-SS7	Tjal_pink	3964.060059	1.498000026	35.497291755	-123.99782318000001
JWL0176	D1340-BT3	Tjal_pink	3972.5	1.5	35.49645306	-123.98820742
JWL0178	D1340-D12A	Tjal_pink	3975.62	1.5	35.49645306	-123.98820742
JWL0188	D1340-D12B	Tjal_pink	3975.62	1.5	35.49645306	-123.98820742
JWL0099	D1021-BT	Tjal_pink	3977.53	1.52	35.49985857	-124.00033432
JWL0100	D1021-BT	Tjal_pink	3977.53	1.52	35.49985857	-124.00033432
